LocaleIdentifier,DE
MsgPaymentCardReaderFailAddRewards,"Es ist möglich, %@ manuell hinzuzufügen."
MsgPaymentPleaseSwipeYourCard,Bitte ziehen Sie Ihre Karten mit dem Magnetstreifen nach unten durch.
MsgPaymentYourCardFailWaitCashier,Ihre Karte konnte nicht verarbeitet werden. \nBitte warten Sie auf den Kassierer.
MsgPaymentCardReaderFailWaitCashier,Verbindung mit dem Kartenlesegerät konnte nicht hergestellt werden.\nBitte warten Sie auf den Kassierer.
MsgPaymentYourCardFailDU,Bitte warten Sie auf den Kassierer.
MsgPaymentCardSwipeBadPleaseTryAgain,Schlecht gewischt.\nBitte versuchen Sie es erneut.
MsgPaymentCardNumber,Kartennummer
MsgPaymentMonth,Monat
MsgPaymentCVV,CVV
MsgPaymentFirstName,Vorname
MsgPaymentLastName,Nachname
MsgPaymentSelectMethod,Wählen Sie eine Zahlungsart
MsgPaymentEnterCardNumber,Kartennummer Eingeben
MsgPaymentAuthorizationTitle,Autorisierung
MsgPaymentAuthorizationMessage,Autorisierung. Warten Sie Bitte.
MsgPaymentFetchingGiftCardBalanceMessage,Abrufen des Geschenkkartenguthabens... Bitte warten Sie.
MsgPaymentFetchingRewardBalanceMessage,Abrufen des Prämienguthabens... Bitte warten Sie.
MsgPaymentAuthorizationVoidMessage,Stornieren der Transaktion. Warten Sie Bitte.
MsgPaymentAuthorizationTipMessage,Trinkgeld Autorisierung… Warten Sie Bitte.
MsgPaymentCoinsNotDispensed,Münzen Nicht Herausgegeben
MsgPaymentCoinDispenserConnectionFailed,Verbindung mit dem Münzautomaten '%@' fehlgeschlagen. Erneut versuchen?
MsgPaymentCreditCardAuthorization,Kreditkarte wird Autorisiert
MsgPaymentApproved,GENEHMIGT
MsgPaymentApproved2,Genehmigt
MsgPaymentApprovedOffline,OFFLINE GENEHMIGT\n\nOffline Zahlungen: %d\nInsgesamt: %@
MsgPaymentDeclined,ABGELEHNT
MsgPaymentFailed,Verarbeitung ist fehlgeschlagen. Versuchen Sie es später erneut.
MsgPaymentOffline,OFFLINE
MsgPaymentOfflineOrder,Offline Bestellung
MsgPaymentOfflineOrderAttachCustomer,Bitte fügen Sie den Kunden zur Bestellung 
MsgPaymentOfflineOrderInputAddress,Bitte die Kundenadresse eingeben
MsgPaymentUnexpectedReplyFromProcessor,Unerwartete Antwort seitens des Zahluingsprozzesors
MsgPaymentPaymentPartial,Unzureichendes Guthaben auf der Karte. Bestellung wurde nur teilweise bezahlt.
MsgPaymentPaymentPartialTipsNotAllowed,Unzureichendes Guthaben auf der Karte. Hinzufügen von Trinkgeldern ist nicht zulässig.
MsgPaymentPaymentPartialCredit,Karte verfügt über nicht genügend Mittel. \nBitte zahlen Sie den Restbetrag mit einem anderen Zahlungsmittel.
MsgPaymentPaymentOK,Zahlung Erfolgreich!
MsgPaymentTipsSuccesfullyAdded,Trinkgelder erfolgreich hinzugefügt!
MsgPaymentPaymentFail,Zahlung Fehlgeschlagen
MsgPaymentTransactionFail,Transaktion Fehlgeschlagen
MsgPaymentProceedToTheCashier,Bitte gehen Sie zum Kassierer
MsgPaymentAmountIsSmallForRounding,"Barzahlung nicht zulässig, wenn der Betrag auf 0,00 Euro abgerundet wird. Bitte wählen Sie eine andere Zahlungsart."
MsgPaymentAmountUnableRounding,"Barzahlung nicht zulässig, wenn der Betrag auf 0,00 Euro abgerundet wird. Bitte zahlen Sie den genauen Barbetrag oder wählen Sie eine andere Zahlungsart."
MsgMongooseHttpServerError,HTTP Server Fehler
MsgMonerisActionFailed,Aktion fehlgeschlagen
MsgPaymentDebitRefund,Debit-Erstattung
MsgPaymentGiftCardUsed,Mit Geschenkkarte bezahlt.\nVerwendetes Guthaben - %@\nGesamtguthaben - %@
MsgPaymentDeletePaymentFromTable,Zahlung vom Tisch löschen?
BtnGoToBatchScreen,Gehen Sie zum Batch-Screen
MsgPaymentHasNotCapturedTransactions,Ihr Los wurde nicht in 24 Stunden abgeschlossen. \nBITTE LOS VERLASSEN
MsgPaymentAutoCaptureJobFailed,Ihre Automatisch Erfassen-Aufgabe ist nicht abgeschlossen worden. \nBITTE MELDEN SIE SICH AB
MsgPaymentHasNotProcessedOfflineTransactions,Sie haben %d offline Zahlung(en) in über 24 Stunden nicht verarbeitet.\n\nBitte erzwingen Sie die Verarbeitung\n(Offline Zahlungsseite)
MsgPaymentHasNotProcessedDeclinedPayments,Sie haben %d abgelehnte Zahlung(en) in über 24 Stunden nicht verarbeitet.\n\nVersuchen Sie es erneut oder löschen Sie die Einträge\n(Abgelehnte Zahlungen-Seite)
MsgPaymentHasNotProcessedRetryAll,Alle Wiederholen
MsgPaymentRefundFailed,Erstattung Fehlgeschlagen
MsgPaymentErrorCardNumberInvalidDigitCount,Kartennummer muss 12 bis 16 Stellen lang sein.
MsgPaymentErrorCardNumberInvalid,Kartennummer ist ungültig.
MsgPaymentErrorCardExpired,Ihre Karte ist abgelaufen.
MsgPaymentErrorMissingFields,Bitte füllen Sie die fehlenden Felder aus:
MsgPaymentThisTypeOfRefundNotSupportedContactZapperSupport,Diese Art der Erstattung wird derzeit nicht unterstützt. Bitte kontaktieren Sie den Zapper-Kundendienst.
MsgPaymentEnterGratuity,Geben Sie eine Gratifikation ein
MsgPaymentAddGratuityToPayment,Diese Rechnung umfasst eine Gratifikation. Beinhaltet diese Zahlung einen Teil oder die gesamte Gratifikation?
MsgPaymentTotalGratuity,Alle Gratifikationen
MsgPaymentRemainingGratuity,Restliche Gratifikation
MsgPaymentGratuityAmount,Gratifikations-Betrag
MsgPaymentCheckHasOutstandingGratuity,Diese Rechnung hat eine offene Gratifikation.  Trotzdem schließen?
MsgPaymentSomeChecksHaveOutstandingGratuity,Einige Rechnungen haben eine offene Gratifikation.  Trotzdem schließen?
MsgFirstDataCreditCardBatchFormReport,"Drücken Sie auf Berichten, um einen Zahlungsbericht zu erstellen"
MsgFirstDataCreditCardBatchSettlePayments,"Drücken Sie auf Zahlungen Begleichen, um einen Bericht zu erstellen und alle Zahlungen zu begleichen"
BtnFirstDataCreditCardSettlePayments,Zahlungen begleichen
BtnFirstDataCreditCardReportPayments,Bericht
MsgPaymentEFTPOSPartialRefundIsNotAllowed,Teilerstattung ist nicht erlaubt. Bitte führen Sie zuerst die Transaktion aus
MsgPaymentPartialRefundIsNotAllowed,PayPal Erstattung Fehlgeschlagen
MsgUncapturedPaymentsNotificationReport,"Drücken Sie auf Berichten, um einen Zahlungsbericht zu erstellen"
PaymentCash,Bargeld
PaymentCredit,Kredit
PaymentCreditManual,Manuelle Kreditkarte
PaymentUseCreditManual,Manuelle Kreditkartenzahlungen benutzen
PaymentCreditPlus,Kredit +
PaymentGiftCard,Geschenkkarte
PaymentCheck,Rechnung
PaymentCustomerCredit,Kund. Kredit
PaymentIndex,Index
PaymentDebit,Debit
PaymentBadge,Badge
PaymentPreAuthFinalize,Zahlung Abschließen
PaymentPreAuthCancel,PräAut Abbrechen
PaymentStanfordCard,Stanford Karte
PaymentStoreCredit,Guthaben speichern
CardTypeOther,ANDERE
CardTypeTrade,TAUSCHEN
CardTypeHouseAccount,HAUSKONTO
CardTypeGiftCard,GESCHENKKARTE
CardTypeDebit,DEBIT
MsgPaymentEnterCheckOrCustomOptionNumber,Geben Sie die %@ Nummer ein
MsgPaymentCheckEndorseAmountPaid,Bezahlter Betrag
MsgPaymentChargeBackToCard,ENT Betrag wurde der Karte zurückerstattet
MsgPaymentChargeBackCash,ENT Betrag wurde der Karte zurückerstattet
MsgTillsEnterQuantityOfNotes,Wollen Sie die Anzahl der Geldscheine eingeben?
MsgTillsEnterQuantity,Anzahl Eingeben
MsgQuantityOfNotes,Menge der Scheine
MsgTillAlertSubject,Kassensignal %@
MsgTillAlertMessage,"Die Kasse auf %@, Bargeldschublade #%d hat %@ erreicht."
MsgTillAlertMessageToCashier,Das Bargeld in der Kasse hat die %@ Grenze\n überschritten. Bitte führen Sie jetzt eine Bankeinzahlung aus.
MsgTillsTillNameSingular,Kassenlade
MsgTillsReassignTill,Möchten Sie diese Kassnelade erneut zuweisen?
MsgTillsNoActiveTills,Keine Aktiven Kassenladen
MsgSystemHasActiveTills,"Das System hat eine aktive Kassenlade, die einem anderen Angestellten zugewiesen ist. "
MsgTillMaxAmountReachedEmail,"Die Kasse auf %@, Bargeldschublade #%d hat %@ erreicht."
MsgReceiptTypeGift,GESCHENK QUITTUNG
MsgReceiptGift2,GESCHENK
BtnOrderHeaderSettings,Einstellungen
BtnOrderHeaderCustomers,Kunden
BtnOrderHeaderOrders,Bestellungen
BtnSearch,Suchen
BtnWelcome,Willkommen
MsgOrderCommission,Provision
MsgOrderEditCombo,Combo bearbeiten
MsgOrderAddCombo,Combo hinzufügen
MsgOrderEditQuantity,Menge
MsgOrderEditSpecialRequest,Sonderwunsch
MsgOrderEditSelectComboItem,Wählen Sie einen Combo-Artikel aus
MsgOrderEditNoInformationAvailable,[Keine Information Verfügbar]
BtnOrderEditSetQuantity,Menge Einstellen
BtnOrderEdit,Bearbeiten von Modifikatoren
BtnOrderEditDiningOption,Restaurants
BtnOrderEditDiscount,Rabatt Artikel
BtnOrderEditAddTax,Steuer Hinzufügen
BtnOrderEditRemoveTax,Steuer Entfernen
BtnOrderEditChangeCourse,Gang %d
BtnOrderEditChangeSeat,Platz Ändern
BtnOrderEditShare,Teilen
BtnOrderEditSplit,Aufteilen
BtnOrderEditFirstHalf,Erste Hälfte
BtnOrderEditSecondHalf,Zweite Hälfte
BtnOrderEditPrintLabel,Etikett Drucken
BtnOrderEditServiceFee,Service-Gebühr
BtnOrderOverridePrice,Preisänderung
BtnOrderTrackCateringDelivery,Lieferdatum
BtnOrderCopyItem,Kopie
BtnOrderInventoryLookup,Inv. Nachsehen
BtnOrderModOptionNo,Nein
BtnOrderModOptionSide,Seite
BtnOrderModOptionOnly,Nur
BtnOrderModOptionLite,Lite
MsgOrderPayBalanceDue,Offener Betrag
MsgOrderPayAmountTendered,Geldbetrag
MsgOrderPayChangeTitle,Wechsel
MsgOrderPayChangeDueTitle,Geschuldetes Wechselgeld
MsgOrderPayHide, 
MsgOrderPayTip,Trinkgeld: %@
MsgOrderPayAutoGratuity,Automatische Zuwendung: %@
MsgOrderPayChange,Wechselgeld %@
MsgOrderPayCashRounded,Bargeld Gerundet: %@
BtnOrderPayAddPoints,%d Punkte Hinzufügen
BtnOrderPayAddRewards,%d Prämien hinzufügen
BtnOrderCaptionAddRewards,Prämien hinzufügen
BtnOrderCaptionAddPoints,Punkte hinzufügen
BtnOrderPayRedeemPoints,Punkte Einlösen
BtnOrderPayRedeemGifts,Prämien einlösen
BtnOrderPayRedeemRewards,Prämien einlösen
BtnOrderPayCancelRedemption,Einlösung abbrechen
BtnOrderPayRedeemReward,Prämie Einlösen
BtnOrderPayRewards,Prämien
BtnOrderPayHotspot,Hotspot
BtnOrderPayTipAmount,Trinkgeldbetrag
BtnOrderPayEmail,E-Mail
BtnOrderPayReprint,Erneut drucken
BtnOrderPayRefundPayments,Zahlungen Erstatten
BtnOrderPayRewardPoints,Prämienpunkte
BtnOrderPaySplitBill,Rechnung Aufteilen
BtnOrderPayGiftReceipt,Gechenk Quittung
BtnOrderPayRetryLoadGiftCard,Geschenkkarte Laden Wiederholen
BtnOrderPayFiscalInvoice,Rechnung Stornieren
BtnOrderChargeBack,Target Tank
BtnOrderPayDone,Fertig
BtnOrderPayRetryLoadCredit,Geschenkkarte Laden Wiederholen
MsgModifiersTitle,Wählen Sie Modifikatoren für %@
MsgModifierSelectAtLeastNumberModifier,Wählen Sie bitte mindestens %d Modifikator(en)
MsgModifierSelectModifierTitle,Wählen Sie bitte:\n%@
MsgModifierSelectModifierNames,wenigstens %d Modifikator(en) in %@\n
MsgModifierSelectAmount,Bitte wählen Sie ein Maximum von %d Modifikatoren.
MsgModifierSelectSubstitution,Bitte wählen Sie einen Ersatz für %@.
BtnModifiersFirstHalf,Erste Hälfte
BtnModifiersSecondHalf,Zweite Hälfte
MsgModifierNA,Nicht zutreffend
MsgQuickModifiers,Schnelle Modifikatoren
MsgAddOnsPrice,Add-ons
MsgSpecialRequestSelect,Sonderwunsch Auswählen
MsgSpecialRequestEnter,Sonderwunsch Eingeben
MsgEnterVoidReason,Geben Sie den Stornogrund an
MsgEnterReturnReason,Reklamations-/nGrund angeben
MsgVoidReason,Stornogrund
MsgReturnReason,Reklamations-/nGrund
MsgOther,Andere
MsgReason,Grund:
MsgVoidEnterReason,Geben Sie einen Grund ein
MsgVoidSelectProductsToVoid,"Wählen Sie Produkte aus, die Storniert werden sollen"
MsgVoidSelectProductsToComp,Wählen Sie Gratis-Artikel aus
MsgVoidSelectProductsTo,"Wählen Sie Artikel aus, die"
MsgVoidCheckNumber,Rechnungsnr.
MsgVoidGiftCardNumberForAmount,Möchten Sie von Karte #%@ für %@ abbuchen?
MsgVoidGiftCardAndDecrease,"Wählen Sie Geschenkkarten aus, von denen abgebucht werden soll"
BtnDecrease,Abbuchen
OrderNotEditable,Bestellung ist auf einer anderen Station geöffnet. Bitte schließen Sie diese dort um sie hier zu ändern.
OrderHasChanges,Bestellung geändert. Bitte vor dem Verlassen speichern.
PaymentsAreDisabled,Zahlungen sind deaktiviert.
Orders,Bestellungen
Order,Bestellung
Invoice,Rechnung
InvoiceCancel,Rechnung Stornieren
OrderCancel,Bestellung Stornieren
MsgSplitItemTitle,Rechnungen Wählen
MsgSplitItemAddBill,Rechnung Hinzufügen
MsgSplitItemNotAllowedPaid,Artikel gehört zu einer bezahlten Rechnung. Aufteilung des Artikels ist nicht zulässig.
MsgChangeSeatNotAllowedPaid,Artikel gehört zu einer bezahlten Rechnung. Änderung des Platzes ist nicht zulässig.
ActionExchangeSelectedItem,Ausgewählten Artikel Austauschen
ActionExchangeSeveralItems,Mehrere Artikel Austauschen
ActionVoidSelectedItem,Ausgewählten Artikel Stornieren
ActionVoidSeveralItems,Mehrere Artikel Stornieren
ActionReturnSelectedItem,Ausgewählten Artikel Zurückgeben
ActionReturnSeveralItems,Mehrere Artikel Zurückgeben
ActionVoidReturnSeveralItems,Mehrere Artikel Zurückgeben
ActionMoveSelectedItem,Ausgewählten Artikel Verschieben
ActionMoveSeveralItems,Mehrere Artikel Verschieben
ActionChangeSeat,Platz Ändern
ActionAddQuantity,Menge Hinzufügen
ActionDiscountItem,Rabatt-Artikel
ActionSplitItem,Artikel Aufteilen
ActionEditModifiers,Bearbeiten von Modifikatoren
ActionChangeDining,Restaurant Ändern
ActionChangeCourse,Gang Ändern
ActionEditSpecialRequest,Sonderwunsch
ActionFireNextCourse,Gang %d Abrufen
ActionCopyItem,Ausgewählten Artikel kopieren
ActionCopyItems,Mehrere Artikel kopieren
ActionLayawayItem,Zurückgelegtes Produkt
ActionLayawayItems,Zurückgelegte Produkte
ActionReprintItem,Artikel erneut Drucken
ActionReprintItems,Artikel erneut Drucken
ActionRemakeItem,Artikel Entfernen
ActionRemakeItems,Artikel Entfernen
ActionManageCommission,Zuweisen der Provision
ActionReprintToKitchen,An die Küche versenden
ActionServiceFee,Service-Gebühr
ActionCompSelectedItem,%@ Ausgewählten Artikel
ActionCompSeveralItems,%@ Mehrere Artikel
ActionReprintOrderItems,Artikel erneut Drucken
ActionSendSelectedItem,Ausgewählten Artikel senden
ActionSendSeveralItems,Mehrere Artikel senden
ActionSendAllItems,Alle Artikel senden
ActionSendCourse,Den Gang Senden
ActionDiscountSelectedItem,Ausgewähltes Produkt reduzieren
ActionDiscountSeveralItems,Mehrere Produkte reduzieren
ActionSelectItemsTo,Wählen Sie Artikel für %@ aus
ActionOverridePrice,Preisänderung
ActionCopy,Kopie
ActionVoid,Storno
ActionLayaway,Zurücklegen
ActionMove,Verschieben
ActionExchange,Austauschen
ActionReturn,Rücknahme
ActionVoidReturn,Rücknahme
ActionReturnToPump,Zurück zur Pumpe
ActionComp,Gratis
ActionComps,Gratis Artikel
ActionsForItem,Maßnahmen für [%@]:
AdditionalActions,Zusätzliche Maßnahmen
MsgComp,Gratis
MsgActionScreenItemSentAt,Artikel gesendet an
GiftCardCreate,Geschenkkarte Erstellen
GiftCardManage,Geschenkkarte Verwalten
GiftCardVoid,Geschenkkarte leeren
StoreCreditVoid,Guthaben speichern
RewardCardCreate,Prämienkarte Erstellen
RewardCardManage,Prämienkarte Verwalten
SplitEven,Gleichmäßig Aufteilen
SplitOdd,Manuell Aufteilen
SplitSelect,Aufteilen Nach Artikel
SplitSeat,Aufteilen Nach Sitzplatz-Nummer
PosStation,Station
PosStations,Stationen
PosStationMain,Haupt
SetAsMain,Hauptstation Einrichten
MsgRegistrationInProcess,Registrieren...
MsgRegistrationFailed,Registrierung Fehlgeschlagen
MsgRegistrationFailedWithReason,"Registrierung Fehlgeschlagen\nGrund - \""%@\"""
MsgRegistrationResync,Anwendung Erneut Synchronisieren?
MsgRegistrationTokenRetrieveFail,Authentifizierung ist Fehlgeschlagen. Erneut versuchen?
MsgRegistrationTokenRetrieveFailWithReason,"Authentifizierung fehlgeschlagen\nGrund - \""%@\"" \nErneut versuchen?"
MsgRegistrationConfirmSettings,Ihre URL ist: %@\n\nIhre Filiale ist: %@\n\nIst das richtig?
MsgRegistrationTokenAuthenticationFailed,Authentifizierung fehlgeschlagen
MsgRefreshInProcess,Konfiguration wird Heruntergeladen...
MsgRefreshDownloadingItemsWithOffsetAndPercents,%@: %d Artikel (%d%%)
MsgProductGroups,Produktgruppen
MsgCustomerGroups,Kundengruppen
MsgShipRates,Versandkosten
MsgModifierClasses,Modifikatorklassen
MsgModifierDiscounts,Modifikatorrabatte
MsgProductCategories,Produktkategorien
MsgUpsellCombos,Upsell Combos
MsgAttributes,Eigenschaften
MsgAttributeValues,Eigenschaften Angabe
MsgIngredients,Zutaten
MsgCallNames,Rufnamen
MsgTaxes,Steuern
MsgTaxTables,Steuertabelle
MsgTableTags,Tischeigenschaften
MsgProductClasses,Artikelklasse
MsgCustomMenus,Benutzerdefinierte Menüs
MsgDisabledInTrainingMode,Diese Funktion ist im Training-Modus deaktiviert.
MsgDisabledInTrainingModeAppleStore,Diese Funktion ist deaktiviert.
MsgIdentityProtectionTitle,Schutz vor Identitätsdiebstahl
MsgIdentityProtectionVerify,Bitte Verifizieren Sie
MsgDateErrors,Falsche Daten
MsgDateRangeErrors,Der Berichtszeitraum umfasst mehr als eine Woche.
MsgOrdersReportWarningNoData,Einige Ihrer Bestellungen sind vielleicht offen oder nicht mit dem Server synchronisiert
MsgOrdersReportWarningUnsyncedOrders,Einige Ihrer Bestellungen sind nicht mit dem Server synchronisiert
MsgOrdersReportWarningOpenOrders,Sie haben offene Bestellungen:
MsgOrdersReportManagerWarningOpenUnsyncedOrders,Einige der Bestellungen sind offen
MsgOrdersReportManagerWarningOpenOrders,Es gibt offene Bestellungen
MsgOrdersReportManagerWarningUnsyncedOrders,Einige der Bestellungen sind nicht mit dem Server synchronisiert
MsgOrdersReportManagerWarningNoData,Einige Ihrer Bestellungen sind vielleicht offen oder nicht mit dem Server synchronisiert
MsgClockInToAccessError,Zeiterfassung des Mitarbeiters läuft nicht oder kann nicht bestätigt werden.
MsgClockInToAccessClockIn,Anmelden
MsgClockInToAccessManagerOverride,Manager Überschreiben
MsgClockInToAccessOverride,Überschreiben
MsgClockInToAccessCancel,Abbrechen
MsgClockInToAccessLoginVerification,Login Verifizieren...
MsgClockInDisableClockInCheck,Überprüfung der Zeiterfassung für die Rechnung deaktivieren
MsgClockInForHours,Für wie viele Stunden
MsgBarTabCardReaderLostConnection,Verbindung mit dem Kartenleser konnte nicht hergestellt werden.\nErneut versuchen?
MsgDataStorageDbBackup,"Datenbank Backup, Version: %@"
MsgDataStorageDbPosStations,Datenbank stammt von der POS-Station: %@
MsgDataStoreUnableToFindPos2v,Nicht in der Lage pos2v.sqlite zu finden.
MsgDataStorageConfigureEmail,Konfigurieren Sie Ihre E-Mail
MsgDataStorageFailedToCreateWritableDb,Fehler beim Erstellen des beschreibbaren Datenbankdatei mit Meldung '%@'.
MsgDataStorageDataFetchFailed,Datenabruf ist fehlgeschlagen
MsgDataStorageDatabaseTooBigToUpload,Die Größe der Datei überschreitet die Grenze für E-Mail-Anhänge. Daher wurde die Datenbank direkt auf den Server hochgeladen.
MsgDataStorageReportsSales,VERKÄUFE
MsgDataStorageReportsTotalOrders,Alle Bestellungen
MsgDataStorageReportsAverageSale,Durchschnittsverkauf
MsgDataStorageReportsTaxableSales,Steuerpflichtige Umsätze
MsgDataStorageReportsNonTaxableSales,Nicht-steuerpflichtige Umsätze
MsgDataStorageReportsCRVCharges,CRV-Gebühren
MsgDataStorageReportsTotalProductSales,PRODUKTVERKAUF INSGESAMT
MsgDataStorageReportsTotalSalesLower,Gesamtumsatz
MsgDataStorageReportsItemDiscounts,Artikelrabatte
MsgDataStorageReportsOrderDiscounts,Bestellungsrabatte
MsgDataStorageReportsCoupons,Rabattgutscheine
MsgDataStorageReportsTotalDiscounts,Rabatte Insgesamt
MsgDataStorageReportsNetSales,Nettoumsatz
MsgDataStorageReportsSalesTax,Umsatzsteuer
MsgDataStorageReportsSurcharges,Zuschläge
MsgDataStorageReportsRoundingDeltas,Rundungsdeltas
MsgDataStorageReportsServiceCharges,Service-Gebühr
MsgDataStorageReportsTaxRebate,Steuerermäßigung
MsgDataStorageReportsTotalTaxes,STEUERN INSGESAMT
MsgDataStorageReportsDepositTotal,Einlagen
MsgDataStorageReportsApplDepTotal,Appl.Dep.
MsgDataStorageReportsAppliedDepositsTotal,Abgerechnete Vorauszahlung
MsgDataStorageReportsTotalTax,Steuern Insgesamt
MsgDataStorageReportsNetToAccountFor,NETTO AN KONTO FÜR
MsgDataStorageReportsNetToAccountForLower,Netto an Konto für
MsgDataStorageReportsVoids,LEERPOSITIONEN
MsgDataStorageReportsVoidedItems,Stornierte Artikel
MsgDataStorageReportsVoidedTotal,Insgesamt Storniert
MsgDataStorageReportsReturns,RÜCKNAHMEN
MsgDataStorageReportsReturnedItems,Zurückgegebene Artikel
MsgDataStorageReportsReturnedTotal,Rückläufer Insgesamt
MsgDataStorageReportsRefunds,ERSTATTUNGEN
MsgDataStorageReportsRefundsNumber,Anzahl Erstattungen
MsgDataStorageReportsRefundsTotal,Erstattungen Insgesamt
MsgDataStorageReportsComps,GRATIS
MsgDataStorageReportsCompsItems,Gratis Artikel
MsgDataStorageReportsCompsTotal,Gratis Insgesamt
MsgDataStorageReportsExchanges,AUSTAUSCH
MsgDataStorageReportsExchangedTotal,Insgesamt Ausgetauscht
MsgDataStorageReportsCashAdjustments,BARGELD ANPASSUNGEN
MsgDataStorageReportsPayouts,Auszahlungen
MsgDataStorageReportsPayins,Einzahlungen
MsgDataStorageReportsPayoutsTotal,Auszahlungen Insgesamt
MsgDataStorageReportsPayments,ZAHLUNGEN
MsgDataStorageReportsPaymentsLower,Zahlungen
MsgDataStorageReportsCashPaymentsReceived,Barzahlungen Erhalten
MsgDataStorageReportsLiabilities,Summe der Passiva
MsgDataStorageReportsCash,Bargeld
MsgDataStorageReportsTips,TRINKGELDER
MsgDataStorageReportsTipsLowercase,Trinkgelder
MsgDataStorageReportsCashTips,Trinkgeld Bar
MsgDataStorageReportsCreditTips,Trinkgeld Kredit
MsgDataStorageReportsLevelUpTips,Trinkgeld Heraufgeschraubt
MsgDataStorageReportsIndexTips,Index Trinkgelder
MsgDataStorageReportsGiftTips,Geschenkte Trinkgelder
MsgDataStorageReportsDebitTips,Debit Trinkgelder
MsgDataStorageReportsHouseAccountTips,Hauskonto Trinkgelder
MsgDataStorageReportsTradeTips,Handel Trinkgelder
MsgDataStorageReportsWoraPayTips,WoraPay Trinkgeld
MsgDataStorageReportsZapperTips,Andere Trinkgelder
MsgDataStorageReportsStoreCreditTips,Guthaben speichern
MsgDataStorageReportsCustomPaymentTips,Benutzerdefinierte Zahlungs-Trinkgelder
MsgDataStorageReportsOtherTips,Andere Trinkgelder
MsgDataStorageReportsTotalTips,ALLE TRINKGELDER
MsgDataStorageReportsTotal,INSGESAMT
MsgDataStorageReportsEmployee,MITARBEITER
MsgDataStorageReportsEmployeeHas1OpenOrderOnServer,MITARBEITER HAT 1 OFFENE BESTELLUNG AUF DEM SERVER
MsgDataStorageReportsEmployeeHasManyOpenOrderOnServer,MITARBEITER HAT %@ OFFENE BESTELLUNGEN AUF DEM SERVER
MsgDataStorageReports1OpenOrderOnServer,1 OFFENE BESTELLUNG AUF DEM SERVER
MsgDataStorageReportsManyOpenOrderOnServer,%@ OFFENE BESTELLUNGEN AUF DEM SERVER
MsgDataStorageReportsType,Typ
MsgDataStorageReportsPayment,Zahlung
MsgDataStorageReportsTip,Trinkgeld
MsgDataStorageReportsTypePaymentForEpson,Typ # Zahlung\n
MsgDataStorageReportsTotal0ForEpson,INSGESAMT                0                0.00\n
MsgDataStorageReportsTypePaymentTipTotalForEpson,Typ # Zahlung Trinkgeld Insgesamt\n
MsgDataStorageReportsTotal0000ForEpson,INSGESAMT      0      0.00      0.00      0.00\n
MsgDataStorageReportsTypePaymentForRaster,Typ # Zahlung\n
MsgDataStorageReportsTotal0ForRaster,INSGESAMT                0                0.00\n
MsgDataStorageReportsTypePaymentTipTotalForRaster,Typ # Zahlung Trinkgeld Insgesamt\n
MsgDataStorageReportsTotal0000ForRaster,INSGESAMT      0      0.00      0.00      0.00\n
MsgDataStorageReportsCashDueEmployee,GESCHULDETES BARGELD MITARBEITER
MsgDataStorageReportsCashDueHouse,BARGELD GESCHULDET HAUS
MsgDataStorageReportsOrder_,Bestellung
MsgDataStorageReportsAmount,Betrag
MsgDataStorageReportsTransactions,TRANSAKTIONEN
MsgDataStorageReportsDeclaredTips,Deklarierte Trinkgelder
MsgDataStorageReportsOpenOrdersMany,Offene Bestellungen
MsgDataStorageReportsPrintDate,Druckdatum
MsgDataStorageReportsProductData,PRODUKTDATEN
MsgDataStorageReportsProductByClassData,PRODUKTDATEN
MsgDataStorageReportsProductByCategoryData,PRODUKTDATEN
MsgDataStorageReportsProductBySubcategoryData,PRODUKTDATEN
MsgDataStorageReportsClass,Klasse
MsgDataStorageReportsSalesLowercase,Umsätze
MsgDataStorageReportsVisa,Visa
MsgDataStorageReportsMasterCard,MasterCard
MsgDataStorageReportsDiscover,Discover
MsgDataStorageReportsAmericanExpress,American Express
MsgDataStorageReportsGiftCards,Geschenkkarten
MsgDataStorageReportsOther,Andere
MsgDataStorageReportsDebit,Debit
MsgDataStorageReportsTotalPayments,Zahlungen Insgesamt
MsgDataStorageReportsTotalTipsLowercase,Trinkgelder Insgesamt
MsgDataStorageReportsCashDuesToHouse,Bargeld dem Haus Geschuldet
MsgDataStorageReportsAllEmployees,Alle Mitarbeiter
MsgDataStorageReportsEmployeeLowercase,Mitarbeiter
MsgDataStorageReportsGuests,GÄSTE
MsgDataStorageReportsGuestsNumber,Gäste Insgesamt
MsgDataStorageReportsGuestsAverageSale,Durchschnittlicher Umsatz Pro Gast
MsgDataStorageReportsOtherPayments,Andere Zahlungen
MsgDataStorageReportsHourlySalesHeader,STÜNDLICHE UMSÄTZE
MsgDataStorageReportsHourlySalesTime,ZEIT
MsgDataStorageReportsHourlySalesSales,VERKÄUFE
MsgDataStorageReportsHourlySalesTrans,#TR
MsgDataStorageReportsHourlySalesAvgTrans,DURCHSCHNITTLICHES TR
MsgDataStorageReportsHourlySalesSalesPercent,%Umsatz
MsgDataStorageReportsHourlySalesTotals,Insgesamt:
MsgDataStorageReportsLaborHeader,ARBEIT
MsgDataStorageReportsLaborTime,ZEIT
MsgDataStorageReportsLaborSales,VERKÄUFE
MsgDataStorageReportsLaborManHrs,PersonalStd.
MsgDataStorageReportsLaborSPMH,SPMH
MsgDataStorageReportsLaborWages,LÖHNE
MsgDataStorageReportsLaborPercentLabor,%ARBEIT
