LocaleIdentifier,FR
BtnOrderEditAddTax,Ajouter une taxe
BtnOrderEditRemoveTax,Supprimer la taxe
BtnOrderEditChangeCourse,Plat %d
BtnOrderEditChangeSeat,Changer la place
BtnOrderEditShare,Partager
BtnOrderEditSplit,Diviser
BtnOrderEditFirstHalf,Première partie
BtnOrderEditSecondHalf,Deuxième partie
BtnOrderEditPrintLabel,Imprimer l’étiquette
BtnOrderEditServiceFee,Frais de service
BtnOrderOverridePrice,Forcer le prix
BtnOrderTrackCateringDelivery,Date de livraison
BtnOrderCopyItem,Copier
BtnOrderInventoryLookup,Recherche dans l’inventaire
BtnOrderModOptionNo,Non
BtnOrderModOptionSide,Du côté
BtnOrderModOptionOnly,Uniquement
BtnOrderModOptionLite,Léger
MsgOrderPayBalanceDue,Solde dû
MsgOrderPayAmountTendered,Montant payé
MsgOrderPayChangeTitle,Changer
MsgOrderPayChangeDueTitle,Monnaie à rendre
MsgOrderPayHide,Cacher
MsgOrderPayTip,Pourboire: %@
MsgOrderPayAutoGratuity,Pourboire automatique: %@
MsgOrderPayChange,À rendre: %@
MsgOrderPayCashRounded,Espèces arrondies: %@
BtnOrderPayAddPoints,Ajouter %d points
BtnOrderPayAddRewards,Ajouter %d récompenses
BtnOrderCaptionAddRewards,Ajouter des récompenses
BtnOrderCaptionAddPoints,Ajouter des points
BtnOrderPayRedeemPoints,Utiliser les points
BtnOrderPayRedeemGifts,Déduire les cadeaux
BtnOrderPayRedeemRewards,Utiliser les récompenses
BtnOrderPayCancelRedemption,Annuler le remboursement
BtnOrderPayRedeemReward,Utiliser la récompense
BtnOrderPayRewards,Récompenses
BtnOrderPayHotspot,Borne Wi-Fi
BtnOrderPayTipAmount,Montant du pourboire
BtnOrderPayEmail,E-mail
BtnOrderPayReprint,Réimprimer
BtnOrderPayRefundPayments,Rembourser les paiements
BtnOrderPayRewardPoints,Points de fidélité
BtnOrderPaySplitBill,Diviser l’addition
BtnOrderPayGiftReceipt,Reçu du cadeau
BtnOrderPayRetryLoadGiftCard,Réessayer de recharger la carte cadeau
BtnOrderPayFiscalInvoice,Annuler la facture
BtnOrderChargeBack,Réservoir cible
BtnOrderPayDone,Fini
BtnOrderPayRetryLoadCredit,Réessayer de recharger la carte cadeau
MsgModifiersTitle,Sélectionner les modificateurs pour %@
MsgModifierSelectAtLeastNumberModifier,Sélectionnez au moins %d modificateur(s).
MsgModifierSelectModifierTitle,Veuillez sélectionner:\n%@
MsgModifierSelectModifierNames,au moins %d modificateur(s) dans %@.\n
MsgModifierSelectAmount,Choisissez au maximum %d modificateurs.
MsgModifierSelectSubstitution,Choisissez un produit de substitution pour %@.
BtnModifiersFirstHalf,Première partie
BtnModifiersSecondHalf,Deuxième partie
MsgModifierNA,N/A
MsgQuickModifiers,Modificateurs rapides
MsgAddOnsPrice,Modules supplémentaires
MsgSpecialRequestSelect,Sélectionner une demande spéciale
MsgSpecialRequestEnter,Saisir une demande spéciale
MsgEnterVoidReason,Saisir le motif de l’annulation
MsgEnterReturnReason,Saisir le motif du retour
MsgVoidReason,Motif de l’annulation
MsgReturnReason,Motif du retour
MsgOther,Autres
MsgReason,Motif:
MsgVoidEnterReason,Saisir le motif
MsgVoidSelectProductsToVoid,Sélectionner les produits à annuler
MsgVoidSelectProductsToComp,Sélectionner les produits à offrir
MsgVoidSelectProductsTo,Sélectionner les produits à
MsgVoidCheckNumber,Note N°
MsgVoidGiftCardNumberForAmount,Réduire le solde de la carte N°%@ de %@?
MsgVoidGiftCardAndDecrease,Sélectionner les cartes cadeau à réduire
BtnDecrease,Réduire
OrderNotEditable,La commande est ouverte sur un autre TPV. Fermez-la pour la modifier sur celui-ci.
OrderHasChanges,La commande modifiée.  Enregistrée-la avant de quitter.
PaymentsAreDisabled,Les paiements sont désactivés.
Orders,Commandes
Order,Commande
Invoice,Facture
InvoiceCancel,Annuler la facture
OrderCancel,Annuler
MsgSplitItemTitle,Sélectionner les notes
MsgSplitItemAddBill,Ajouter une note
MsgSplitItemNotAllowedPaid,Le produit sur une note payée. La division du produit non autorisée.
MsgChangeSeatNotAllowedPaid,Le produit fait partie d’une note payée. Le changement de place non autorisé.
ActionExchangeSelectedItem,Échanger le produit sélectionné
ActionExchangeSeveralItems,Échanger plusieurs produits
ActionVoidSelectedItem,Annuler le produit sélectionné
ActionVoidSeveralItems,Annuler plusieurs produit
ActionReturnSelectedItem,Retourner le produit sélectionné
ActionReturnSeveralItems,Retourner plusieurs produits
ActionVoidReturnSeveralItems,Retourner plusieurs produits
ActionMoveSelectedItem,Déplacer le produit sélectionné
ActionMoveSeveralItems,Déplacer plusieurs produits
ActionChangeSeat,Changer la place
ActionAddQuantity,Ajouter la quantité
ActionDiscountItem,Produit(s) en réduction
ActionSplitItem,Diviser le produit
ActionEditModifiers,Modifier les modificateurs
ActionChangeDining,Changer de restauration
ActionChangeCourse,Changer le plat
ActionEditSpecialRequest,Demande spéciale
ActionFireNextCourse,Préparer le plat %d
ActionCopyItem,Copier le produit sélectionné
ActionCopyItems,Copier plusieurs produits
ActionLayawayItem,Produit mis de côté
ActionLayawayItems,Produits mis de côté
ActionReprintItem,Réimprimer le produit
ActionReprintItems,Réimprimer les produits
ActionRemakeItem,Retirer des produits
ActionRemakeItems,Retirer des produits
ActionManageCommission,Allouer une commission
ActionReprintToKitchen,Envoyer en cuisine
ActionServiceFee,Frais de service
ActionCompSelectedItem,%@ produit sélectionné
ActionCompSeveralItems,%@ plusieurs produits
ActionReprintOrderItems,Réimprimer le(s) produit(s)
ActionSendSelectedItem,Envoyer le produit sélectionné
ActionSendSeveralItems,Envoyer plusieurs produits
ActionSendAllItems,Envoyer tous les produits
ActionSendCourse,Envoyer le plat
ActionDiscountSelectedItem,Réduction du produit sélectionné
ActionDiscountSeveralItems,Réduction de plusieurs  produits
ActionSelectItemsTo,Sélectionner un/des  produit(s) à %@
ActionOverridePrice,Forcer le prix
ActionCopy,Copier
ActionVoid,Annuler
ActionLayaway,Mettre de côté
ActionMove,Déplacer
ActionExchange,Échanger
ActionReturn,Retourner
ActionVoidReturn,Retourner
ActionReturnToPump,Retour à la Pompe
ActionComp,Gratuit
ActionComps,Produit(s) gratuit(s)
ActionsForItem,Actions pour [%@]:
AdditionalActions,Actions supplémentaires
MsgComp,Gratuit
MsgActionScreenItemSentAt,Produit envoyé à
GiftCardCreate,Créer un certificat-cadeau
GiftCardManage,Gérer une carte cadeau
GiftCardVoid,Annuler la carte cadeau
StoreCreditVoid,Avoir
RewardCardCreate,Créer une carte de fidélité
RewardCardManage,Gérer une carte de fidélité
SplitEven,Diviser en parts égales
SplitOdd,Diviser manuellement
SplitSelect,Diviser par produit
SplitSeat,Diviser par numéro de la place
PosStation,Terminal
PosStations,Terminaux
PosStationMain,Principal
SetAsMain,Définir comme principal
MsgRegistrationInProcess,Enregistrement…
MsgRegistrationFailed,Échec de l’enregistrement
MsgRegistrationFailedWithReason,"Échec de l’enregistrement\nMotif - \""%@\"""
MsgRegistrationResync,Resynchroniser l’application?
MsgRegistrationTokenRetrieveFail,Échec de l’authentification. Réessayer?
MsgRegistrationTokenRetrieveFailWithReason,"Échec de l’authentification\nMotif - \""%@\""\nRéessayer?"
MsgRegistrationConfirmSettings,Votre URL est : %@\n\nVotre établissement est: %@\n\nEst-ce correct?
MsgRegistrationTokenAuthenticationFailed,Échec de l’authentification
MsgRefreshInProcess,Téléchargement de la configuration…
MsgRefreshDownloadingItemsWithOffsetAndPercents,%@: %d produits (%d%%)
MsgProductGroups,Groupes de produits
MsgCustomerGroups,Groupes de clients
MsgShipRates,Tarifs d’expédition
MsgModifierClasses,Classes de modificateur
MsgModifierDiscounts,Réductions de modificateur
MsgProductCategories,Catégories de produit
MsgUpsellCombos,Formule “Upsell”
MsgAttributes,Attributs
MsgAttributeValues,Valeurs de l’attribut
MsgIngredients,Ingrédients
MsgCallNames,Noms de lappel
MsgTaxes,Taxes
MsgTaxTables,Tables d’imposition
MsgTableTags,Marque-table
MsgProductClasses,Classes de produits
MsgCustomMenus,Menus personnalisés
MsgDisabledInTrainingMode,Cette fonctionnalité est désactivée en mode Formation.
MsgDisabledInTrainingModeAppleStore,Cette fonctionnalité est désactivée.
MsgIdentityProtectionTitle,Protection contre le vol d’identité
MsgIdentityProtectionVerify,Veuillez vérifier.
MsgDateErrors,Dates incorrectes
MsgDateRangeErrors,La période considérée dépasse une semaine.
MsgOrdersReportWarningNoData,"Certaines commandes sont peut-être ouvertes ou non synchronisées avec le serveur, le résumé des ventes peut être incomplet. Exécuter quand même ?"
MsgOrdersReportWarningUnsyncedOrders,"Certaines commandes ne sont pas synchronisées avec le serveur, le résumé des ventes peut être incomplet. Exécuter quand même?"
MsgOrdersReportWarningOpenOrders,Vous avez des commandes ouvertes:
MsgOrdersReportManagerWarningOpenUnsyncedOrders,"Certaines commandes ouvertes non synchronisées avec le serveur, le résumé des ventes peut être incomplet. Exécuter quand même?"
MsgOrdersReportManagerWarningOpenOrders,"Il y a des commandes ouvertes, le résumé des ventes peut être incomplet. Exécuter quand même ?"
MsgOrdersReportManagerWarningUnsyncedOrders,"Certaines commandes non synchronisées avec le serveur, le résumé des ventes peut être incomplet. Exécuter quand même?"
MsgOrdersReportManagerWarningNoData,"Plusieurs commandes peut-être ouvertes ou non synchronisées avec le serveur, le résumé des ventes peut être incomplet. Exécuter quand même ?"
MsgClockInToAccessError,Non pointé à larrivée ou le pointage ne peut pas être confirmé.
MsgClockInToAccessClockIn,Pointer à l’arrivée
MsgClockInToAccessManagerOverride,Forcer avec le code PIN de responsable
MsgClockInToAccessOverride,Forcer
MsgClockInToAccessCancel,Annuler
MsgClockInToAccessLoginVerification,Vérification de l’identifiant...
MsgClockInDisableClockInCheck,Désactiver la vérification du pointage à l’arrivée
MsgClockInForHours,Pour combien d’heures
MsgBarTabCardReaderLostConnection,Connexion impossible au lecteur de carte. \nEssayer de se reconnecter?
MsgDataStorageDbBackup,"Sauvegarde de la base de données, version: %@"
MsgDataStorageDbPosStations,La base de données provient du TPV: %@
MsgDataStoreUnableToFindPos2v,Impossible de trouver pos2v.sqlite.
MsgDataStorageConfigureEmail,Configurez votre e-mail pour utiliser cette fonctionnalité.
MsgDataStorageFailedToCreateWritableDb,Impossible de créer un fichier de base de données avec le message %@.
MsgDataStorageDataFetchFailed,Impossible de joindre le serveur pour mettre à jour la configuration. Merci de réessayer dans quelques minutes.
MsgDataStorageDatabaseTooBigToUpload,"La taille des fichiers dépasse la limite des pièces jointes pour email. Par conséquent, la base de donnée a été téléchargée directement sur le serveur."
MsgDataStorageReportsSales,VENTES
MsgDataStorageReportsTotalOrders,Total des commandes
MsgDataStorageReportsAverageSale,Vente moyenne
MsgDataStorageReportsTaxableSales,Ventes imposables
MsgDataStorageReportsNonTaxableSales,Ventes non imposables
MsgDataStorageReportsCRVCharges,Frais consignation demballage
MsgDataStorageReportsTotalProductSales,TOTAL DES VENTES DE PRODUIT
MsgDataStorageReportsTotalSalesLower,Total des ventes
MsgDataStorageReportsItemDiscounts,Réductions sur produit
MsgDataStorageReportsOrderDiscounts,Réductions sur commande
MsgDataStorageReportsCoupons,Bons d’achat
MsgDataStorageReportsTotalDiscounts,Réductions
MsgDataStorageReportsNetSales,Chiffre daffaires net
MsgDataStorageReportsSalesTax,Taxe des ventes
MsgDataStorageReportsSurcharges,Suppléments
MsgDataStorageReportsRoundingDeltas,Arrondis
MsgDataStorageReportsServiceCharges,Frais de gestion
MsgDataStorageReportsTaxRebate,Rabais de taxe
MsgDataStorageReportsTotalTaxes,TOTAL DES TAXES
MsgDataStorageReportsDepositTotal,Acomptes
MsgDataStorageReportsApplDepTotal,Appl acpte
MsgDataStorageReportsAppliedDepositsTotal,Acomptes pris
MsgDataStorageReportsTotalTax,TTC
MsgDataStorageReportsNetToAccountFor,VENTE NET AVEC TAXE
MsgDataStorageReportsNetToAccountForLower,Vente net avec taxe
MsgDataStorageReportsVoids,ANNULATIONS
MsgDataStorageReportsVoidedItems,Produits annulés
MsgDataStorageReportsVoidedTotal,Total des annulations
MsgDataStorageReportsReturns,RETOURS
MsgDataStorageReportsReturnedItems,Produits retournés
MsgDataStorageReportsReturnedTotal,Total des retours
MsgDataStorageReportsRefunds,REMBOURSEMENTS
MsgDataStorageReportsRefundsNumber,Nombre de remboursements
MsgDataStorageReportsRefundsTotal,Total des remboursements
MsgDataStorageReportsComps,GRATUITS
MsgDataStorageReportsCompsItems,Produits gratuits
MsgDataStorageReportsCompsTotal,Total gratuits
MsgDataStorageReportsExchanges,ÉCHANGES
MsgDataStorageReportsExchangedTotal,Total échangés
MsgDataStorageReportsCashAdjustments,AJUSTEMENTS EN ESPÈCES
MsgDataStorageReportsPayouts,Retraits
MsgDataStorageReportsPayins,Dépôts
MsgDataStorageReportsPayoutsTotal,Total des retraits
MsgDataStorageReportsPayments,PAIEMENTS
MsgDataStorageReportsPaymentsLower,Paiements
MsgDataStorageReportsCashPaymentsReceived,Paiements en espèces reçus
MsgDataStorageReportsLiabilities,Total du passif
MsgDataStorageReportsCash,Espèces
MsgDataStorageReportsTips,POURBOIRES
MsgDataStorageReportsTipsLowercase,Pourboires
MsgDataStorageReportsCashTips,Pourboires en espèces
MsgDataStorageReportsCreditTips,Pourboires en crédit
MsgDataStorageReportsLevelUpTips,Pourboires LevelUp
MsgDataStorageReportsIndexTips,Pourboire Index
MsgDataStorageReportsGiftTips,Pourboires Cadeau
MsgDataStorageReportsDebitTips,Pourboire Débit
MsgDataStorageReportsHouseAccountTips,Pourboires Compte Maison
MsgDataStorageReportsTradeTips,Pourboire Trade
MsgDataStorageReportsWoraPayTips,Pourboires WoraPay
MsgDataStorageReportsZapperTips,Autres pourboires
MsgDataStorageReportsStoreCreditTips,Avoir
MsgDataStorageReportsCustomPaymentTips,Pourboires personnalisées
MsgDataStorageReportsOtherTips,Autres pourboires
MsgDataStorageReportsTotalTips,TOTAL DES POURBOIRES
MsgDataStorageReportsTotal,TOTAL
MsgDataStorageReportsEmployee,EMPLOYÉ
MsgDataStorageReportsEmployeeHas1OpenOrderOnServer,L’EMPLOYÉ A 1 COMMANDE OUVERTE SUR LE SERVEUR
MsgDataStorageReportsEmployeeHasManyOpenOrderOnServer,L’EMPLOYÉ A %@ COMMANDES OUVERTES SUR LE SERVEUR
MsgDataStorageReports1OpenOrderOnServer,1 COMMANDE OUVERTE SUR LE SERVEUR.
MsgDataStorageReportsManyOpenOrderOnServer,%@ COMMANDES OUVERTES SUR LE SERVEUR.
MsgDataStorageReportsType,Type
MsgDataStorageReportsPayment,Paiement
MsgDataStorageReportsTip,Pourboire
MsgDataStorageReportsTypePaymentForEpson,Type               N°               Paiement\n
MsgDataStorageReportsTotal0ForEpson,"TOTAL                0                0,00\n"
MsgDataStorageReportsTypePaymentTipTotalForEpson,Type       N°   Paiement       Pourboire     Total\n
MsgDataStorageReportsTotal0000ForEpson,"TOTAL      0      0,00      0,00      0,00\n"
MsgDataStorageReportsTypePaymentForRaster,Type               N°               Paiement\n
MsgDataStorageReportsTotal0ForRaster,"TOTAL                0                0,00\n"
MsgDataStorageReportsTypePaymentTipTotalForRaster,Type       N°   Paiement       Pourboire     Total\n
MsgDataStorageReportsTotal0000ForRaster,"TOTAL      0      0,00      0,00      0,00\n"
MsgDataStorageReportsCashDueEmployee,DÛ À L’EMPLOYÉ
MsgDataStorageReportsCashDueHouse,DÛ À L’ÉTABLISSEMENT
MsgDataStorageReportsOrder_,Commande
MsgDataStorageReportsAmount,Montant
MsgDataStorageReportsTransactions,TRANSACTIONS
MsgDataStorageReportsDeclaredTips,Pourboires déclarés
MsgDataStorageReportsOpenOrdersMany,Commandes ouvertes
MsgDataStorageReportsPrintDate,Date d'impression
MsgDataStorageReportsProductData,DONNÉES DU PRODUIT
MsgDataStorageReportsProductByClassData,DONNÉES DU PRODUIT
MsgDataStorageReportsProductByCategoryData,DONNÉES DU PRODUIT
MsgDataStorageReportsProductBySubcategoryData,DONNÉES DU PRODUIT
MsgDataStorageReportsClass,Classe
MsgDataStorageReportsSalesLowercase,Ventes
MsgDataStorageReportsVisa,Visa
MsgDataStorageReportsMasterCard,Mastercard
MsgDataStorageReportsDiscover,Discover
MsgDataStorageReportsAmericanExpress,American Express
MsgDataStorageReportsGiftCards,Cartes cadeaux
MsgDataStorageReportsOther,Autres
MsgDataStorageReportsDebit,Débit
MsgDataStorageReportsTotalPayments,Total des paiements
MsgDataStorageReportsTotalTipsLowercase,Total des pourboires
MsgDataStorageReportsCashDuesToHouse,À payer à l’établissement
MsgDataStorageReportsAllEmployees,Tous les employés
MsgDataStorageReportsEmployeeLowercase,Employé
MsgDataStorageReportsGuests,CLIENTS
MsgDataStorageReportsGuestsNumber,Total de clients
MsgDataStorageReportsGuestsAverageSale,Vente moyenne par client
MsgDataStorageReportsOtherPayments,Autres paiements
MsgDataStorageReportsHourlySalesHeader,VENTES HORAIRES
MsgDataStorageReportsHourlySalesTime,HEURE
MsgDataStorageReportsHourlySalesSales,VENTES
MsgDataStorageReportsHourlySalesTrans,N°OP
MsgDataStorageReportsHourlySalesAvgTrans,OP MOY
MsgDataStorageReportsHourlySalesSalesPercent,%VENTES
MsgDataStorageReportsHourlySalesTotals,Totaux :
MsgDataStorageReportsLaborHeader,TRAVAIL
MsgDataStorageReportsLaborTime,HEURE
MsgDataStorageReportsLaborSales,VENTES
MsgDataStorageReportsLaborManHrs,Heure-personne
MsgDataStorageReportsLaborSPMH,VPEH»
MsgDataStorageReportsLaborWages,SALAIRES
MsgDataStorageReportsLaborPercentLabor,%TRAVAIL
MsgDataStorageReportsLaborTotals,Totaux :
MsgDataStorageReportsVoucherDetailsName,Nom
MsgDataStorageReportsVoucherDetailsTotal,TOTAL
MsgDataStorageReportsTender,Mode de paiement
MsgDataStorageReportsAdj,Ajust
MsgDataStorageReportsAmex,Amex
MsgDataStorageReportsMC,MC
MsgDataStorageReportsTotals,Totaux
MsgDataStorageReportsLevelup,LevelUp
MsgDataStorageReportsCashAdjDueToEmp,Aj. espèces dû à l’employé
MsgDataStorageReportsCashAdjDueToHouse,Aj. espèces dû à l’établissement
MsgDataStorageReportsCashSalesReceived,Ventes en espèces reçues
MsgDataStorageReportGC,g
MsgDataStorageReportsServiceFees,FRAIS DE SERVICE
MsgDataStorageReportsTaxServiceFees,Frais de services imposables
MsgDataStorageReportsUntaxServiceFees,Frais de service non imposables
MsgDataStorageReportsTotalServiceFees,Total des frais de service
MsgDataStorageReportsGrossSales,CHIFFRE DAFFAIRES BRUT
MsgDataStorageConnectionErroFailedToOpenDatabase,Impossible douvrir la base de données avec le message %s.
MsgDataStorageConnectionErroFailedToCloseDatabase,Erreur: impossible de fermer la base de données avec le message %s.
MsgDataStorageUnknownProvider,Inconnu
MsgDatabaseSendFailure,Envoi de la base de données vers le serveur impossible.
MsgDatabaseUpdateFailed,Mise à jour de la base de donnée locale impossible. Passez à la version inférieure %@ de votre application pour éviter les incohérences.
MsgStrangeBuildNumber,Avertissement: votre numéro de version ne correspond pas à la version de production.
MsgDatabaseSending,Envoi de la base de données vers le serveur
MsgDatabaseSendingBackup,Envoi de la sauvegarde de la base de données
MsgDatabaseUpgradingDatabase,Actualisation de la base de données
MsgDatabaseCopying,Création d’une copie de la base de données
MsgDatabaseSendSuccess,Téléchargement de la base de données réussi. Une notification a été envoyée à support@revelsystems.com.
MsgDatabaseBusy,La base de données ne répond pas. Réessayez plus tard.
MsgEmployeeSalesReport,Rapport des ventes des employés
MsgEmployeeSalesReportDateStart,Date de début
MsgEmployeeSalesReportDateEnd,Date de fin
MsgEmployeeSalesReportEmployee,Employé
MsgEmployeeSalesReportOpenOrders,Commandes ouvertes
MsgEmployeeSalesReportProductData,Données sur les produits
MsgEmployeeSalesReportProductDataByClass,Données sur les produits
MsgEmployeeSalesReportProductDataByCategory,Catégories de produit
MsgEmployeeSalesReportProductDataBySubcategory,Sélectionner une sous-catégorie
MsgEmployeeSalesReportCashTransactions,Transactions en espèces
MsgEmployeeSalesReportCreditTransactions,Transactions de crédit
MsgEmployeeSalesReportOtherTransactions,Autres transactions
MsgEmployeeSalesReportLocalData,Données locales
MsgEmployeeSalesReportHourlySales,Ventes horaires
MsgEmployeeSalesReportLabor,Travail
MsgEmployeeSalesReportTooLongOperation,La récupération du rapport de la console de gestion prend trop de temps. Afficher les données locales ?
MsgEmployeeSalesReportFailedOperation,Impossible de récupérer le rapport de la console de gestion. Afficher les données locales ?
BtnEmployeeSalesReportGetReport,Obtenir le rapport
BtnEmployeeSalesReportShowLocal,Afficher local
MsgSplitBillNewBillAddConfirm,La création d’une nouvelle note va modifier les valeurs des notes précédentes.
MsgSplitBillCheckTitle,Note N°%@ - %d
MsgSplitBillCheckNew,Note N°%@ - %d [NOUVELLE]
MsgSplitBillAllItemsAreAddedAlready,Tous les produits ont déjà été ajoutés.
MsgSplitBillSelectProducts,Sélectionner les produits
MsgSplitBillAdjustBillsTitle,Ajuster les notes
MsgSplitBillAdjustAmountDue,Ajustement nécessaire
MsgSplitBillAdjustTotal,Total
MsgSplitBillAdjustAdjust,Ajustement\ndu montant
MsgSplitBillAdjustBill,Chèque
MsgSplitBillApplyOrderDiscount,Cette commande bénéficie d’une réduction de %@.  À qu’elle note souhaitez-vous appliquer cette réduction ?
MsgSplitBillOrderNumberReceipt,Numéro de commande - Reçu
MsgSplitBillName,Nom
MsgSplitBillQty,Qté
MsgSplitBillEach,Prix unit.
MsgSplitBillTotal,Total
MsgSplitBillDiscounts,Réductions:
MsgSplitBillTotalDiscounts,Réductions:
MsgSplitBillSubTotal,Sous-total:
MsgSplitBillSurcharge,Supplément:
MsgSplitBillTax,Taxe:
MsgSplitBillTOTAL,TOTAL:
MsgSplitBillBalanceDue,Solde dû:
MsgSplitBillAddItems,Ajouter des produits
MsgSplitBillPrintCheck,Imprimer la note
MsgSplitBillPayCheck,Payer la note
MsgSplitBillTipGrat,Pourboire
MsgSplitBillDiscount,Réduction
MsgProductSelectComboOptions,Sélectionner les options de la formule “Combo”
MsgProductNameSelectoptions,%@: Sélectionner les options
MsgProductChooseSlot,%@ (Choisissez %@)
MsgWouldYouLikeToMakeItACombo,Voulez-vous le définir comme “Combo”?
MsgNonComboPrice,Le prix non “Combo”: %@
MsgComboIncludes,“Combo” inclut %@
BtnAddMods,Ajouter des modificateurs
BtnMods,Modifications
BtnSkipComboOptions,Passer les options “Combo”
MsgUpsellWithSlotAndPrice,avec %@
MsgUpsellProductNameChooseOptions,%@: Choisir options %@
MsgUpsellDfltNameViewAll,Tout afficher
MsgUpsellDfltNameNoMeal,Pas de repas
MsgUpsellDfltNameSmall,Petite
MsgUpsellDfltNameMedium,Moyen
MsgUpsellDfltNameLarge,Grande
MsgUpsellDfltNameXtraLarge,Très grand
MsgUpsellDfltNameSuper,Géant
MsgUpsellCreatingUpsellProduct,Création d’un produit “Upsell”
MsgUpsellTapHoldDragTipText,"Appuyez, maintenez, faîtes glisser et relâcher pour sélectionner la quantité"
MsgSplitBillSeatExistingPaymentsWillBeRefunded,Les paiements existants seront remboursés. Voulez-vous vraiment continuer?
MsgSplitBillPrintAllChecks,Imprimer toutes les notes
MsgSplitBillClearSplitBills,Annuler la division de laddition
MsgSplitBillOrderScreen,Écran de commande
MsgSplitBillRefundPayments,Rembourser les paiements
MsgSplitBillNewCheck,Ajouter une nouvelle note
MsgSplitBillPAID,PAYÉ
MsgSplitBillCanNotAddItemToPaidBill,Les produits ne peuvent pas être ajoutés à une note déjà réglée. Utilisez-en une autre.
MsgSplitBillSplitBill,Diviser l’addition
MsgSplitBillEnterNumberOfPersons,Saisir le nombre de personnes
MsgPaymentProcessorsProcessingPleaseWait,Traitement en cours. Veuillez patienter...
BtnGiftCardLinked,Carte liée
BtnGiftCardLink,Carte cadeau liée
BtnGiftCardProcessorsReSwipeCard,Réutiliser le lecteur de carte
BtnGiftCardProcessorsSwipeCard,Utiliser la carte
MsgGiftCardSelectLinked,Sélectionner une carte cadeau liée
MsgGiftCardProcessorsSynergyError,Erreur de Synergie
MsgGiftCardProcessorsCardNumberEmpty,Numéro de carte vide! Veuillez réessayer!
MsgGiftCardProcessorsZerroAmount,"Le montant doit être supérieur à $0,00!"
MsgGiftCardProcessorsEnterAmount,Saisir le montant
MsgGiftCardProcessorsCardSuccAct,Activation de la carte réussie.\nSolde: %.2f
MsgGiftCardProcessorsCardUpdatedSucc,Carte mise à jour avec succès.
MsgGiftCardProcessorsInsufficientFunds,Fonds insuffisants sur la carte.\nSolde: %.2f
MsgGiftCardProcessorsFailedToUpdate,Échec de la mise à jour de la carte.
MsgGiftCardProcessorsFailedToActivate,Échec de l’activation de la carte.
MsgGiftCardProcessorsFailedToFetch,Échec de la récupération des informations de la carte.
MsgGiftCardProcessorsValutecError,Erreur Valutec
MsgGiftCardProcessorsFailedToCreate,Création de la carte impossible.
MsgGiftCardProcessorsCardCreatedSucc,Carte %@ créée avec succès.\nSolde: %.2f
MsgGiftCardProcessorsCardIsActive,La carte est déjà active.
MsgGiftCardProcessorsCardIsNotActive,La carte na pas été activée.
MsgGiftCardProcessorsRefundOfGiftPayment,Le remboursement des paiements par carte cadeau inférieurs à %@ n’est pas autorisé.
MsgGiftCardProcessorsGivexTransFailed,Échec de la transaction Givex!\n%@
MsgGiftCardProcessorsCardCreatedSucc2,Carte %@ créée avec succès.
MsgGiftCardProcessorsCardSuccAct2,Carte activée avec succès.
MsgGiftCardProcessorsCardValueAdded,Valeur ajoutée à la carte.
MsgGiftCardProcessorsFailedToUpdateCard,Échec de la mise à jour de la carte N°%@.\n%@
MsgGiftCardProcessorsCustomerIsLinkedSucc,Client lié avec succès.
MsgGiftCardProcessorsFailedToLinkCust,Impossible de lier le client.
MsgGiftCardProcessorsFailedToLinkCheckLog,Impossible de lier le client.
MsgGiftCardProcessorsFailedToSyncCustomer,Échec de la synchronisation des informations de la carte. L’action sera à nouveau effectuée en arrière-plan.
MsgGiftCardProcessorsSwipeGiftCard,Utilisez la carte cadeau
MsgGiftCardProcessorsWaitingForCardSwipe,En attente de l’insertion de la carte.
MsgGiftCardProcessorsCardNrMustBeGreateThanZero,La longueur du numéro de la carte doit être supérieure à 0.
MsgGiftCardProcessorsLocation,Emplacement
MsgGiftCardProcessorsBadSwipe,Mauvaise lecture. Veuillez réessayer.
MsgGiftCardProcessorsWaitingForSwipe,En attente de votre carte!
MsgGiftCardProcessorsAddGiftCardSupport,Ajouter l’assistance pour la carte cadeau?
MsgGiftCardProductName,Cadeau %.2f
MsgGiftCardProcessorsCardNotFound,Numéro de carte introuvable. Veuillez réessayer.
MsgGiftCardsManage,Gérer les cartes cadeaux
MsgGiftCardsCustomerHasNoCards,%@ na pas encore de cartes cadeaux liées.
MsgGiftCardPromptToLinkCardToCustomer,Souhaitez-vous associer la carte cadeau N°%@ au client %@?
MsgPaymentGiftCardAuthorization,Autorisation de la carte cadeau
MsgCardReadersError,Erreur %i: %@
MsgCardReadersPortableError,Erreur de l’appareil mobile
MsgCardReadersPleaseConfigProperSwipe,Veuillez configurer un lecteur de carte adéquat pour ce terminal.
MsgCardReadersCardSwipeNoData,Lecture non valide
MsgCardReadersFailedToReadCardNumber,Impossible de lire le numéro de la carte
BtnRewardCardsLinkCustomer,Lier le client
BtnRewardCardsLinkOtherCustomer,Lier un autre client
BtnRewardCardsLinkCurrentCustomer,Lier le client actuel
BtnRewardCardsCustomerInfo,Informations du client
BtnRewardCardsLink,Lier les récompenses
BtnRewardCardsAddPoints,Ajouter des points
MsgRewardCardsCardNrLengthNoOption,La longueur du numéro de la carte doit être %d ou %d.
MsgRewardCardsCardNrLength,La longueur du numéro de la carte doit être %d ou %d.
MsgRewardCardsSwipeRewardCard,Utiliser la carte de fidélité
