LocaleIdentifier,IT
MsgPaymentHasNotProcessedDeclinedPayments,Risultano %d pagamenti rifiutati che non sono stati elaborati per oltre 24 ore.\n\nRiprova o elimina la registrazione\n (schermata dei pagamenti rifiutati)
MsgPaymentHasNotProcessedRetryAll,Riprova tutto
MsgPaymentRefundFailed,Rimborso non riuscito
MsgPaymentErrorCardNumberInvalidDigitCount,Il numero della carta deve contenere da 12 a 16 cifre.
MsgPaymentErrorCardNumberInvalid,Numero della carta non valida.
MsgPaymentErrorCardExpired,Carta di credito scaduta.
MsgPaymentErrorMissingFields,Compila i campi mancanti:
MsgPaymentThisTypeOfRefundNotSupportedContactZapperSupport,Questo tipo di rimborso non è momentamente supportato. Contatta il supporto Zapper.
MsgPaymentEnterGratuity,Inserisci costo servizio aggiuntivo
MsgPaymentAddGratuityToPayment,La ricevuta include un costo servizio aggiuntivo. Questo pagamento include un servizio o l’importo intero di quel servizio?
MsgPaymentTotalGratuity,Totale costo servizio aggiuntivo
MsgPaymentRemainingGratuity,Importo servizio aggiuntivo rimanente
MsgPaymentGratuityAmount,Importo servizio aggiuntivo
MsgPaymentCheckHasOutstandingGratuity,Questa ricevuta include un costo servizio aggiuntivo straordinario. Procedi con chiusura?
MsgPaymentSomeChecksHaveOutstandingGratuity,Alcune ricevute includono del costo servizio aggiuntivo straordinario. Procedi con chiusura?
MsgFirstDataCreditCardBatchFormReport,Premi “Report” per creare il riepilogo pagamenti
MsgFirstDataCreditCardBatchSettlePayments,Premi “Salda pagamenti” per creare un riepilogo e saldare tutti i pagamenti
BtnFirstDataCreditCardSettlePayments,Salda pagamenti
BtnFirstDataCreditCardReportPayments,Report
MsgPaymentEFTPOSPartialRefundIsNotAllowed,Rimborso parziale non consentito. Prima è necessario acquisire la transazione.
MsgPaymentPartialRefundIsNotAllowed,Rimborso PayPal non riuscito
MsgUncapturedPaymentsNotificationReport,Premi “Report” per creare il riepilogo pagamenti
PaymentCash,Contante
PaymentCredit,Credito
PaymentCreditManual,Inserimento manuale carta di credito
PaymentUseCreditManual,Pagamento manuale con carta di credito
PaymentCreditPlus,Credit +
PaymentGiftCard,Carta regalo
PaymentCheck,Assegno
PaymentCustomerCredit,Credito cliente
PaymentIndex,Indice
PaymentDebit,Debito
PaymentBadge,Tessera
PaymentPreAuthFinalize,Finalizza pagamento
PaymentPreAuthCancel,Annulla preautorizzazione
PaymentStanfordCard,Carta Stanford
PaymentStoreCredit,Totale carte di credito:
CardTypeOther,ALTRO
CardTypeTrade,SCAMBIO
CardTypeHouseAccount,CONTO PRIVATO
CardTypeGiftCard,CARTA REGALO
CardTypeDebit,DEBITO
MsgPaymentEnterCheckOrCustomOptionNumber,Inserisci numero %@
MsgPaymentCheckEndorseAmountPaid,Importo pagato
MsgPaymentChargeBackToCard,Importo ENT è stato reso alla carta
MsgPaymentChargeBackCash,Importo ENT è stato reso alla carta
MsgTillsEnterQuantityOfNotes,Desideri inserire numero di note?
MsgTillsEnterQuantity,Inserisci la quantità
MsgQuantityOfNotes,Quantità di note
MsgTillAlertSubject,Avviso cassa  %@
MsgTillAlertMessage,"La cassa su %@, cassetto #%d ha raggiunto %@."
MsgTillAlertMessageToCashier,I contanti nel cassetto hanno superato il %@ limite.\n Esegui deposito bancario ora.
MsgTillsTillNameSingular,Cassetto
MsgTillsReassignTill,Vuoi riassegnare questo cassetto?
MsgTillsNoActiveTills,Nessun cassetto attivo.
MsgSystemHasActiveTills,C’è un cassetto attivo assegnato ad un altro dipendente.
MsgTillMaxAmountReachedEmail,"La cassa su %@, cassetto #%d ha raggiunto %@."
MsgReceiptTypeGift,RICEVUTA REGALO
MsgReceiptGift2,REGALO
BtnOrderHeaderSettings,Impostazioni
BtnOrderHeaderCustomers,Clienti
BtnOrderHeaderOrders,Ordini
BtnSearch,Cerca
BtnWelcome,Benvenuti
MsgOrderCommission,Commissione
MsgOrderEditCombo,Modifica combo
MsgOrderAddCombo,Aggiungi combo
MsgOrderEditQuantity,Quantità
MsgOrderEditSpecialRequest,Richiesta speciale
MsgOrderEditSelectComboItem,Seleziona articolo combo
MsgOrderEditNoInformationAvailable,[Info non disponibile]
BtnOrderEditSetQuantity,Imposta la quantità
BtnOrderEdit,Modifica i modificatori
BtnOrderEditDiningOption,Opzione ristorazione
BtnOrderEditDiscount,Sconto articolo
BtnOrderEditAddTax,Aggiungi IVA
BtnOrderEditRemoveTax,Rimuovi IVA
BtnOrderEditChangeCourse,Portata %d
BtnOrderEditChangeSeat,Cambia posto
BtnOrderEditShare,Condividi
BtnOrderEditSplit,Suddividi
BtnOrderEditFirstHalf,1° metà
BtnOrderEditSecondHalf,2° metà
BtnOrderEditPrintLabel,Stampa etichetta
BtnOrderEditServiceFee,Costo di servizio
BtnOrderOverridePrice,Modifica il prezzo
BtnOrderTrackCateringDelivery,Data di consegna
BtnOrderCopyItem,Copia
BtnOrderInventoryLookup,Ricerca inv.
BtnOrderModOptionNo,No
BtnOrderModOptionSide,Contorno
BtnOrderModOptionOnly,Solo
BtnOrderModOptionLite,Light
MsgOrderPayBalanceDue,Saldo dovuto
MsgOrderPayAmountTendered,Importo offerto
MsgOrderPayChangeTitle,Modifica
MsgOrderPayChangeDueTitle,Modifica dovuta
MsgOrderPayHide,Nascondi
MsgOrderPayTip,Mancia: %@
MsgOrderPayAutoGratuity,Costo servizio aggiuntivo automatico: %@
MsgOrderPayChange,Modifica %@
MsgOrderPayCashRounded,Contante arrotondato: %@
BtnOrderPayAddPoints,Aggiungi %d punti
BtnOrderPayAddRewards,Aggiungi %dRicompense
BtnOrderCaptionAddRewards,Aggiungi ricompense
BtnOrderCaptionAddPoints,Aggiungi punti
BtnOrderPayRedeemPoints,Riscatta punti
BtnOrderPayRedeemGifts,Riscatta regali
BtnOrderPayRedeemRewards,Riscatta ricompense
BtnOrderPayCancelRedemption,Cancella riscatto
BtnOrderPayRedeemReward,Riscatta punti fedeltà
BtnOrderPayRewards,Ricompense
BtnOrderPayHotspot,Punto d’accesso
BtnOrderPayTipAmount,Importo mancia:
BtnOrderPayEmail,E-mail
BtnOrderPayReprint,Ristampa
BtnOrderPayRefundPayments,Rimborso pagamenti
BtnOrderPayRewardPoints,Punti fedeltà
BtnOrderPaySplitBill,Ricevuta condivisa
BtnOrderPayGiftReceipt,Ricevuta regalo
BtnOrderPayRetryLoadGiftCard,Riprova carico carta regalo
BtnOrderPayFiscalInvoice,Cancella fattura
BtnOrderChargeBack,Cisterna di obiettivo
BtnOrderPayDone,Fatto
BtnOrderPayRetryLoadCredit,Riprova carico carta regalo
MsgModifiersTitle,Seleziona modificatori per %@
MsgModifierSelectAtLeastNumberModifier,Seleziona almeno %d modificatore(i)
MsgModifierSelectModifierTitle,Seleziona:\n%@
MsgModifierSelectModifierNames,almeno %d modificatore(i) in %@\n
MsgModifierSelectAmount,Scegli un massimo di %d modificatori.
MsgModifierSelectSubstitution,Seleziona una sostituzione per %@.
BtnModifiersFirstHalf,1° metà
BtnModifiersSecondHalf,2° metà
MsgModifierNA,ND
MsgQuickModifiers,Modificatori rapidi
MsgAddOnsPrice,Aggiuntivi
MsgSpecialRequestSelect,Seleziona richiesta speciale
MsgSpecialRequestEnter,Inserisci richiesta speciale
MsgEnterVoidReason,Inserisci il motivo per l’annullo
MsgEnterReturnReason,Inserisci il motivo di restituzione
MsgVoidReason,Motivo di annullamento
MsgReturnReason,Motivo di restituzione
MsgOther,Altro
MsgReason,Motivo:
MsgVoidEnterReason,Inserisci il motivo
MsgVoidSelectProductsToVoid,Seleziona i prodotti da annullare
MsgVoidSelectProductsToComp,Seleziona i prodotti in omaggio
MsgVoidSelectProductsTo,Seleziona i prodotti a
MsgVoidCheckNumber,Assegno numero
MsgVoidGiftCardNumberForAmount,Desideri diminuire l’importo sulla carta n.%@ per %@?
MsgVoidGiftCardAndDecrease,Seleziona carta regalo da diminuire l’importo
BtnDecrease,Diminuire
OrderNotEditable,L’ordine è aperto su un’altra stazione. Chiudilo per modificarlo su questa stazione.
OrderHasChanges,Ordine modificato. Salva prima di uscire.
PaymentsAreDisabled,I pagamenti sono disabilitati.
Orders,Ordini
Order,Ordine
Invoice,Fattura
InvoiceCancel,Cancella fattura
OrderCancel,Annulla ordine
MsgSplitItemTitle,Seleziona ricevuta
MsgSplitItemAddBill,Aggiungi ricevuta
MsgSplitItemNotAllowedPaid,L’articolo fa parte di ricevuta pagata. Non è consentito suddividere l’articolo.
MsgChangeSeatNotAllowedPaid,L’articolo fa parte di ricevuta pagata. Non è consentito cambiare il posto.
ActionExchangeSelectedItem,Scambia l’articolo selezionato
ActionExchangeSeveralItems,Scambia diversi articoli
ActionVoidSelectedItem,Annulla articolo selezionato
ActionVoidSeveralItems,Annulla diversi articoli
ActionReturnSelectedItem,Rendi l’elemento selezionato
ActionReturnSeveralItems,Rendi diversi elementi
ActionVoidReturnSeveralItems,Rendi diversi elementi
ActionMoveSelectedItem,Sposta articolo selezionato
ActionMoveSeveralItems,Sposta diversi articoli
ActionChangeSeat,Cambia posto
ActionAddQuantity,Aggiungi la quantità
ActionDiscountItem,Sconto articolo
ActionSplitItem,Suddividi articolo
ActionEditModifiers,Modifica i modificatori
ActionChangeDining,Modifica opzione ristorazione
ActionChangeCourse,Modifica portata
ActionEditSpecialRequest,Richiesta speciale
ActionFireNextCourse,Inizio portata successiva %d
ActionCopyItem,Copia articolo selezionato
ActionCopyItems,Copia articoli diversi
ActionLayawayItem,Articolo riservato
ActionLayawayItems,Articoli riservati
ActionReprintItem,Ristampa ordine
ActionReprintItems,Ristampa ordini
ActionRemakeItem,Rimuovi articoli
ActionRemakeItems,Rimuovi articoli
ActionManageCommission,Gestire la commissione
ActionReprintToKitchen,Invia a cucina
ActionServiceFee,Costo di servizio
ActionCompSelectedItem,%@ Articolo selezionato
ActionCompSeveralItems,%@ Multipli articoli
ActionReprintOrderItems,Ristampa ordine(i)
ActionSendSelectedItem,Invia articolo selezionato
ActionSendSeveralItems,Invia multipli articoli
ActionSendAllItems,Invia tutti gli articoli
ActionSendCourse,Invia portata
ActionDiscountSelectedItem,Sconta articolo selezionato
ActionDiscountSeveralItems,Sconta multipli articoli
ActionSelectItemsTo,Seleziona articolo(i) a %@
ActionOverridePrice,Modifica il prezzo
ActionCopy,Copia articoli
ActionVoid,Annulla articoli
ActionLayaway,Merce riservata
ActionMove,Sposta articolo(i)
ActionExchange,Scambia articolo(i)
ActionReturn,Restituisci articolo(i)
ActionVoidReturn,Restituisci articolo(i)
ActionReturnToPump,Restituisci al distributore di carburante
ActionComp,In omaggio
ActionComps,Articolo(i) in omaggio
ActionsForItem,Operazioni per [%@]:
AdditionalActions,Ulteriori operazioni
MsgComp,In omaggio
MsgActionScreenItemSentAt,Articolo inviato a
GiftCardCreate,Crea carta regalo
GiftCardManage,Gestisci carta regalo
GiftCardVoid,Annulla carta regalo
StoreCreditVoid,Totale carte di credito:
RewardCardCreate,Crea carta fedeltà
RewardCardManage,Gestisci carta fedeltà
SplitEven,Suddividi a parti uguali
SplitOdd,Suddividi manualmente
SplitSelect,Suddividi per articolo
SplitSeat,Suddividi per numero di posto
PosStation,Stazione
PosStations,Stazioni
PosStationMain,Principale
SetAsMain,Imposta come principale
MsgRegistrationInProcess,Registrazione...
MsgRegistrationFailed,Registrazione non riuscita
MsgRegistrationFailedWithReason,"Registrazione non riuscita\nMotivo - \""%@\"""
MsgRegistrationResync,Risincronizzare l’applicazione?
MsgRegistrationTokenRetrieveFail,Autenticazione non riuscita. Riprovare?
MsgRegistrationTokenRetrieveFailWithReason,"Autenticazione non riuscita\nMotivo - \""%@\""\nRiprova?"
MsgRegistrationConfirmSettings,Il tuo URL è: %@\n\nIl tuo punto vendita è: %@\n\nÈ corretto?
MsgRegistrationTokenAuthenticationFailed,Autenticazione non riuscita.
MsgRefreshInProcess,Scaricamento configurazione...
MsgRefreshDownloadingItemsWithOffsetAndPercents,%@: %d articoli (%d%%)
MsgProductGroups,Gruppo prodotti
MsgCustomerGroups,Gruppo di clienti
MsgShipRates,Tariffe di spedizione
MsgModifierClasses,Classi modificatore
MsgModifierDiscounts,Sconti modificatore
MsgProductCategories,Categorie prodotti
MsgUpsellCombos,Combo up-sell
MsgAttributes,Attributi
MsgAttributeValues,Valori attributi
MsgIngredients,Ingredienti
MsgCallNames,Nomi di chiamata
MsgTaxes,Tasse
MsgTaxTables,Tabelle fiscali
MsgTableTags,Eticchetta tabelle
MsgProductClasses,Classe prodotto
MsgCustomMenus,Menu personalizzati
MsgDisabledInTrainingMode,Questa funzionalità è disabilitata nella modalità training.
MsgDisabledInTrainingModeAppleStore,Questa funzionalità è disabilitata.
MsgIdentityProtectionTitle,Protezione contro furto identità
MsgIdentityProtectionVerify,Verifica
MsgDateErrors,Date incorrete
MsgDateRangeErrors,Il periodo di riferimento è maggiore di una settimana.
MsgOrdersReportWarningNoData,È possibile chè alcuni ordini siano rimasti aperti o non sincronizzati al server. Per questo motivo il report delle vendite può risultare incompleto. Procedere comunque?
MsgOrdersReportWarningUnsyncedOrders,Alcuni ordini non sono sincronizzati al server. Per questo motivo il report delle vendite può risultare incompleto. Procedere comunque?
MsgOrdersReportWarningOpenOrders,Hai degli ordini aperti:
MsgOrdersReportManagerWarningOpenUnsyncedOrders,Alcuni ordini sono rimasti aperti ed alcuni non sono sincronizzati al server. Per questo motivo il report delle vendite può risultare incompleto. Procedere comunque?
MsgOrdersReportManagerWarningOpenOrders,Alcuni ordini sono rimasti aperti. Per questo motivo il report delle vendite può risultare incompleto. Procedere comunque?
MsgOrdersReportManagerWarningUnsyncedOrders,Alcuni ordini non sono sincronizzati al server. Per questo motivo il report delle vendite può risultare incompleto. Procedere comunque?
MsgOrdersReportManagerWarningNoData,È possibile chè alcuni ordini siano rimasti aperti o non sincronizzati al server. Per questo motivo il report delle vendite può risultare incompleto. Procedere comunque?
MsgClockInToAccessError,Il dipendente non ha effettuato la registrazione in entrata (clock-in) o la registrazione in entrata non può essere confermata.
MsgClockInToAccessClockIn,Clock-in
MsgClockInToAccessManagerOverride,Modifica da manager
MsgClockInToAccessOverride,Revoca
MsgClockInToAccessCancel,Annulla
MsgClockInToAccessLoginVerification,Verifica dell'accesso in corso...
MsgClockInDisableClockInCheck,Disabilita controllo della registrazione in entrata (clock-in)
MsgClockInForHours,Per quante ore
MsgBarTabCardReaderLostConnection,Impossibile connettersi al lettore di carte.\nProva a riconnettere?
MsgDataStorageDbBackup,"Backup del database, versione: %@"
MsgDataStorageDbPosStations,Database è dal POS: %@
MsgDataStoreUnableToFindPos2v,Impossibile trovare pos2v.sqlite.
MsgDataStorageConfigureEmail,Imposta l’e-mail per usare questa funzione
MsgDataStorageFailedToCreateWritableDb,Impossibile creare un database scrivibile con messaggio  %@.
MsgDataStorageDataFetchFailed,Non è possibile fare l’aggiornamento della configurazione. Riprova tra qualche minuto.
MsgDataStorageDatabaseTooBigToUpload,"Dimensione del file supera il limite dell'allegato. Per questo motivo, il database è stato caricato direttamente sul server."
MsgDataStorageReportsSales,VENDITE
MsgDataStorageReportsTotalOrders,Totale ordini
MsgDataStorageReportsAverageSale,Vendita media
MsgDataStorageReportsTaxableSales,Vendite tassabili
MsgDataStorageReportsNonTaxableSales,Vendite non tassabili
MsgDataStorageReportsCRVCharges,Oneri CRV
MsgDataStorageReportsTotalProductSales,TOTALE VENDITE DI PRODOTTO
MsgDataStorageReportsTotalSalesLower,Totale vendite
MsgDataStorageReportsItemDiscounts,Sconti su articoli
MsgDataStorageReportsOrderDiscounts,Sconti su ordine
MsgDataStorageReportsCoupons,Buoni acquisto
MsgDataStorageReportsTotalDiscounts,Totale sconti
MsgDataStorageReportsNetSales,Vendite nette
MsgDataStorageReportsSalesTax,IVA
MsgDataStorageReportsSurcharges,Costo servizio aggiuntivo
MsgDataStorageReportsRoundingDeltas,Arrotondamento
MsgDataStorageReportsServiceCharges,Costo servizio
MsgDataStorageReportsTaxRebate,Sgravio fiscale
MsgDataStorageReportsTotalTaxes,TOTALE IVA
MsgDataStorageReportsDepositTotal,Depositi
MsgDataStorageReportsApplDepTotal,Deposito tot.
MsgDataStorageReportsAppliedDepositsTotal,Deposito totale
MsgDataStorageReportsTotalTax,Imposte totali
MsgDataStorageReportsNetToAccountFor,NETTO PER CONTO
MsgDataStorageReportsNetToAccountForLower,Netto per conto
MsgDataStorageReportsVoids,ANNULLATO
MsgDataStorageReportsVoidedItems,Articoli annullati
MsgDataStorageReportsVoidedTotal,Totale annullato
MsgDataStorageReportsReturns,RESI
MsgDataStorageReportsReturnedItems,Articoli resi
MsgDataStorageReportsReturnedTotal,Totale reso
MsgDataStorageReportsRefunds,RIMBORSI
MsgDataStorageReportsRefundsNumber,Numero di rimborsi
MsgDataStorageReportsRefundsTotal,Totale rimborsi
MsgDataStorageReportsComps,OMAGGI
MsgDataStorageReportsCompsItems,Articoli in omaggio
MsgDataStorageReportsCompsTotal,Totale omaggi
MsgDataStorageReportsExchanges,SCAMBI
MsgDataStorageReportsExchangedTotal,Totale scambi
MsgDataStorageReportsCashAdjustments,AGGIUSTAMENTO CONTANTI
MsgDataStorageReportsPayouts,Pagamenti
MsgDataStorageReportsPayins,Versamenti
MsgDataStorageReportsPayoutsTotal,Totale pagamenti
MsgDataStorageReportsPayments,PAGAMENTI
MsgDataStorageReportsPaymentsLower,Pagamenti
MsgDataStorageReportsCashPaymentsReceived,Pagamenti in contanti ricevuti
MsgDataStorageReportsLiabilities,Totale passività
MsgDataStorageReportsCash,Contante
MsgDataStorageReportsTips,MANCE
MsgDataStorageReportsTipsLowercase,Mance
MsgDataStorageReportsCashTips,Mance in contanti
MsgDataStorageReportsCreditTips,Mance con carta di credito
MsgDataStorageReportsLevelUpTips,Mance LevelUp
MsgDataStorageReportsIndexTips,Indice mance
MsgDataStorageReportsGiftTips,Mance con carta regalo
MsgDataStorageReportsDebitTips,Mance con carta di debito
MsgDataStorageReportsHouseAccountTips,Mance conto privato
MsgDataStorageReportsTradeTips,Mance trade
MsgDataStorageReportsWoraPayTips,Mance WoraPay
MsgDataStorageReportsZapperTips,Altre mance
MsgDataStorageReportsStoreCreditTips,Totale carte di credito:
MsgDataStorageReportsCustomPaymentTips,Mance di altri tipi di pagamento
MsgDataStorageReportsOtherTips,Altre mance
MsgDataStorageReportsTotalTips,TOTALE MANCE
MsgDataStorageReportsTotal,TOTALE
MsgDataStorageReportsEmployee,DIPENDENTE
MsgDataStorageReportsEmployeeHas1OpenOrderOnServer,IL DIPENDENTE HA 1 ORDINE APERTO SUL SERVER
MsgDataStorageReportsEmployeeHasManyOpenOrderOnServer,IL DIPENDENTE HA %@  ORDINI APERTI SUL SERVER
MsgDataStorageReports1OpenOrderOnServer,1 ORDINE APERTO SUL SERVER
MsgDataStorageReportsManyOpenOrderOnServer,%@ ORDINI APERTI SUL SERVER
MsgDataStorageReportsType,Tipo
MsgDataStorageReportsPayment,Pagamento
MsgDataStorageReportsTip,Mancia
MsgDataStorageReportsTypePaymentForEpson,Tipo               #               pagamento\n
MsgDataStorageReportsTotal0ForEpson,TOTALE                0                0.00\n
MsgDataStorageReportsTypePaymentTipTotalForEpson,Tipo       #   pagamento       mancia     Totale\n
MsgDataStorageReportsTotal0000ForEpson,TOTALE      0      0.00      0.00      0.00\n
MsgDataStorageReportsTypePaymentForRaster,Tipo               #               pagamento\n
MsgDataStorageReportsTotal0ForRaster,TOTALE                0                0.00\n
MsgDataStorageReportsTypePaymentTipTotalForRaster,Tipo       #   pagamento       mancia     Totale\n
MsgDataStorageReportsTotal0000ForRaster,TOTALE      0      0.00      0.00      0.00\n
MsgDataStorageReportsCashDueEmployee,CONTANTE DOVUTO AL DIPENDENTE
MsgDataStorageReportsCashDueHouse,CONTANTE DOVUTO ALLA CASA
MsgDataStorageReportsOrder_,Ordine
MsgDataStorageReportsAmount,Importo
MsgDataStorageReportsTransactions,TRANSAZIONI
MsgDataStorageReportsDeclaredTips,Mancie dichiarate
MsgDataStorageReportsOpenOrdersMany,Ordini aperti
MsgDataStorageReportsPrintDate,Stampa data
MsgDataStorageReportsProductData,DATI PRODOTTO
MsgDataStorageReportsProductByClassData,DATI PRODOTTO
MsgDataStorageReportsProductByCategoryData,DATI PRODOTTO
MsgDataStorageReportsProductBySubcategoryData,DATI PRODOTTO
MsgDataStorageReportsClass,Classe
MsgDataStorageReportsSalesLowercase,Vendite
MsgDataStorageReportsVisa,Visa
MsgDataStorageReportsMasterCard,MasterCard
MsgDataStorageReportsDiscover,Discover
MsgDataStorageReportsAmericanExpress,American Express
MsgDataStorageReportsGiftCards,Carta regalo
MsgDataStorageReportsOther,Altro
MsgDataStorageReportsDebit,Debito
MsgDataStorageReportsTotalPayments,Totale pagamenti
MsgDataStorageReportsTotalTipsLowercase,Totale mance
MsgDataStorageReportsCashDuesToHouse,Contante dovuto
MsgDataStorageReportsAllEmployees,Tutti i dipendenti
MsgDataStorageReportsEmployeeLowercase,Dipendente
MsgDataStorageReportsGuests,OSPITI
MsgDataStorageReportsGuestsNumber,Totale ospiti
MsgDataStorageReportsGuestsAverageSale,Vendita media per ospite
MsgDataStorageReportsOtherPayments,Altri pagamenti
MsgDataStorageReportsHourlySalesHeader,VENDITE ORARIE
MsgDataStorageReportsHourlySalesTime,ORA
MsgDataStorageReportsHourlySalesSales,VENDITE
MsgDataStorageReportsHourlySalesTrans,N. TRANS.
MsgDataStorageReportsHourlySalesAvgTrans,MEDIA TRANS.
MsgDataStorageReportsHourlySalesSalesPercent,%SALES
MsgDataStorageReportsHourlySalesTotals,Totale:
MsgDataStorageReportsLaborHeader,LAVORO ATTIVO
MsgDataStorageReportsLaborTime,ORA
MsgDataStorageReportsLaborSales,VENDITE
MsgDataStorageReportsLaborManHrs,Ore lavorate
MsgDataStorageReportsLaborSPMH,SPMH
MsgDataStorageReportsLaborWages,PAGHE
MsgDataStorageReportsLaborPercentLabor,%LABR
MsgDataStorageReportsLaborTotals,Totale:
MsgDataStorageReportsVoucherDetailsName,Nome
MsgDataStorageReportsVoucherDetailsTotal,TOTALE
MsgDataStorageReportsTender,Metodo di pagamento
MsgDataStorageReportsAdj,Correzioni
MsgDataStorageReportsAmex,Amex
MsgDataStorageReportsMC,MC
MsgDataStorageReportsTotals,Totale:
MsgDataStorageReportsLevelup,Levelup
MsgDataStorageReportsCashAdjDueToEmp,Correzione contante dovuto al dipendente
MsgDataStorageReportsCashAdjDueToHouse,Correzione contante dovuto alla casa
MsgDataStorageReportsCashSalesReceived,Vendite in contanti ricevute
MsgDataStorageReportGC,GC
MsgDataStorageReportsServiceFees,COSTO DI SERVIZIO
MsgDataStorageReportsTaxServiceFees,Costo di servizio tassabile
MsgDataStorageReportsUntaxServiceFees,Costo di servizio non tassabile
MsgDataStorageReportsTotalServiceFees,Costo di servizio totale
MsgDataStorageReportsGrossSales,VENDITE LORDE
MsgDataStorageConnectionErroFailedToOpenDatabase,Impossibile aprire il database con il messaggio %s’.
MsgDataStorageConnectionErroFailedToCloseDatabase,Errore: impossibile chiudere il database con il messaggio %s’.
MsgDataStorageUnknownProvider,Sconosciuto
MsgDatabaseSendFailure,Impossibile inviare il database al server.
MsgDatabaseUpdateFailed,Impossibile aggiornare il database. Aggiorna l’applicazione alla versione %@
MsgStrangeBuildNumber,Attenzione: la versione non è una delle correspodenti
MsgDatabaseSending,Invio il database al server
MsgDatabaseSendingBackup,Invio del backup di database
MsgDatabaseUpgradingDatabase,Aggiornamento database
MsgDatabaseCopying,Creazione copia database
MsgDatabaseSendSuccess,Database caricato con successo. È stata inviata la notifica all’indirizzo support@revelsystems.com
MsgDatabaseBusy,Il database è occupato. Riprova più tardi.
MsgEmployeeSalesReport,Report vendite del dipendente
MsgEmployeeSalesReportDateStart,Data di inizio
MsgEmployeeSalesReportDateEnd,Data di fine
MsgEmployeeSalesReportEmployee,Dipendente
MsgEmployeeSalesReportOpenOrders,Ordini aperti
MsgEmployeeSalesReportProductData,Dati prodotto
MsgEmployeeSalesReportProductDataByClass,Dati prodotto
MsgEmployeeSalesReportProductDataByCategory,Categorie prodotti
MsgEmployeeSalesReportProductDataBySubcategory,Seleziona una sottocategoria
MsgEmployeeSalesReportCashTransactions,Transazioni in contanti
MsgEmployeeSalesReportCreditTransactions,Transazioni con carta di credito
MsgEmployeeSalesReportOtherTransactions,Altre transazioni
MsgEmployeeSalesReportLocalData,Dati locali
MsgEmployeeSalesReportHourlySales,Vendite orarie
MsgEmployeeSalesReportLabor,Lavoro attivo
MsgEmployeeSalesReportTooLongOperation,Recupero report dal backend sta richiedendo più tempo dal previsto. Visualizzare i dati locali?
MsgEmployeeSalesReportFailedOperation,Recupero riepilogo back-en non riuscito. Visualizzare i dati locali?
BtnEmployeeSalesReportGetReport,Rapporto vendite
BtnEmployeeSalesReportShowLocal,Visualizza locale
MsgSplitBillNewBillAddConfirm,La creazione di una nuova ricevuta modificherà i valori delle ricevute precedenti.
MsgSplitBillCheckTitle,Ricevuta n.%@ - %d
MsgSplitBillCheckNew,Ricevuta n.%@ -%d [NUOVO]
MsgSplitBillAllItemsAreAddedAlready,Tutti gli articoli sono già stati aggiunti.
MsgSplitBillSelectProducts,Seleziona i prodotti
MsgSplitBillAdjustBillsTitle,Aggiustamento ricevute
MsgSplitBillAdjustAmountDue,Aggiustamento necessario
MsgSplitBillAdjustTotal,Totale
MsgSplitBillAdjustAdjust,Aggiustamento\nimporto
MsgSplitBillAdjustBill,Assegno
MsgSplitBillApplyOrderDiscount,Questo ordine ha il %@ di sconto.  A quale ricevuta vorresti applicare questo sconto?
MsgSplitBillOrderNumberReceipt,Numero dell’ordine - Ricevuta
MsgSplitBillName,Nome
MsgSplitBillQty,Quantità
MsgSplitBillEach,Ogni
MsgSplitBillTotal,Totale
MsgSplitBillDiscounts,Sconti:
MsgSplitBillTotalDiscounts,Totale sconti:
MsgSplitBillSubTotal,Sub totale:
MsgSplitBillSurcharge,Sovratassa
MsgSplitBillTax,IVA
MsgSplitBillTOTAL,TOTALE:
MsgSplitBillBalanceDue,Saldo dovuto:
MsgSplitBillAddItems,Aggiungi articoli
MsgSplitBillPrintCheck,Stampa ricevuta
MsgSplitBillPayCheck,Paga ricevuta
MsgSplitBillTipGrat,Mancia
MsgSplitBillDiscount,Sconto
MsgProductSelectComboOptions,Seleziona opzioni combo
MsgProductNameSelectoptions,%@: Seleziona opzioni
MsgProductChooseSlot,%@ (Seleziona %@)
MsgWouldYouLikeToMakeItACombo,Desideri impostarlo come combo?
MsgNonComboPrice,Prezzo non-combo: %@
MsgComboIncludes,Combo include %@
BtnAddMods,Aggiungi modificatori
BtnMods,Modif.
BtnSkipComboOptions,Salta opzioni combo
MsgUpsellWithSlotAndPrice,con %@
MsgUpsellProductNameChooseOptions,%@: Seleziona %@ opzioni
MsgUpsellDfltNameViewAll,Visualizza tutti
MsgUpsellDfltNameNoMeal,Nessun pasto
MsgUpsellDfltNameSmall,Piccolo
MsgUpsellDfltNameMedium,Medio
MsgUpsellDfltNameLarge,Grande
MsgUpsellDfltNameXtraLarge,Extra grande
MsgUpsellDfltNameSuper,Super
MsgUpsellCreatingUpsellProduct,Creazione prodotto up-sell
MsgUpsellTapHoldDragTipText,"Premi, tieni, trascina e mola per selezionare la quantità"
MsgSplitBillSeatExistingPaymentsWillBeRefunded,I pagamenti esistenti verranno rimborsati. Sei sicuro?
MsgSplitBillPrintAllChecks,Stampa tutte ricevute
MsgSplitBillClearSplitBills,Cancella ricevute divise
MsgSplitBillOrderScreen,Schermata ordine
MsgSplitBillRefundPayments,Rimborso pagamenti
MsgSplitBillNewCheck,Aggiungere nuova ricevuta
MsgSplitBillPAID,PAGATO
MsgSplitBillCanNotAddItemToPaidBill,Impossibile aggiungere gli articoli alla ricevuta pagata. Utilizza un’altra ricevuta.
