LocaleIdentifier,RU
MsgReceiptCashLogPayOut,Выплачено
MsgReceiptCashLogPayIn,Принято
MsgReceiptMadeBy,Выполнил
MsgTillsOwnedBy,Владелец
MsgReceiptGiftCardCertificateNumber,Номер сертификата
MsgReceiptGiftCardAuthNumber,Номер разрешения
MsgReceiptGiftCardLoadAmount,Загрузить сумму
MsgReceiptGiftCardLoadBonusAmount, ​​ Бонусные деньги добавленu
MsgReceiptGiftCardLoadBonusPercentage,Бонус %
MsgReceiptGiftCardOriginalBalance,Исходный баланс
MsgReceiptGiftCardBalance,Баланс
MsgReceiptSafeDrop,"\""Сдача денег в сейф\"""
MsgReceiptBankDropAmountOfDropTotal,Итого наличности
MsgReceiptBankDropSignedBy,Подписал
MsgReceiptOfflineMode,АВТОНОМНЫЙ РЕЖИМ
MsgReceiptSaveYourReceipt,СОХРАНИТЕ ДАННЫЙ ЧЕК.
MsgReceiptClockInTime,Время прихода
MsgReceiptClockOutTime,Время ухода
MsgReceiptPresentReceiptToManager,ПОКАЖИТЕ ЭТОТ ЧЕК СВОЕМУ МЕНЕДЖЕРУ.
MsgTimeSheetOfflineMode,Вы работаете в автономном режиме.\n Сохраните чек.
MsgReceiptHotspotTitle,КОД HOTSPOT
MsgReceiptHotspotCode,Код
MsgReceiptHotspotDuration,Длительность (минут)
MsgReceiptCheckInTimeCheckIn,Время прихода
MsgReceiptCheckInTimeCheckOut,Время ухода
MsgReceiptCheckInCheckIn,Время прихода
MsgReceiptCheckInCheckOut,Время ухода
MsgReceiptCheckInCheckInError,Ошибка: сотрудник не отметил время ухода\nс предыдущей смены.
MsgReceiptCheckInCheckOutError,Ошибка: сотрудник не отметил время прихода\nна предыдущую смену.
MsgReceiptOther,Прочее
MsgReceiptCurrencyPlural,Доллары
MsgReceiptCurrencySingular,Доллар
MsgReceiptCurrencyTitlePlural,Валюты
MsgReceiptDatetime,Дата и время
MsgReceiptPersonLoggedIn,Сотрудник вошел в систему.
MsgReceiptPrinter,Принтер
MsgReceiptOriginal,Исходный
MsgReceiptRemaining,Остаток
MsgReceiptOrder,Заказ
MsgReceiptInvoice,Счет
MsgReceiptEmployee,Сотрудник
MsgReceiptRole,Роль
MsgReceiptName,Название
MsgReceiptDate,Дата
MsgReceiptTime,Время
MsgReceiptHours,Часы
MsgReceiptTotalHours,Общее количество часов
MsgReceiptCallNumber,Порядковый номер
MsgReceiptCallName,Контактное лицо
MsgReceiptTable,Столик
MsgReceiptBarTab,Счет за бар
MsgReceiptCustomer,Клиент
MsgReceiptCustomerShort,Клиент
MsgReceiptServer,Официант
MsgReceiptTransaction,Транзакция
MsgReceiptPaidWith,Способ оплаты
MsgReceiptBill,Счет
MsgReceiptTotal,Итого
MsgReceiptExchangeValue,Стоимость обмениваемых позиций
MsgReceiptReturnValue,возвращенный
MsgReceiptAppliedDeposit,Учтен депозит
MsgReceiptSumTotal,Итог. сумма
MsgReceiptSumTotal2,Итог. сумма:
MsgReceiptServiceCharge,Обслуживание
MsgReceiptOnlineTip,В сети
MsgReceiptReceiptServiceCharge,Выдать чек за обслуживание
MsgReceiptCash,Наличные
MsgReceiptCredit,Кред. карта
MsgReceiptPreAuth,Предварительная аутентификация
MsgReceiptTermID,ID терминала
MsgReceiptAuthCode,Код авторизации
MsgReceiptSeq,Порядковый номер 
MsgReceiptAccountNumber,Номер счёта
MsgReceiptEntryMethod,Метод ввода
MsgReceiptCardBrand,Тип карточки
MsgReceiptGiftCard,Подарочная карта
MsgReceiptRewardCard,Бонусная карточка
MsgReceiptCreditCard,Кредитная карта
MsgReceiptCreditPlus,Credit +
MsgReceiptDeposit,Депозит
MsgReceiptCheck,Чек
MsgReceiptGiftCert,Подар. серт.
MsgReceiptGift,Подар. карта
MsgReceiptTax,Налог
MsgReceiptTip,Чаевые
MsgReceiptIndex,Index
MsgReceiptDiscount,Скидка
MsgReceiptStation,Станция
MsgReceiptPrintedAt,напечатано в
MsgReceiptSpecialRequest,Особый запрос
MsgReceiptSpecialInstructon,Особые инструкции
MsgReceiptSignatureAndTotal,Подпись и итоговая сумма
MsgReceiptReceiptOptions,Варианты получения счета
MsgReceiptReceiptHowWouldYouLike,Выберите способ получения счета.
MsgReceiptSignature,Подпись
MsgReceiptCashier,Кассир
MsgReceiptReportPrintedBy,Чек распечатан.
MsgReceiptAgreementLine1,Я согласен оплатить указанную выше сумму
MsgReceiptAgreementLine2,в соотв. с соглашением эмитента карты.
MsgReceiptBreakdown,Разбивка
MsgReceiptBreakdownNet,СУММА БЕЗ НАЛОГА
MsgReceiptBreakdownTax,НАЛОГ
MsgReceiptBreakdownGross,Общая сумма
MsgReceiptSeatCount,Количество гостей
MsgReceiptNotes,ПРИМЕЧАНИЯ
MsgReceiptTableOwner,Владелец столика
MsgReceiptTakenBy,Официант
MsgReceiptGiftCardNumber,Номер подарочной карты
MsgReceiptRewardCardNumber,Номер бонусной карты
MsgReceiptUnknown,Неизвестно
MsgReceiptCardBalance,Баланс карты
MsgReceiptPointBalance,Бонусные баллы
MsgReceiptVisitsBalance,Бонусный баланс по визитам
MsgReceiptPurchasesBalance,Бонусный баланс по покупкам
MsgReceiptAuthNumber,Номер разрешения
MsgReceiptSaleAmount,Сумма продажи
MsgReceiptBalanceUsed,Учтенный баланс:
MsgReceiptBalanceDue,К оплате
MsgReceiptOrderBalanceDue,К оплате по заказу
MsgReceiptOrderBalanceDueCut,К оплате
MsgReceiptCustomerPaid,Оплачено
MsgReceiptCustomerChange,Сдача
MsgReceiptDeliverTo,Адрес доставки
MsgReceiptTotalTax,Итого налогов
MsgReceiptCashRoundingDelta,Округление
MsgReceiptSeat,Гость
MsgReceiptOfSale,продажи:
MsgReceiptSuggestedTips,Рекомендуемые чаевые
MsgReceiptIncluded,Включено
MsgReceiptPayPal,PayPal
MsgReceiptTipIncludesAutoGratuity,В счет включены чаевые:
MsgReceiptAwardedPoints,набранные очки
MsgReceiptNewProducts,Новые продукты
MsgReceiptNewProductsName,Название
MsgReceiptNewProductsBarcode,Баркод
MsgReceiptNewProductsUnitOfMeasure,Ед. изм.
MsgReceiptNewProductsInventoryQuantity,Кол-во на складе
MsgReceiptNewProductsPrice,Цена
MsgReceiptNewProductsTax,Налог
MsgReceiptNewProductsEmbedded,Встроенный
MsgReceiptNewProductsSoldByWeight,Продается на развес
MsgReceiptNewProductWouldYouLike,Создать новый продукт с ненайденным баркодом?
MsgReceiptReceiptlessReturnReceiptTotalCash,Итого наличных:
MsgReceiptReceiptlessReturnReceiptTotalCredit,Итого по оплате картами по магазину:
MsgReceiptReceiptlessReturnReceiptProductName,Продукт
MsgReceiptReceiptlessReturnReceiptReturn,Возврат
MsgReceiptReceiptlessReturnReceiptTax,Налог
MsgReceiptReceiptlessReturnReceiptTotal,Итого
MsgReceiptDelivery,Доставка
MsgReceiptDeliveryDate,Дата доставки
MsgReceiptCustomerCopy,Копия клиента
MsgReceiptMerchantCopy,Копия продавца
MsgReceiptEach,/ шт.
MsgReceiptTaxOnSurchargeFormat,%@ на %@
MsgReceiptSurcharge,Доп. сбор
MsgReceiptUntaxed,Не облагается налогом
MsgReceiptMiscTax,Проч.
MsgReceiptPrevailingTax,Действующий налог
MsgReceiptTaxBreakdownTitle,Декомпозиция налогов
MsgReceiptTaxBreakdownTotal,Итого
MsgReceiptTaxBreakdownRate,Тариф
MsgReceiptTaxRebate,Возврат налога
MsgReceiptBadgeTotal,Заказ разрешен и будет добавлен к счету владельца группы. \nПромежуточный итог для группы: %@
MsgReceiptVatNumber,ИНН
MsgReceiptYouSaved,Вы сохранили
MsgReceiptPriceIncludesTaxes,В цену включены налоги.
MsgReceiptTotalTaxesCollected,Итого получено налогов:
MsgWaitingForTipSelection,Ожидание выбора размера чаевых
MsgWaitingForSignature,Ожидание подписи
MsgWaitingForRedeemRewards,Ожидание выбора вознаграждения клиентом
MsgWaitingForReceiptSelection,Ожидание выбора вида чека
MsgWaitingForEmailEntry,Ожидание ввода адреса эл. почты
MsgOverridingTheDisplayUnit,Перегрузка дисплея перенаправит запросы к клиенту на POS-станцию. Продолжить?
MsgCall,Порядковый №
MsgReceiptOriginalReceipt,Оригинал квитанции
MsgReceiptOnSpotGift,подарок на месте
MsgReceiptCancelledOrder,Заказ отменен
MsgReceiptTotalRedeemedPoints,сумма использованых баллов
MsgReceiptYourCurrentBalance,Ваш текущий баланс
MsgReceiptOrderNumber,Заказ #%@
MsgReceiptMoved,Перемещен
MsgReceiptMovedTo,Перемещен в
MsgReceiptToDestination,Место доставки
MsgReceiptPaymentTotal,Журнал платежей
MsgReceiptProductForecastingStartOfReport,Печать фискальных отчетов
MsgReceiptProductForecastingEndOfReport,Конец месяца
MsgReceiptProductForecastingTotalsForDay,Информация по итоговым суммам
MsgReceiptProductForecastingNextDay,Далее
MsgReceiptProductForecastingPrior,Priority
MsgReceiptProductForecastingNotificationBody,Распечатать отчет
MsgReceiptProductForecastingStartOfDay,Дата начала
MsgReceiptProductForecastingTimeSlot,Временной интервал
MsgBarTabTitle,Счет за бар №%d
MsgBarTabsTitle,Счета за бар %@
MsgBarTabsFindTitle,Найти счет
MsgOrderSelectTitle,Выберите заказ.
MsgBarTabsFindPlaceholder,Введите номер счета или имя клиента.
MsgBarTabsFindNoResults,Не найдены открытые счета за бар
MsgBarTabsFindNoResultsOpenNewTab,Не найдены открытые счета за бар
MsgTablesFindNoResultsSelectAvailableTable,Выберите доступный столик.
MsgBarTabsSearchPlaceholder,"Введите Tab # , имя клиента , ID заказа"
BtnBarTabsOpen,Открыть счет за бар
BtnBarTabsFind,Найти счет
BtnBarTabsBarcode,Счет с баркодом
MsgCustomersHome,Дом
MsgCustomersOffice,Офис
MsgSelectOrderType,Выберите тип заказа.
MsgOrderTypeAll,Показать все заказы
MsgOrderTypeHouse,Показать только внутренние счета
MsgOrderTypeInvoices,Показать неоплаченные счета
MsgOrderTypeHouseTitle,Внутренние счета
MsgOrderFilterPaid,Оплачены
MsgOrderFilterBilled,Выставлены
MsgOrderListTitle,Заказы
MsgOrderListTitleWithCustomerName,Заказы от %@
MsgOrderListTitleLoading,Загрузка заказов...
MsgOrderInvoicesListTitleLoading,Загрузка счетов...
MsgCustomersUpdateCCInfo,Обновить информацию о кредитной карте
MsgOrderInvalidEstablishment,Не разрешено открывать заказы от другой организации.
MsgOrderSelectOrder2,Выберите заказ.
MsgOrderDoNotExist,У этого клиента нет заказов.
MsgInvoiceDoNotExist,У этого клиента нет счетов.
MsgReceiptInvoiceBalanceDue,К оплате по счету
MsgCateringTitleLoading,Доставка выездного заказа - Загружается...
MsgCateringTitle,Доставка выездного заказа
MsgCateringTitleCustomerAndCallName,Имя заказчика / контактное лицо
MsgCateringTitleProduct,Продукт
MsgCateringComplete,Завершить
MsgCateringQuantity,Кол-во
MsgCateringTitleCateringDate,Дата доставки
MsgCateringFilter,Показать данные для
MsgCateringCompleteTitle,Завершить заказ
MsgCateringCompleteSelected,Завершить выделенное
MsgCateringCompleteAll,Завершить все
BtnCateringShowComplete,Показать завершенное
BtnCateringShowActive,Показать активные
BtnCateringComplete,Завершить
BtnCateringCompleting,Завершение
CmtCateringCompleted,Завершено
BtnCateringApplyToOrder,Применить к заказу
BtnCateringApplyToItems,Применить к позиции(-ям)
MsgCateringSerialNumberMissing,"У позиций этого заказа на доставку нет серийных номеров. Чтобы продолжить, укажите серийные номера."
MsgCateringSelectItems,Выбрать пункт (ы )
MsgFilterToday,Сегодня
MsgFilterTomorrow,Завтра
MsgFilterFuture,Будущее
MsgFilterYesterday,Вчера
MsgFilterEverything,Все
MsgFilterWeek,Неделя
MsgFilterMonth,Месяц
MsgFilterAnyDate,Дата окончания
MsgFilterActive,Просмотр активных
MsgFilterComplete,Просмотр завершенных
MsgOrdersExpand,Развернуть все
MsgOrdersCollapse,Сгруппировать по заказу
MsgOrdersGroupByItem,Сгруппировать по позиции
MsgOrderPriceOverrideDaily,Это изменит цену продукта только на этой POS-станции. Изменения на других станциях нужно делать вручную.
MsgOrderPriceOverrideServer,Это приведет к изменению цены позиции на сервере. Для применения новой цены необходимо обновить конфигурацию других станций.
MsgOrderPriceOverrideServerSuccess,Цена была изменена на %@.  Обновите конфигурацию других POS-станций
MsgOrderPriceOverrideServerFail,Не удалось скорректировать цену.
MsgOrderOverridePrice,Скорректировать цену
BtnOrderOverridePricePerUnit,Скоррект.\nцену за ед.
BtnOrderOverridePriceTotal,Скоррект.\nобщую стоим.
MsgOrderPriceOverrideHelp,Однократно — изменение цены позиции один раз.\n\nЕжедневно — изменение цены позиции до полуночи на данной POS-станции.\n\nНа сервере — изменение цены позиции на сервере. Для применения новой цены необходимо обновить конфигурацию других POS-станций.
BtnOrderSingleOverride,Однократно
BtnOrderDailyOverride,Ежедневно
BtnOrderServerOverride,На сервере
MsgOrderPriceOverrideSaving,Сохранение
LblPriceOverrideWeightedItem,Текущее значение: %@ (%@ за ед.)
LblPriceOverrideOrdinaryItem,Текущее значение
MsgPriceOverrideExceedLimitsGreater,Сумма по каждому раздельному счету должна быть не меньше %.2f долларов.
MsgPaymentMakePaymentFirst,Сначала выполните платеж.
MsgPaymentTippingNotSupported,Внесение чаевых не поддерживается при оплате кредитной картой.
MsgPaymentTippingNotSupportedGiftCard,Внесение чаевых не поддерживается при оплате подарочной картой.
MsgPaymentTippingNotSupportedIndex,Внесение чаевых не поддерживается при оплате через Index.
MsgPaymentTippingNotSupportedPayPal,Внесение чаевых не поддерживается при оплате через PayPal.
MsgPaymentTippingNotSupportedForThisPaymentType,Внесение чаевых не поддерживается для платежа данного типа.
MsgPaymentEnterTipAmount,Введите сумму чаевых.
MsgPaymentSelectTipAmount,Выберите размер чаевых.
MsgPaymentOtherTipAmount,Другая сумма
MsgPaymentTipSuccess,Чаевые добавлены успешно. 
MsgPaymentCardDataEmpty,Не указаны данные карты!
MsgPaymentProcessorDataEmpty,Не указаны данные процессора!
MsgPaymentIncompleteCardData,Неполная информация по карте!
MsgPaymentInvalidCreditCardSettings,Задайте правильные настройки оплаты кредитной картой на сервере!
MsgPaymentCCProcessorsMoreThanOne,Задайте правильные настройки оплаты кредитной картой на сервере!\nИмеется %d активных процессоров.
MsgPaymentChangeOverAmountNotAllowed,Сдача более %@ не допустима.
MsgPaymentPayWithGiftCard,Оплатить подарочной картой
MsgPaymentPayWithCreditCard,Оплатить кредитной картой
MsgPaymentSwipeCreditCard,Проведите картой через кардридер.
MsgPaymentPayWithStanfordCard,Оплатить Stanford Card
MsgPaymentCardSwipeWaiting,Ожидание карты
MsgPaymentCardSwipeBad,Ошибка чтения карты!
MsgPaymentCardSwipeBadTryAgain,Ошибка чтения карты
MsgPaymentCardSwipeBadTouchToTryAgain,Ошибка чтения карты. Нажмите «Отмена» и повторите попытку.
MsgPaymentCardSwipeErrorTryAgainOrAnother,Ошибка чтения карты. \nПожалуйста попробуйте снова или попробуйте другую карту. 
MsgPaymentCardSwipeRead,Чтение карты
MsgPaymentCardReaderWaiting,Проведите картой через кардридер.
MsgPaymentCardReaderOrScannerWaiting,Проведите картой через кардридер или отсканируйте карту.
MsgPaymentWaitingForPinPad,Ожидание PinPad
MsgPaymentCardReaderFail,Не удалось подключиться к кардридеру.
MsgPaymentCardReaderFailAddRewards,Можно добавить %@ вручную.
MsgPaymentPleaseSwipeYourCard,Проведите карту (магнитная полоска внизу)
MsgPaymentYourCardFailWaitCashier,Ваша карта не может быть обработана.\nОбратитесь к кассиру.
MsgPaymentCardReaderFailWaitCashier,Не удалось подключиться к кардридеру.\nОбратитесь к кассиру.
MsgPaymentYourCardFailDU,Обратитесь к кассиру.
MsgPaymentCardSwipeBadPleaseTryAgain,Ошибка чтения карты.\nПовторите попытку.
MsgPaymentCardNumber,Номер карты
MsgPaymentMonth,Месяц
MsgPaymentCVV,CVV
MsgPaymentFirstName,Имя владельца карты
MsgPaymentLastName,Фамилия владельца карты
MsgPaymentSelectMethod,Выберите способ оплаты.
MsgPaymentEnterCardNumber,Введите номер карты.
MsgPaymentAuthorizationTitle,Авторизация
MsgPaymentAuthorizationMessage,Авторизация... Подождите.
MsgPaymentFetchingGiftCardBalanceMessage,Получение баланса подарочной карты... Подождите.
MsgPaymentFetchingRewardBalanceMessage,Получение баланса вознаграждения... Подождите.
MsgPaymentAuthorizationVoidMessage,Отмена транзакции... Подождите.
MsgPaymentAuthorizationTipMessage,Получение разрешения на оплату чаевых... Подождите.
MsgPaymentCoinsNotDispensed,Монеты не выданы.
MsgPaymentCoinDispenserConnectionFailed,Не удалось соединиться с диспенсером монет «%@». Повторить?
MsgPaymentCreditCardAuthorization,Авторизация кредитной карты
MsgPaymentApproved,ОДОБРЕНО
MsgPaymentApproved2,Одобрено
MsgPaymentApprovedOffline,ОДОБРЕНО АВТОНОМНО\n\nПлатежи в автон. режиме: %d\nИтого: %@
MsgPaymentDeclined,ОТКЛОНЕНО
MsgPaymentFailed,Ошибка при обработке. Повторите попытку позже.
MsgPaymentOffline,АВТОНОМНО
MsgPaymentOfflineOrder,Заказ в автономном режиме
MsgPaymentOfflineOrderAttachCustomer,"Пожалуйста, добавьте клиента к заказу"
MsgPaymentOfflineOrderInputAddress,"Пожалуйста, введите адрес клиента"
MsgPaymentUnexpectedReplyFromProcessor,Непредвиденный ответ от процессора
MsgPaymentPaymentPartial,Недостаточно средств на карте. Заказ оплачен частично.
MsgPaymentPaymentPartialTipsNotAllowed,Недостаточно средств на карте. Добавление чаевых не разрешено.
MsgPaymentPaymentPartialCredit,На карте недостаточно средств. \nОплатите остаток другим способом.
MsgPaymentPaymentOK,Оплата успешна!
MsgPaymentTipsSuccesfullyAdded,Чаевые добавлены!
MsgPaymentPaymentFail,Не удалось выполнить платеж.
MsgPaymentTransactionFail,Транзакция отклонена.
MsgPaymentProceedToTheCashier,Для оплаты пройдите на кассу.
MsgPaymentAmountIsSmallForRounding,Оплата наличными не допускается
MsgPaymentAmountUnableRounding,Оплата наличными не допускается
MsgMongooseHttpServerError,Ошибка HTTP-сервера
MsgMonerisActionFailed,Неудачная попытка
MsgPaymentDebitRefund,Возмещение на дебетовую карту
MsgPaymentGiftCardUsed,Оплачено подарочной картой.\nИспользовано: %@\nИтоговый баланс: %@
MsgPaymentDeletePaymentFromTable,Удалить платеж из таблицы?
BtnGoToBatchScreen,Перейти к Batch экран
MsgPaymentHasNotCapturedTransactions,Партия не была обработана в течение 24 часов.\nЗАВЕРШИТЕ ОБРАБОТКУ ПАРТИИ.
MsgPaymentAutoCaptureJobFailed,Операция автоматической обработки платежей не завершена.\nЗАВЕРШИТЕ ОБРАБОТКУ ПАРТИИ.
MsgPaymentHasNotProcessedOfflineTransactions,%d автономный(х) платеж(ей) остается не обработан(ы) уже больше чем 24 часа.\n\nПожалуйста обработайте\n(Экран Автономных Платежей)
MsgPaymentHasNotProcessedDeclinedPayments,%d автономный(х) платеж(ей) остается не обработан(ы) уже больше чем 24 часа.\n\nПожалуйста попробуйте снова или удалите их\n(Экран Удаленных Платежей)
MsgPaymentHasNotProcessedRetryAll,Повторить все
MsgPaymentRefundFailed,Ошибка при оформлении возврата
MsgPaymentErrorCardNumberInvalidDigitCount,Номер карты должен состоять из 12–16 цифр.
MsgPaymentErrorCardNumberInvalid,Недопустимый номер карты.
MsgPaymentErrorCardExpired,Истек срок действия карты.
MsgPaymentErrorMissingFields,Заполните недостающие поля:
MsgPaymentThisTypeOfRefundNotSupportedContactZapperSupport,Этот тип возврата не поддерживается. Обратитесь в службу поддержки Zapper.
MsgPaymentEnterGratuity,Введите сумму чаевых.
MsgPaymentAddGratuityToPayment,В данный счет включены чаевые.  Данный платеж включает чаевые полностью или частично?
MsgPaymentTotalGratuity,Итого чаевых
MsgPaymentRemainingGratuity,Остаток чаевых
MsgPaymentGratuityAmount,Сумма чаевых
MsgPaymentCheckHasOutstandingGratuity,В данном счете имеются неоплаченные чаевые.  Все равно завершить?
MsgPaymentSomeChecksHaveOutstandingGratuity,По некоторым чекам имеются неоплаченные чаевые.  Все равно закрыть?
MsgFirstDataCreditCardBatchFormReport,Для создания отчета по платежам нажмите «Отчет».
MsgFirstDataCreditCardBatchSettlePayments,Для урегулирования всех платежей и создания отчета нажмите «Расчет по платежам».
BtnFirstDataCreditCardSettlePayments,Расчет по платежам
BtnFirstDataCreditCardReportPayments,Отчет
MsgPaymentEFTPOSPartialRefundIsNotAllowed,"Частичный возврат не допускается. Пожалуйста, захватить сделку в первую очередь."
MsgPaymentPartialRefundIsNotAllowed,PayPal возврат не удался
MsgUncapturedPaymentsNotificationReport,Для создания отчета по платежам нажмите «Отчет».
PaymentCash,Наличные
PaymentCredit,Кред. карта
PaymentCreditManual,Ручн. ввод кредит. карты
PaymentUseCreditManual,используйте мануальный кредит
PaymentCreditPlus,Credit +
PaymentGiftCard,Подарочная карта
PaymentCheck,Чек
PaymentCustomerCredit,Пользов. Кред. карта
PaymentIndex,Index
PaymentDebit,Дебет. карта
PaymentBadge,Badge
PaymentPreAuthFinalize,Завершить платеж
PaymentPreAuthCancel,Отмена предв. авторизации
PaymentStanfordCard,Stanford Card
PaymentStoreCredit,Кредит в магазине
CardTypeOther,ДРУГОЙ
CardTypeTrade,TRADE
CardTypeHouseAccount,ВНУТРЕННИЙ СЧЕТ
CardTypeGiftCard,ПОДАРОЧНАЯ КАРТА
CardTypeDebit,ДЕБЕТ. КАРТА
MsgPaymentEnterCheckOrCustomOptionNumber,Введите номер %@.
MsgPaymentCheckEndorseAmountPaid,Уплаченная сумма
MsgPaymentChargeBackToCard,сумма ENT была возвращена на карту
MsgPaymentChargeBackCash,сумма ENT была возвращена на карту
MsgTillsEnterQuantityOfNotes,Ввести кол-во купюр?
MsgTillsEnterQuantity,Ввести кол-во
MsgQuantityOfNotes,Кол-во купюр
MsgTillAlertSubject,Предупреждение по кассе %@
MsgTillAlertMessage,"По кассе на %@, кассовому аппарату №%d достигнута сумма %@."
MsgTillAlertMessageToCashier,Сумма наличных в кассе превосходит лимит в %@.\n Необходимо выполнить операцию «Сдача денег в банк».
MsgTillsTillNameSingular,Касса
MsgTillsReassignTill,Переназначить кассу?
MsgTillsNoActiveTills,Нет активных касс.
MsgSystemHasActiveTills,Найдена активная касса принадлежащая иному сотруднику.
MsgTillMaxAmountReachedEmail,"Сумма в кассе на %@, в кассовом аппарате #%d сумма %@ которая достигла или превысила лимит кассы в %@."
MsgReceiptTypeGift,ЧЕК НА ПОДАРОК
MsgReceiptGift2,ПОДАРОК
BtnOrderHeaderSettings,Настройки
BtnOrderHeaderCustomers,Клиенты
BtnOrderHeaderOrders,Заказы
BtnSearch,Поиск
BtnWelcome,Добро пожаловать
MsgOrderCommission,Комиссионные
MsgOrderEditCombo,Редактировать комб. предложение
MsgOrderAddCombo,Добавить Combo
MsgOrderEditQuantity,Кол-во
MsgOrderEditSpecialRequest,Особый запрос
MsgOrderEditSelectComboItem,Выберите позицию комб. предложения.
MsgOrderEditNoInformationAvailable,[Информация отсутствует]
BtnOrderEditSetQuantity,Установить кол-во
BtnOrderEdit,Редактировать модификаторы
BtnOrderEditDiningOption,Тип заказа
BtnOrderEditDiscount,Вид скидки
BtnOrderEditAddTax,Добавить налог
BtnOrderEditRemoveTax,Удалить налог
BtnOrderEditChangeCourse,Блюдо %d
BtnOrderEditChangeSeat,Сменить гостя
BtnOrderEditShare,Предоставить общий доступ
BtnOrderEditSplit,Разделить
BtnOrderEditFirstHalf,Первая половина
BtnOrderEditSecondHalf,Вторая половина
BtnOrderEditPrintLabel,Распечатать этикетку
BtnOrderEditServiceFee,Сбор за обслуживание
BtnOrderOverridePrice,Скорректировать цену
BtnOrderTrackCateringDelivery,Дата доставки
BtnOrderCopyItem,Скопировать
BtnOrderInventoryLookup,Инв. Поиск
BtnOrderModOptionNo,Нет
BtnOrderModOptionSide,Гарнир
BtnOrderModOptionOnly,Только
BtnOrderModOptionLite,Легкий
MsgOrderPayBalanceDue,К оплате
MsgOrderPayAmountTendered,Внесенная сумма
MsgOrderPayChangeTitle,Сдача
MsgOrderPayChangeDueTitle,Сдача
MsgOrderPayHide,Убрать
MsgOrderPayTip,Чаевые: %@
MsgOrderPayAutoGratuity,Чаевые по умолчанию: %@
MsgOrderPayChange,Сдача %@
MsgOrderPayCashRounded,Наличные (округл.): %@
BtnOrderPayAddPoints,Добавить %d баллов
BtnOrderPayAddRewards,Начислить %d балла(-ов)
BtnOrderCaptionAddRewards,Начислить бонусы
BtnOrderCaptionAddPoints,Начислить баллы
BtnOrderPayRedeemPoints,Использовать накопленные баллы
BtnOrderPayRedeemGifts,Выбрать подарки
BtnOrderPayRedeemRewards,Списать баллы
BtnOrderPayCancelRedemption,Отменить Redemption
BtnOrderPayRedeemReward,Списать баллы
BtnOrderPayRewards,Вознаграждения
BtnOrderPayHotspot,Точка доступа
BtnOrderPayTipAmount,Размер чаевых
BtnOrderPayEmail,Эл. почта
BtnOrderPayReprint,Повторная печать
BtnOrderPayRefundPayments,Возместить платежи
BtnOrderPayRewardPoints,Начислить баллы
BtnOrderPaySplitBill,Разделить счет
BtnOrderPayGiftReceipt,Чек на подарок
BtnOrderPayRetryLoadGiftCard,повторить Загрузить подарочную карточку
BtnOrderPayFiscalInvoice,Отмена счета-фактуры
BtnOrderChargeBack,Получающий бак
BtnOrderPayDone,Готово
BtnOrderPayRetryLoadCredit,повторить Загрузить подарочную карточку
MsgModifiersTitle,Выберите модификаторы для %@.
MsgModifierSelectAtLeastNumberModifier,Выберите хотя бы %d модификатор(-ов).
MsgModifierSelectModifierTitle,Выберите:\n%@
MsgModifierSelectModifierNames,хотя бы %d модификатор(-ов) для %@\n
MsgModifierSelectAmount,Выберите не более %d модификатора(-ов).
MsgModifierSelectSubstitution,Выберите замену для %@.
BtnModifiersFirstHalf,Первая половина
BtnModifiersSecondHalf,Вторая половина
MsgModifierNA,Не применимо
MsgQuickModifiers,Быстрые модификаторы
MsgAddOnsPrice,Добавки
MsgSpecialRequestSelect,Выберите специальный запрос.
MsgSpecialRequestEnter,Введите специальный запрос.
MsgEnterVoidReason,Ввести причину аннуляции
MsgEnterReturnReason,Ввести причину возврата
MsgVoidReason,Причина аннуляции
MsgReturnReason,Причина возврата
MsgOther,Прочее
MsgReason,Причина:
MsgVoidEnterReason,Укажите причину.
MsgVoidSelectProductsToVoid,Выберите продукты для аннулирования.
MsgVoidSelectProductsToComp,Выберите бесплатные продукты.
MsgVoidSelectProductsTo,Выберите продукты для
MsgVoidCheckNumber,Чек №
MsgVoidGiftCardNumberForAmount,Уменьшить баланс карты №%@ на %@?
MsgVoidGiftCardAndDecrease,Выберите подарочные карты для уменьшения баланса.
BtnDecrease,Уменьшить баланс
OrderNotEditable,Заказ открыт на другой станции.  Закройте его прежде
OrderHasChanges,Заказ изменен.  Сохраните перед выходом.
PaymentsAreDisabled,Платежи отключены.
Orders,Заказы
Order,Заказ
Invoice,Счет
InvoiceCancel,Отмена счета-фактуры
OrderCancel,Отменить заказ
MsgSplitItemTitle,Выберите счета.
MsgSplitItemAddBill,Добавить счет
MsgSplitItemNotAllowedPaid,Позиция относится к оплаченному счету. Невозможно разделить позицию.
MsgChangeSeatNotAllowedPaid,Позиция относится к оплаченному счету. Невозможно сменить гостя.
ActionExchangeSelectedItem,Обменять выбранную позицию
ActionExchangeSeveralItems,Обменять несколько позиций
ActionVoidSelectedItem,Аннулировать выбранную позицию
ActionVoidSeveralItems,Аннулировать несколько позиций
ActionReturnSelectedItem,Вернуть выбранную позицию
ActionReturnSeveralItems,Вернуть несколько позиций
ActionVoidReturnSeveralItems,Вернуть несколько позиций
ActionMoveSelectedItem,Переместить выбранную позицию
ActionMoveSeveralItems,Переместить несколько позиций
ActionChangeSeat,Сменить гостя
ActionAddQuantity,Добавить кол-во
ActionDiscountItem,Вид скидки
ActionSplitItem,Разделить позицию
