LocaleIdentifier,TH
MsgShippingOrdersDoNotSupportSplitBills,การจัดส่งคำสั่งซื้อไม่สนับสนุนการแยกบิล
MsgShippingLabelSizeTitle,ขนาดลาเบล
MsgRemoveShipping,การส่งมอบ
MsgShippingConfirmRemove,คุณแน่ใจหรือไม่ว่า คุณต้องการลบที่อยู่นี้?
MsgUpdateWeight,ป้อนน้ำหนัก
MsgUndo,เป็นยังไม่ได้ทำ
MsgSignatureOptionNone,ไม่มี
MsgSignatureOptionRequire,ลายมือชื่อ
MsgSignatureOptionRequireDirect,ลายมือชื่อ
MsgSignatureOptionRequireIndirect,ลายมือชื่อ
MsgSignatureOptionDefault,ใช้ค่าเริ่มต้น
MsgShippingTracking,การติดตามหมายเลข
MsgShippingNoAvailableServices,ค่าธรรมเนียมการบริการที่ไม่สามารถเก็บภาษีได้
MsgDuSettingsEnableSignature,เปิดการใช้งานลายมือชื่อ
MsgDuSettingsEnableTips,เปิดใช้งานทิป
MsgDuSettingsShowSwipePrompt,แสดงพรอมท์การรูด
MsgDuSettingsWelcomeMessage,ข้อความต้อนรับ
MsgDuSettingsEnableProductImages,เปิดใช้งานรูปภาพผลิตภัณฑ์
MsgDuSettingsEnablePrintReceipts,พิมพ์ใบเสร็จ
MsgDuSettingsEnableEmailReceipts,อีเมลใบเสร็จ
MsgDuNoTip,ไม่มีทิป
MsgDuRewardOrPhone,รางวัล # หรือโทรศัพท์ #:
MsgDuEmailAddressIsEmpty,ที่อยู่ว่างเปล่า
MsgDuLast4Digits,4 หลักสุดท้าย: %@
MsgDuChooseBackgroundImage,เลือกรูปภาพฉากหลัง
MsgDuBackgroundImageIsFilled,รูปภาพฉากหลังถูกเติมไปยังหน้าจอ
MsgDuUseDefault,ใช้ค่าเริ่มต้น
MsgDuFromImagePicker,จาก ImagePicker
MsgDuLogoImageIsLocated,รูปภาพโลโก้อยู่ที่ด้านบนซ้ายของหน้าจอ ขนาดที่ควรใช้คือ 231x95
MsgDuLogoImageIsLocatediPhone,รูปภาพโลโก้อยู่ที่ด้านบนซ้ายของหน้าจอโดยไม่มีสเกล ขนาดที่ควรใช้คือ 151x71
MsgDuChooseLogoImage,เลือกรูปภาพโลโก้
MsgDuCongratulations,ขอแสดงความยินดี!
MsgDuYouveEarnedARewardRedeemNow,คุณได้รับรางวัล แลกตอนนี้หรือไม่?
MsgDuCashRoundedTotal,ยอดรวมเงินสดที่ปัดเศษ: %@
MsgDuDiscountsTotal,ยอดรวมส่วนลด
MsgDuNumberWasNotFoundPleaseTryAgain,ไม่พบ [หมายเลข] โปรดลองอีกครั้ง
MsgDuIncludesServiceFee,รวมถึงค่าธรรมเนียมการบริการ: %@
MsgDuPleaseWait,โปรดรอ
MsgDuPleaseEnterRewardCardNumber,โปรดป้อนบัตรรางวัล # หรือโทรศัพท์ #
MsgSelectEmailTitle,เลือกลิ้นชักเก็บเงิน
MsgKdsPosTriesToConnectToCds,POS พยายามที่จะเชื่อมต่อไปยังบริการการแสดงผลลูกค้า โปรดตรวจสอบการกำหนดค่าของคุณ
MsgKdsPosTriesToConnectToPos,POS พยายามเชื่อมต่อไปยัง POS อื่น โปรดตรวจสอบการกำหนดค่าของคุณ
MsgKdsRecall,เรียกคืน
MsgKdsCompleted,เสร็จสิ้นแล้ว
MsgKdsVoid,ยกเลิก
MsgKdsOrderUp,เพิ่มคำสั่งซื้อ!
MsgKdsWorking,การทำงาน
MsgKdsAllDayView,มุมมองวันทั้งหมด
MsgKdsRegularView,มุมมองปกติ
MsgKdsGroupBy,จัดกลุ่มโดย
MsgKdsOrderBy,สั่งซื้อโดย
MsgKdsItemName,ชื่อรายการ
MsgKdsHideItem,ซ่อนรายการ
MsgKdsOrderStatus,สถานะคำสั่งซื้อ
MsgKdsClearAll,ลบทั้งหมด
MsgKdsOldestOnTop,เก่าที่สุดอยู่บนสุด
MsgKdsNewestOnTop,ใหม่ที่สุดอยู่บนสุด
MsgKdsMove,   ย้าย:
MsgKdsCompletedToTop,   ทำให้เสร็จสิ้นไปยังด้านบนสุด
MsgKdsKitchenDisplaySettings,การตั้งค่าการแสดงผลห้องครัว
MsgKdsDisplayStylePreview,เรียกดูรูปแบบการแสดงผล:
MsgKdsExpedite,เร่งการดำเนินการ
MsgKdsTileExpedite,ช่องเร่งการดำเนินการ
MsgKdsKitchen,ห้องครัว
MsgKdsOrderDisplay,การแสดงผลคำสั่งซื้อ
MsgKdsCompletedBecomes,เสร็จสิ้นแล้วกลายเป็น
MsgKdsBump,กระทบ
MsgKdsBumped,ถูกกระทบ
MsgKdsClosed,ปิด
MsgKdsByItem,โดยรายการ
MsgKdsByOrder,โดยคำสั่งซื้อ
MsgKdsAsUndo,เป็นยังไม่ได้ทำ
MsgKdsTimeDisplay,เวลาที่แสดง:
MsgKdsTimeElapsed,เวลาที่ผ่านไป
MsgKdsTimeReceived,เวลาที่ได้รับ
MsgKdsSounds,เสียง:
MsgKdsOn,ปิด
MsgKdsOff,เปิด
MsgKdsClearCache,ล้างแคช
MsgKdsSaveClose,บันทึกและปิด
MsgKdsOrderDetails,รายละเอียดคำสั่งซื้อ:
MsgKdsModifiers,ตัวดัดแปลง
MsgKdsCompletedOrderBlinking,การกระพริบสำหรับคำสั่งซื้อที่เสร็จสิ้นแล้ว
MsgKdsGroupIdenticalProducts,กลุ่มผลิตภัณฑ์เดียวกัน:
MsgKdsThemeColor,สีของธีม:
MsgKdsWhite,ขาว
MsgKdsBlack,ดำ
MsgKdsTimers,ตัวจับเวลา:
MsgKdsMin,%d นาที 
MsgKdsMarkCompletedBy,ทำสัญลักษณ์เสร็จสิ้นโดย:
MsgKdsTipWorksInRegularView,มุมมองปกติ
MsgKdsVersionEstab,รุ่น: %@\nรหัสเครื่องติดตั้ง: %d\nชื่อเครื่องบริการ: %@\n URL: %@
MsgKdsVersionPleaseCheckConfiguration,รุ่น: %@\nโปรดตรวจสอบการกำหนดค่า
MsgKdsTotalRowsCountInDb,จำนวนแถวทั้งหมดใน DB คือ %d
MsgKdsMaxStorageLimitInDb,จำกัดการจัดเก็บสูงสุดใน DB คือ %d
MsgKdsTheRemovableRowsCount,จำนวนแถวที่ลบออกได้คือ %d
MsgKdsAreYouSure,คุณแน่ใจหรือไม่?
MsgKdsSeparateByModifier,แยกโดยตัวดัดแปลง
MsgKdsGroupByProduct,จัดกลุ่มโดยผลิตภัณฑ์
MsgKdsGroupByOrder,จัดกลุ่มโดยคำสั่งซื้อ
MsgKdsGroupByItem,จัดกลุ่มโดยรายการ
MsgKdsGroupByTime,จัดกลุ่มโดยเวลา
MsgKdsQuantity09,จำนวน 0-9
MsgKdsQuantity90,จำนวน 9-0
MsgKdsItemNameAZ,ชื่อรายการ A-Z
MsgKdsItemNameZA,ชื่อรายการ Z-A
MsgKdsDiningOption,การรับประทานอาหาร\nตัวเลือก
MsgKdsSpecialRequest,คำร้องขอพิเศษ
MsgKdsEnterPasscode,ป้อนรหัสผ่าน
MsgKds5FailedPasscodeAttempts,การพยายามด้วยรหัสผ่านล้มเหลว 5 ครั้ง
MsgKdsEnterYourRestrictionsPasscode,ป้อนรหัสผ่านข้อจำกัดของคุณ
MsgKdsDishName,ชื่ออาหาร
MsgKdsKdsIsStillNotInitialized,KDS ยังไม่ได้เริ่มต้น โปรดคลิกปุ่มรีเฟรช เพื่อดาวน์โหลดการตั้งค่าจากระบบส่วนหลัง
MsgKdsThisKdsAndThePosAreOnIncompatible,KDS นี้และ POS อยู่ในรุ่นที่ไม่สามารถทำงานร่วมกันได้ อันอาจทำให้ข้อมูลผิดพลาดได้ โปรดอัปเกรด KDS ของคุณ
MsgKdsVersion,รุ่น: %@
MsgKdsKdsName,ชื่อ KDS: %@
MsgKdsCheckYourNetwork,ตรวจสอบเครือข่ายของคุณ
MsgKdsSorry,ขออภัย!
MsgKdsThisWillDeleteAllRecords,นี่จะลบข้อมูลทั้งหมดจากฐานข้อมูลภายในเครื่อง
MsgKdsDatabasePurged,ฐานข้อมูลถูกล้าง
MsgKdsOrder#,คำสั่งซื้อ # %@
MsgKdsTrainingMode,*** โหมดการฝึกอบรม ***
MsgKdsPrinterNotResponding,เครื่องพิมพ์ไม่ตอบสนอง โปรดตรวจสอบว่าเครื่องพิมพ์ได้เปิดอยู่
MsgKdsNothing,ไม่มีสิ่งใด
MsgKdsWhatWouldYouLikeToDoWithTheOrder,คุณต้องการทำอะไรกับคำสั่งซื้อ?
MsgKdsTileExpediteSeat, ที่นั่ง %@ /
MsgKdsTileExpediteCourse, อาหารชุด %@ /
MsgKdsKdshasntBeenInitializedTheUpdatedSettings,KDS ไม่ได้ถูกเริ่มต้นทำงาน การตั้งค่าที่อัปเดตแล้วไม่สามารถอัปโหลดไปยังเซิร์ฟเวอร์ได้ เพิ่มเริ่มต้นการทำงาน โปรดไปยังมุมมองการตั้งค่า และคลิกปุ่มรีเฟรช
MsgKdsHasntBeenSynchronizedWithPos,KDS ไม่ได้ถูกซิงก์ไว้กับ POS โปรดลองรีเฟรชอีกครั้งใน 1 นาที
MsgKdsTheSettingsAreDownloadedSuccessfully,การตั้งค่าได้รับการดาวน์โหลดสำเร็จแล้ว
MsgKdsTheCurrentDeviceDoesNotExistInTheEstablishment,อุปกรณ์ปัจจุบันไม่มีอยู่ในการติดตั้ง %d
MSgKdsServerCommunicationIssuePleaseCheckYourNetwork,มีปัญหาในการสื่อสารกับเซิร์ฟเวอร์ โปรดตรวจสอบเครือข่ายของคุณ
MsgKdsWaiting,กำลังรอ
MsgKdsInProgressMode,โหมด “อยู่ระหว่างดำเนินการ”:
MsgKdsDoubleTapToComplete,แตะสองครั้งเพื่อทำให้เสร็จสมบูรณ์
MsgKdsInProgress,อยู่ระหว่างดำเนินการ
MsgKdsLanguagePackHasBeenUpdated,แพ็กภาษาได้รับการอัปเดตแล้ว โปรดปิดแล้วเปิด KDS ใหม่
MsgKdsPrint,พิมพ์
MsgKdsTapDoneonWaitingOrders,แตะ เสร็จสิ้น ที่คำสั่งซื้อที่รอ
MsgProductAdded,เพิ่มผลิตภัณฑ์แล้ว
MsgSelectACategory,เลือกหมวดหมู่
MsgSelectASubcategory,เลือกหมวดหมู่ย่อย
MsgSelectAProduct,เลือกผลิตภัณฑ์
MsgFailedTitle,รายการที่ล้มเหลว
MsgDescription,รายละเอียด
MsgOrderInfoDescription,คำสั่งซื้อ: %@
MsgOrderInfoCreated,สร้างแล้ว: %@
MsgOrderInfoCreatedNoArgs,สร้าง
MsgManagerSyncLog,บันทึกการซิงก์ข้อมูล
MsgManagerSyncLogMaxRetries,ลองซิงก์สูงสุด
MsgManagerRunEOD,เสร็จสิ้นกระบวนการของวัน
MsgManagerEOD,สิ้นสุดวัน
MsgManagerEODTaskCloseNullOrders,ปิดคำสั่งซื้อคงเหลือ 0.00
MsgManagerEODCloseNullOrdersProgress,ปิดคำสั่งซื้อคงเหลือ 0.00...
MsgManagerEODTaskReconcileOrders,กระทบยอดคำสั่งซื้อที่เปิด
MsgManagerEODTaskProcessCreditCards,ดำเนินการกับบัตรเครดิตทั้งหมด
MsgManagerEODTaskDeclinedPayments,การชำระเงินที่ถูกปฏิเสธ
MsgManagerEODTaskOfflinePayments,การชำระเงินแบบออฟไลน์
MsgManagerEODTaskConfirmTimeCards,ยืนยันบัตรลงเวลาของพนักงาน
MsgManagerEODTaskCloseAllTills,ปิดลิ้นชักเก็บเงินทั้งหมด
MsgManagerEODVoidRefundButton,ยกเลิก/ขอคืนเงิน
MsgManagerEODCloseCashButton,ปิดไปยังเงินสด
MsgManagerEODCarryNextDayButton,ยกยอดไปวันถัดไป
MsgManagerEODPrintReport,พิมพ์รายงาน
MsgManagerEODTaskAdditionalTasks,งานเพิ่มเติม
MsgManagerEODTillsOpened,เปิด
MsgManagerEODPosStation,เครื่องบริการ POS
MsgManagerEODClockOutAll,ลงเวลาออกงานทั้งหมด
MsgManagerEODNoTasksAlert,ไม่มีงานที่ต้องดำเนินการ
MsgManagerEODProcessSuccess,กระบวนการเมื่อสิ้นสุดวันเสร็จสมบูรณ์แล้ว เครื่องบริการ POS จะรีเฟรชตอนนี้
MsgManagerEODReportsAllEmployees,พนักงานทั้งหมด (รวมไว้ในหนึ่งรายงาน)
MsgManagerEODRunPrompt,โปรดรัน 'ขั้นตอนปฏิบัติการเมื่อสิ้นสุดวัน'
MsgManagerEODGoToNextStep,ขั้นตอนถัดไป
MsgManagerEODUnableToRun,ไม่สามารถรันสิ้นสุดวันได้
MsgManagerEODCurrentOrderOpen,คำสั่งซื้อหมายเลข %@ เปิดอยู่! โปรดปิดคำสั่งซื้อก่อนที่จะรัน 'สิ้นสุดวัน'
MsgManagerEODSynLogMenu,สิ้นสุดวัน
MsgManagerEODErrorUnsyncedOrdersCheck,คำสั่งซื้อที่ไม่ถูกซิงก์
MsgManagerEODInstructionsStep1BoldOrders,คำสั่งซื้อ
MsgManagerEODInstructionsStep1BoldUnsyncedOrders,คำสั่งซื้อที่ไม่ถูกซิงก์
MsgManagerSyncLogSignatures,ลายมือชื่อ
MsgManagerSyncLogOrders,คำสั่งซื้อ
MsgManagerSelectLogItem,โปรดเลือกรายการบันทึกเพื่อแสดง
MsgManagerSyncShowButton,แสดง
MsgNotSupportedForIphoneApp,แอปไอโฟนไม่ได้รับการสนับสนุน
MsgAgeVerification,การตรวจสอบความถูกต้องของอายุ
MsgCustomerBirthdateMessage,ลูกค้าต้องเกิดก่อน %@ เพื่อจะซื้อผลิตภัณฑ์นี้\nโปรดยืนยันรหัสและวันเกิดของลูกค้า
MsgItemDetailsBIN,BIN
MsgItemDetailsDetails,รายละเอียดผลิตภัณฑ์
BtnItemDetailsInventoryLookup,ค้นหาข้อมูลสินค้าคงเหลือ
MsgWarningDeleteSignature,คุณแน่ใจหรือไม่ว่า คุณต้องการที่จะลบข้อมูลลายมือชื่อ?
MsgDeleteSignatureError,ไม่สามารถลบลายมือชื่อจากดิสก์
MsgBLECheckedIn,เช็กอินลูกค้าด้วยบลูธูท
MsgOrderDetailsCustomerCheckInfo,ตรวจสอบลูกค้า
MsgAggregate,รวบรวม
MsgVoidServiceProduct,ผลิตภัณฑ์
MsgVoidServicePrice,ราคา
MsgVoidSelectItems,รายการที่จะยกเลิก
MsgReturnSelectItems,รายการที่จะส่งคืน
MsgVoidReturnSelectItems,รายการที่จะส่งคืน
MsgCompSelectItems,รายการที่จะทำให้เสร็จสมบูรณ์
MsgVoidQtyLeft,จำนวนที่เหลือ
MsgRPIUpdateConfirm,นี่จะเป็นการอัปเดต PI คุณแน่ใจหรือไม่?
MsgRPIUpdateSuccess,อัปเดต_ PI สำเร็จแล้ว
MsgRPIUpdateFail,อัปเดต PI ล้มเหลว
MsgRPICommunicationFail,การสื่อสารกับศูนย์เครือข่ายล้มเหลว เสียบสายเชื่อมต่อเครือข่ายอีกครั้ง หรือโปรดปิดแล้วเปิดฮับใหม่อีกครั้ง
MsgRPIDevicesInfo,ข้อมูลอุปกรณ์ RPI v. %@
MsgRPIConnectedDevices,อุปกรณ์ที่เชื่อมต่อ
MsgRPINonMappedDevices,อุปกรณ์ที่ไม่ได้จับคู่
MsgReceiptTitleGuestCheck,ใบเสร็จของลูกค้า
MsgReceiptNumberOfHeldOrders,ระงับคำสั่งซื้อ
MsgReceiptTotalSumOfHeldOrders,ยอดรวม
MsgOrderExchangeFrom,[จาก %@]
MsgOrderExchangeDoneAddItems,รายการที่แลกเปลี่ยน  โปรดเพิ่มรายการใหม่ไปยังคำสั่งซื้อนี้
MsgOrderExchangeExceedsPurchaseAmountTitle,เพิ่มรายการ
MsgOrderExchangeExceedsPurchaseAmountMessage,ค่าแลกเปลี่ยนเกินกว่าค่าจัดซื้อ โปรดเพิ่มรายการเพื่อใช้เงินทุนที่เหลือ
MsgSelectItemsToExchangeSelectItemsToExchange,เลือกรายการเพื่อแลกเปลี่ยน
MsgSelectItemsToExchangePleaseSelectItems,โปรดเลือกรายการเพื่อแลกเปลี่ยน
MsgSelectItemsToExchangeItemsToExchange,รายการเพื่อแลกเปลี่ยน
MsgSelectItemsToExchangeQtyLeft,จำนวนที่เหลือ
MsgSelectItemsToExchangeExchange,แลกเปลี่ยน
MsgSelectItemsToExchangeOrderHasCoupon,คำสั่งซื้อนี้มีคูปอง  คูปองนี้มีผลต่อราคาของรายการแลกเปลี่ยนหรือไม่
MsgSelectItemsToExchangeOrderHasCoupons,คำสั่งซื้อนี้มีคูปอง.  โปรดเลือกคูปองใด ๆ ที่มีผลต่อราคาของรายการที่แลกเปลี่ยน
MsgSpecifyReasonForExchangeSpecifyReasonForExchange,ระบุเหตุผลสำหรับการแลกเปลี่ยน
MsgSpecifyReasonForExchangeGrandTotal,ยอดรวมทั้งหมด:
MsgReceiptEXCHANGE,แลกเปลี่ยน
BtnOTEPShowAllOrders,แสดงคำสั่งซื้อทั้งหมด
BtnOTEPTables,โต๊ะ
BtnOTEPBarTabs,แท็บบาร์
BtnOTEPBarTab,แท็บบาร์
BtnTablesNewParty,+ งานสังสรรค์ใหม่
MsgTransferOrdersTableHeader,โอนย้ายคำสั่งซื้อ | เลือกโต๊ะ และ/หรือแท็บ
BtnTransferOrdersTransfer,โอนย้าย
BtnTransferOrdersHideClockedOutEmployees,ซ่อนพนักงานที่ลงเวลาออกงานแล้ว
BtnTransferOrdersClockedIn,ลงเวลาเข้างาน
MsgTransferOrdersTransfersFailed,การโอนย้ายล้มเหลว
MsgTransferOrdersTransfersFailedForOrders,การโอนย้ายล้มเหวสำหรับคำสั่งซื้อที่มีรหัส:
BtnTransferOrdersAllEmployees,พนักงานทั้งหมด
MsgExistingDiscounts,ส่วนลดที่มีอยู่ในรายการ
MsgItemName,ชื่อรายการ
MsgDiscountName,ชื่อส่วนลด
MsgReplaceDiscountAmount,จำนวนส่วนลด
MsgReplaceDiscount,แทนที่ส่วนลดหรือไม่
MsgTheseItemsHaveDiscounts,รายการเหล่านี้มีส่วนลดอยู่แล้ว. แทนที่ส่วนลดหรือไม่
MsgStanfordPhotoConfirmation,ตรวจสอบและยืนยันรูปภาพ
MsgStanfordCheckBalance,ตรวจสอบยอดคงเหลือ
MsgWaitingForFoodNonFood,กำลังรอการเลือกทิป
MsgEditEntry,แก้ไขรายการ
MsgAssignTable(s),กำหนดตาราง
MsgSendMessage,ส่งข้อความ
MsgRemoveEntry,ลบรายการออก
MsgPleaseFillPhoneNumberProceedToEditTheReservation,โปรดป้อนหมายเลขโทรศัพท์ ดำเนินการเพื่อแก้ไขการจองหรือไม่
MsgSendSMSmessageTo,ส่งข้อความ SMS ไปยัง %@
MsgSendEmailTo,ส่งอีเมลไปยัง %@
MsgSendingFailed,การส่งล้มเหลว
MsgYouHaveAnReservation,คุณมีหนึ่งการจอง
MsgNextReservation,การจองถัดไป
MsgPreviousAssignment,การมอบหมายก่อนหน้า
MsgEditReservation,แก้ไขการจอง
MsgAddReservation,เพิ่มการจอง
MsgWaitlist,รายการรอ
MsgAddNewParty,เพิ่มงานสังสรรค์ใหม่
MsgAllChangesWillBeLostContinue,การเปลี่ยนแปลงทั้งหมดจะสูญหายไป ดำเนินการต่อหรือไม่
MsgBirthday,วันเกิด
MsgNoTable(s)Assigned,ไม่มีโต๊ะที่มอบหมายไว้
MsgPleaseFillName,โปรดป้อนชื่อ
MsgPleaseFillPhoneNumber,โปรดป้อนหมายเลขโทรศัพท์
MsgThereArentAvailableSeatsWouldYouLike,ไม่มีเก้าอี้นั่งว่าง คุณต้องการสร้างการจองใหม่หรือไม่
MsgWalkIn,ไม่ได้โทรจอง
MsgCallIn,โทรจอง
MsgShortManual,M: %ld
MsgPartyNSize,ขนาด\nงานเลี้ยง
MsgPartySize,ขนาดงานเลี้ยง
MsgEnterPartySize,ป้อนขนาดงานเลี้ยง
MsgCheckNIn,เช็ก\nอิน
MsgThisTableIsOccupiedWhatWouldYouLikeToDo,โต๊ะนี้ไม่ว่าง คุณต้องการทำอะไร
MsgMerge,รวม
MsgKeepSeparate,แยกไว้
MsgSeated,มีคนนั่งแล้ว
MsgPleaseSelectAnyTable,โปรดเลือกโต๊ะอื่น
MsgAssign,มอบหมายให้
MsgPleaseSelectTableSections,โปรดเลือกโต๊ะ
MsgTables,โต๊ะ
MsgTable(s),โต๊ะ
MsgHistory,ประวัติ
MsgReasonForRemoval,เหตุผลสำหรับการลบออก
MsgReturnToWaitlist,ส่งกลับไปยังรายการรอ
MsgEditNEntry,แก้ไข\nรายการ
MsgSeatNParty,เก้าอี้\nสำหรับงานสังสรรค์
MsgNewParty,+ งานสังสรรค์ใหม่
MsgReservationsDashboard,แดชบอร์ดการจอง
MsgRefreshing,กำลังรีเฟรช
MsgIncludedTags,แท็กที่รวมอยู่
MsgDaysIncludedInAverage,วันรวมถึงที่เฉลี่ย
MsgQuotedWait,รอราคาที่บอกไว้
MsgPartyDetails,รายละเอียดงานสังสรรค์
MsgTablePreferences,โต๊ะที่ต้องการ
MsgAddToWaitlist,เพิ่มไปยังรายการรอ
MsgNParties,งานสังสรรค์
MsgTotalGuests,จำนวนลูกค้ารวม
MsgAvailableTables,โต๊ะที่ว่าง
MsgAvailableCapacity,ที่ว่างที่สามารถรองรับได้
MsgReservations,การจอง
MsgSendMessage(s),ส่งข้อความ:
MsgHistoryIsNotSupportedNow,ประวัติไม่ได้รับการสนับสนุนตอนนี้
MsgSections,ส่วน
MsgAllTables,โต๊ะทั้งหมด
MsgDay(s),วัน
MsgSomeChangesHaveBeenMade,มีการเปลี่ยนแปลงบางอย่าง คุณต้องการบันทึกก่อนที่จะดำเนินการต่อหรือไม่
MsgGasStationSelectClearType,เลือกประเภทการเคลียร์
MsgGasStationInternalErrorNoFuelTransactionFound,ข้อผิดพลาดภายใน ไม่พบการทำรายการเชื้อเพลิง
MsgForecourtController,เชื่อมต่อลานหน้าอาคารแล้ว
BtnMoveOrdersMove,ย้าย
BtnMoveOrdersMerge,รวม
BtnMoveOrdersTablesInUse,แสดงโต๊ะที่ใช้งานอยู่
BtnMoveOrdersTablesNotInUse,แสดงโต๊ะที่ไม่ได้ใช้งานอยู่
MsgMoveOrdersIsNotPossible,การเคลื่อนย้ายเป็นไปไม่ได้ เนื่องจากคำสั่งซื้อปลายทางหรือต้นทางไม่ได้ซิงก์ไปยังเครื่อง POS หลัก
MsgMoveOrdersTableHeader,ย้ายคำสั่งซื้อ | เลือกโต๊ะ และ/หรือแท็บ
MsgMoveOrdersOrderStatus,สถานะคำสั่งซื้อ
MsgMoveOrdersAllSections,ทุกส่วน
MsgMoveOrdersRefundManually,สามารถย้ายได้เฉพาะรายการ  ไม่สามารถย้ายการชำระเงินคำสั่งซื้อ %@ และต้องขอคืนเงินด้วยตนเอง
MsgMergeOrdersWhichToKeep,คำสั่งซื้อใดที่คุณต้องการเก็บไว้
MsgMergeOrdersTableHeader,รวมคำสั่งซื้อ | เลือกคำสั่งซื้อที่จะรวม
MsgMoveOrdersPaymentsRefundManually,ไม่สามารถย้ายการชำระเงินคำสั่งซื้อ: %@ และต้องขอคืนเงินด้วยตนเอง
MsgMoveOrdersPaymentsDiscountMove,ไม่สามารถย้ายส่วนลดคำสั่งซื้อ และต้องขอคืนเงินด้วยตนเอง
MsgMoveOrdersPaymentsServiceFeeMove,ไม่สามารถย้ายค่าธรรมเนียมการบริการของคำสั่งซื้อ และต้องขอคืนเงินด้วยตนเอง
MsgMergeOrderSplitBillsClear,การแยกบิลตามคำสั่งซื้อ: %@จะถูกล้าง คุณแน่ใจหรือไม่?
MsgMoveMergeOrderPaymentMoved, การชำระเงินแรกเริ่มถูกย้ายไปยังคำสั่งซื้อ
MsgMergeOrders,รวมคำสั่งซื้อ
MsgMoveOrdersIsNotPossibleDueDestinationOrder,การรวมเป็นไปไม่ได้ เนื่องจากคำสั่งซื้อปลายทางหมายเลข %@ มีการแยกบิลและการชำระเงิน โปรดเคลียร์บิลที่มีการแยกบิลด้วยตนเอง
MsgGiftCardBlances,ยอดคงเหลือใหม่ของคุณถูกแสดงตามด้านล่าง
MsgOrderCustomerTrackingNumber,หมายเลขคำสั่งซื้อ ลูกค้า หมายเลขการติดตาม
MsgShipped,จัดส่งแล้ว
MsgNormal,ปกติ
MsgComments,ข้อคิดเห็น
MsgKdsShowQuantity,แสดงจำนวน
MsgKdsCallNameFontSize,ขนาดตัวอักษรชื่อเรียก:
MsgKdsDoubleTapDoneonWaitingOrders,แตะสองครั้งที่ เสร็จสิ้น ที่คำสั่งซื้อที่รอ
MsgAddNewCheck,เพิ่มการตรวจสอบใหม่
MsgWetstockOverviewHeader,การจัดการสินค้าชนิดเปียก - ภาพรวม
MsgWetstockPumpManagementHeader,การจัดการสินค้าชนิดเปียก - การบริหารจัดการปั๊ม
BtnWetstockEndOfDay,สิ้นสุดวัน
BtnWetstockReconcile,ปรับยอด
BtnWetstockDetails,รายละเอียด
MsgWetstockDateTime,วันที่/เวลา
MsgWetstockEvent,กิจกรรม
MsgWetstockAmtDispenced,จำนวนเงิน ที่จ่ายออกไป
MsgWetstockAmtonMeter,จำนวนบนมิเตอร์
MsgWetstockGrade,เกรด
MsgWetstockAllHoses,สายยางทั้งหมด
MsgWetstockTransactionSale,การขาย
MsgWetstockTransactionReconcile,ปรับยอด
BtnWetstockTankTransfer,โอนย้ายถัง
BtnWetstockPrintForecourtMap,พิมพ์แผนที่ลานหน้าอาคาร
MsgWetstockAllTanks,โต๊ะทั้งหมด
MsgFailedToUpdateTips,การอัปเดตทิปล้มเหลว
MsgNothingToUpdate,ไม่มีสิ่งที่จะอัปเดต
MsgTransferTo,โอนย้ายไปยัง
MsgHours,ชั่วโมง
MsgAppliedPumpPricePrice,นำเงินฝากมาใช้
MsgHintPosSettings,การตั้งค่า POS
MsgHintFinancials,การเงิน
MsgHintOfflinePayments,การชำระเงินแบบออฟไลน์
MsgHintDeclinePayments,การชำระเงินที่ถูกปฏิเสธ
MsgHintSyncLog,บันทึกการซิงก์ข้อมูล
MsgHintTroubleShoot,โหมดการแก้ปัญหา
MsgHintBatchProcess,การประมวลผลเชิงกลุ่ม
MsgHintManageItem,จัดการโหมดรายการ
MsgHouseAccountPaymentHistory,การชำระเงิน
MsgHouseAccountFetchingData,บัญชีค่านายหน้า
MsgHouseAccountFailedToFetch,การนำเข้ารายงานล้มเหลว โปรดตรวจสอบการเชื่อมต่ออินเทอร์เน็ตของคุณ และลองอีกครั้งภายหลัง
MsgHouseAccountPaymentType,ประเภทการชำระเงิน
MsgHouseAccountDisplayHouseAccountPayments,แสดงเฉพาะบัญชีค่านายหน้าเท่านั้น
MsgHouseAccountUnpaidHouseAccountOrders,บัญชีค่านายหน้า
MsgHouseAccountErrorAccountNotEnabledForEstablishment,อุปกรณ์ปัจจุบันไม่มีอยู่ในการติดตั้ง %d
MsgHouseAccountErrorFailedToSyncPayment,อัปเดตข้อมูลการชำระเงินล้มเหลว
MsgHouseAccountPayment,บัญชีค่านายหน้า
MsgHouseAccountPayments,บัญชีค่านายหน้า
MsgHouseAccountLocked,คำสั่งซื้อถูกแก้ไขโดย %@ บนเครื่องบริการ %@
MsgOnboardingEstablishmentNotSet,ไม่มีการตั้งค่าการติดตั้ง หรือเครื่องบริการ POS!\n\nโปรดรีเฟรช!
MsgOnboardingFailedToSaveBackendSettings,การอัปเดตทิปล้มเหลว
MsgOnboardingFailedToSaveSupportTopics,การอัปเดตทิปล้มเหลว
BtnOnboardingCloseWizard,ปิดคำสั่งซื้อ
MsgOnboardingAdditionalSetUpAssistance,การดำเนินการเพิ่มเติม
BtnOnboardingRetail,การขายปลีก
BtnOnboardingQuickService,การบริการ
BtnOnboardingTableService,ค่าธรรมเนียมการบริการที่เก็บภาษีได้
MsgOnboardingPaymentMethods,เลือกวิธีการชำระเงิน
MsgOnboardingBusinessName,ชื่อที่อยู่
