LocaleIdentifier,QA
MsgReceiptOnSpotGift,ЖOn-spot gift
MsgReceiptCancelledOrder,ЖCancelled order
MsgReceiptTotalRedeemedPoints,ЖTotal redeemed points
MsgReceiptYourCurrentBalance,ЖYour current balance
MsgReceiptOrderNumber,ЖOrder #%@
MsgReceiptMoved,ЖMOVED
MsgReceiptMovedTo,Жmoved to
MsgReceiptToDestination,ЖTO DESTINATION
MsgBringStoreCreditReceipt,ЖBring this receipt with you on your next visit to redeem your store credit
MsgReceiptPaymentTotal,ЖPayment Total
MsgReceiptProductForecastingStartOfReport,ЖProduct Forecasting Report
MsgReceiptProductForecastingEndOfReport,ЖEnd of Report
MsgReceiptProductForecastingPrep,ЖPrep
MsgReceiptProductForecastingTotalsForDay,ЖTotals for the day
MsgReceiptProductForecastingNextDay,ЖNext day
MsgReceiptProductForecastingForecast,ЖFcst
MsgReceiptProductForecastingEstimated,ЖEst
MsgReceiptProductForecastingCumulative,ЖCumulative
MsgReceiptProductForecastingPrior,ЖPrior
MsgReceiptProductForecastingNotificationBody,ЖTime to print %@ report
MsgReceiptProductForecastingStartOfDay,ЖStart of Day
MsgReceiptProductForecastingTimeSlot,ЖTime slot
MsgBarTabNumber,ЖTab #
MsgBarTabTitle,ЖBar Tab #%d
MsgBarTabsTitle,ЖBar Tabs%@
MsgBarTabsFindTitle,ЖFind Tab
MsgOrderSelectTitle,ЖSelect Order
MsgBarTabsFindPlaceholder,ЖEnter Tab # or Customer Name
MsgBarTabsFindNoResults,ЖNo open matching bar tab found.
MsgBarTabsFindNoResultsOpenNewTab,ЖNo open matching bar tab found. Would you like to open a new tab?
MsgTablesFindNoResultsSelectAvailableTable,ЖSelect an Available Table
MsgBarTabsSearchPlaceholder,"ЖEnter Tab #, Customer Name, Order ID"
BtnBarTabsOpen,ЖOpen Tab
BtnBarTabsFind,ЖFind Tab
BtnBarTabsBarcode,ЖBarcode Tab
MsgCustomersHome,ЖHome
MsgCustomersOffice,ЖOffice
MsgSelectOrderType,ЖSelect Order Type
MsgOrderTypeAll,ЖDisplay All Orders
MsgOrderTypeHouse,ЖDisplay House Accounts Only
MsgOrderTypeInvoices,ЖDisplay Outstanding Invoices
MsgOrderTypeHouseTitle,ЖHouse Accounts
MsgOrderFilterPaid,ЖPaid
MsgOrderFilterBilled,ЖBilled
MsgOrderListTitle,ЖOrders
MsgOrderListTitleWithCustomerName,Ж%@'s Orders
MsgOrderListTitleLoading,ЖOrders Loading...
MsgOrderInvoicesListTitleWithCustomerName,Ж%@'s Invoices
MsgOrderInvoicesListTitleLoading,ЖInvoices Loading...
MsgCustomersUpdateCCInfo,ЖUpdate Credit Card Info
MsgOrderInvalidEstablishment,ЖOpening orders from other establishment is not allowed.
MsgOrderSelectOrder2,ЖPlease select an order.
MsgOrderDoNotExist,ЖThis customer has no orders.
MsgInvoiceDoNotExist,ЖThis customer has no invoices.
MsgReceiptInvoiceBalanceDue,ЖInvoice Balance Due
MsgCateringTitleLoading,ЖCatering Delivery - Loading...
MsgCateringTitle,ЖCatering Delivery
MsgCateringTitleCustomerAndCallName,ЖCustomer/Call Name
MsgCateringTitleProduct,ЖProduct
MsgCateringComplete,ЖComplete
MsgCateringQuantity,ЖQty.
MsgCateringTitleCateringDate,ЖDelivery Date
MsgCateringFilter,ЖShow Records For
MsgCateringCompleteTitle,ЖComplete Order
MsgCateringCompleteSelected,ЖComplete Selected
MsgCateringCompleteAll,ЖComplete All
BtnCateringShowComplete,ЖShow Complete
BtnCateringShowActive,ЖShow Active
BtnCateringComplete,ЖComplete
BtnCateringCompleting,ЖCompleting
CmtCateringCompleted,ЖCompleted
BtnCateringApplyToOrder,ЖApply to Order
BtnCateringApplyToItems,ЖApply to Item(s)
MsgCateringSerialNumberMissing,ЖItem(s) in this delivery do not have serial numbers. Please add serial numbers before continuing.
MsgCateringSelectItems,ЖSelect Item(s)
MsgFilterToday,ЖToday
MsgFilterTomorrow,ЖTomorrow
MsgFilterFuture,ЖFuture
MsgFilterYesterday,ЖYesterday
MsgFilterEverything,ЖEverything
MsgFilterWeek,ЖWeek
MsgFilterMonth,ЖMonth
MsgFilterAnyDate,ЖAny Date
MsgFilterActive,ЖView Active
MsgFilterComplete,ЖView Complete
MsgOrdersExpand,ЖExpand All
MsgOrdersCollapse,ЖGroup by Order
MsgOrdersGroupByItem,ЖGroup by Item
MsgOrderPriceOverrideDaily,ЖThis will change the price of the item on this POS station only. Distribution of this change must be done manually.
MsgOrderPriceOverrideServer,ЖThis will change the price of the item on the server. You will need to refresh other stations to distribute the new price.
MsgOrderPriceOverrideServerSuccess,ЖPrice has been changed to %@.  Please refresh other POS stations to distribute this change.
MsgOrderPriceOverrideServerFail,ЖPrice Override Failed.
MsgOrderOverridePrice,ЖOverride Price
BtnOrderOverridePricePerUnit,ЖOverride\nPrice Per Unit
BtnOrderOverridePriceTotal,ЖOverride\nTotal Price
MsgOrderPriceOverrideHelp,ЖSingle - Change the price of the item once.\n\nDaily - Change the price of the item until midnight on this POS station.\n\nServer - Change the price of the item in the server. You will need to refresh other POS stations to distribute the new price.
BtnOrderSingleOverride,ЖOverride Once
BtnOrderDailyOverride,ЖOverride All Day
BtnOrderServerOverride,ЖUpdate Price
MsgOrderPriceOverrideSaving,ЖSaving
LblPriceOverrideWeightedItem,ЖCurrent: %@ (%@ per unit)
LblPriceOverrideOrdinaryItem,ЖCurrent
MsgPriceOverrideExceedLimitsError,ЖUnable to override price.\nPrice must be between %@ and %@.
MsgPriceOverrideExceedLimitsGreater,ЖUnable to override price.\nPrice must be greater than %@.
MsgPaymentMakePaymentFirst,ЖPlease make a payment first.
MsgPaymentTippingNotSupported,ЖTipping is not supported for credit payments.
MsgPaymentTippingNotSupportedGiftCard,ЖTipping is not supported for gift card payments.
MsgPaymentTippingNotSupportedStoreCredit,ЖTipping is not supported for store credit payments.
MsgPaymentTippingNotSupportedComoBudget,ЖTipping is not supported for Como payments.
MsgPaymentTippingNotSupportedIndex,ЖTipping not supported for Index payments.
MsgPaymentTippingNotSupportedPayPal,ЖTipping not supported for PayPal payments.
MsgPaymentTippingNotSupportedForThisPaymentType,ЖTipping is not supported for this payment type.
MsgPaymentEnterTipAmount,ЖEnter Tip Amount
MsgPaymentSelectTipAmount,ЖSelect Tip Amount
MsgPaymentOtherTipAmount,ЖOther Tip Amount
MsgPaymentTipSuccess,ЖTip added successfully.
MsgPaymentCardDataEmpty,ЖCard Data Empty!
MsgPaymentProcessorDataEmpty,ЖProcessor Data Empty!
MsgPaymentIncompleteCardData,ЖIncomplete Card Information!
MsgPaymentInvalidCreditCardSettings,ЖPlease input the proper credit card payment settings on the backend!
MsgPaymentEBTNotSupported,ЖEBT transactions are not supported by your credit processor.
MsgPaymentCCProcessorsMoreThanOne,ЖPlease input the proper credit card payment settings on the backend!\nThere are %d active processors.
MsgPaymentUSAEpayEncryptionError,ЖCheck your encryption level in the backend settings!
MsgPaymentUSAEpayUrlIncorrect,ЖUSAePay service url is incorrect.\nPlease contact customer support.
MsgPaymentUSAEpayOfflineProcessingError,ЖDid expect to process an offline payment here!
MsgPaymentChangeOverAmountNotAllowed,ЖChange over %@ is not allowed.
MsgPaymentPayWithGiftCard,ЖPay with Gift Card
MsgPaymentPayWithCreditCard,ЖPay with Credit Card
MsgPaymentPayWithEBTCard,ЖPay with EBT Card
MsgPaymentPartialRefundIsNotAllowedWithEBT,ЖPartial refund is not allowed with EBT.
MsgPaymentSwipeCreditCard,ЖSwipe Credit Card
MsgPaymentPayWithEFTPOS,ЖPay with EFTPOS
MsgPaymentPayWithAdyen,ЖPay with Adyen
MsgPaymentPayWithStanfordCard,ЖPay with Stanford Card
MsgPaymentCardSwipeWaiting,ЖWaiting for you to swipe a card.
MsgPaymentCardSwipeBad,ЖBad Swipe!
MsgPaymentCardSwipeBadTryAgain,"ЖBad swipe, try again."
MsgPaymentCardSwipeBadTouchToTryAgain,ЖBad swipe. Touch Cancel and try again.
MsgPaymentCardSwipeErrorTryAgainOrAnother,ЖError reading card. \nPlease swipe again or try another card.
MsgPaymentCardSwipeRead,ЖReading swipe
MsgPaymentCardReaderWaiting,ЖWaiting for Card Swipe
MsgPaymentCardReaderOrScannerWaiting,ЖWaiting for Card Swipe or Scan
MsgPaymentWaitingForPinPad,ЖWaiting for PinPad
MsgPaymentCardReaderFail,ЖCould not connect to the Card Swipe.
MsgPaymentCardReaderFailAddRewards,ЖIt is possible to add %@ by manual.
MsgPaymentPleaseSwipeYourCard,ЖPlease swipe your card magnetic strip down.
MsgPaymentYourCardFailWaitCashier,ЖYour card could not be processed.\nPlease wait for the Cashier.
MsgPaymentCardReaderFailWaitCashier,ЖCould not connect to the Card Swipe.\nPlease wait for the Cashier.
MsgPaymentYourCardFailDU,ЖPlease wait for the Cashier.
MsgPaymentCardSwipeBadPleaseTryAgain,ЖBad swipe.\nPlease try again.
MsgPaymentCardNumber,ЖCard Number
MsgPaymentYearPlaceholder,"ЖYear, eg. "
MsgPaymentMonth,"ЖMonth, eg. 08"
MsgPaymentCVV,ЖCVV
MsgPaymentFirstName,ЖFirst Name
MsgPaymentLastName,ЖLast Name
MsgPaymentSelectMethod,ЖSelect a Payment Method
MsgPaymentEnterCardNumber,ЖEnter Card Number
MsgPaymentAuthorizationTitle,ЖAuthorization
MsgPaymentAuthorizationMessage,ЖAuthorizing ... Please wait.
MsgPaymentFetchingGiftCardBalanceMessage,ЖFetching gift card balance... Please wait.
MsgPaymentFetchingRewardBalanceMessage,ЖFetching reward balance... Please wait.
MsgPaymentAuthorizationVoidMessage,ЖVoiding transaction ... Please wait.
MsgPaymentAuthorizationTipMessage,ЖAuthorizing Tip ... Please wait.
MsgPaymentCoinsNotDispensed,ЖCoins Not Dispensed
MsgPaymentCoinDispenserConnectionFailed,ЖUnable to connect to coin dispenser '%@'. Retry?
MsgPaymentCreditCardAuthorization,ЖCredit Card Authorization
MsgPaymentApproved,ЖAPPROVED
MsgPaymentApproved2,ЖApproved
MsgPaymentApprovedOffline,ЖAPPROVED OFFLINE\n\nOffline payments: %d\nTotal: %@
MsgPaymentDeclined,ЖDECLINED
MsgPaymentFailed,ЖProcessing failed. Try again later.
MsgPaymentOffline,ЖOFFLINE
MsgPaymentOfflineOrder,ЖOffline Order
MsgPaymentOfflineOrderAttachCustomer,ЖPlease attach a customer to order
MsgPaymentOfflineOrderInputAddress,ЖPlease input customer address
MsgPaymentUnexpectedReplyFromProcessor,ЖUnexpected reply from processor
MsgPaymentPaymentPartial,ЖInsufficient funds on card. Order is only partially paid.
MsgPaymentPaymentPartialTipsNotAllowed,ЖInsufficient funds on card. Adding tips is not allowed.
MsgPaymentPaymentPartialCredit,ЖCard has insufficient funds.\nPlease pay remaining balance with another tender.
MsgPaymentPaymentOK,ЖPayment Successful!
MsgPaymentTipsSuccesfullyAdded,ЖTips successfully added!
MsgPaymentPaymentFail,ЖPayment Failed
MsgPaymentTransactionFail,ЖTransaction Failed
MsgPaymentProceedToTheCashier,ЖPlease proceed to the cashier to pay.
MsgPaymentWaitForTransaction,ЖWaiting for Transaction Tyro Payments
MsgPaymentAmountIsSmallForRounding,ЖCash payment not allowed where rounding would make payment equal $0.00.  Please use another payment type.
MsgPaymentAmountUnableRounding,ЖCash payment not allowed where rounding would make payment equal $0.00.  Please pay with exact cash or use another payment type.
MsgPaymentNoSignatureError,ЖUnfortunately no signature is available for the %@ payment on this transaction.
MsgMongooseHttpServerError,ЖHTTP Server Error
MsgMonerisPrintTotals,ЖPrint Totals
MsgMonerisResetTotals,ЖReset POS Totals
MsgMonerisInitializePinPad,ЖInitialize PinPad
MsgMonerisNothingToPrint,ЖNothing to print.
MsgMonerisDeviceBusy,ЖMoneris device busy.\nTry again later...
MsgMonerisRequestingBatchInfo,ЖRequesting batch info ... Please wait
MsgMonerisSAFRecordsReleased,ЖSAF records released.
MsgMonerisSAFFloorLimit,ЖSAF Floor Limit
MsgMonerisPinPadStillDisconnected,ЖPinPad still disconnected.
MsgMonerisSAFTableEmpty,ЖSAF table empty
MsgMonerisSAFDisabled,ЖSAF is disabled!\nPlease initialize device.
MsgMonerisReleasingRecords,ЖReleasing Records
MsgMonerisSAFRelease,ЖSAF Release
MsgMonerisDeviceInitializedWithSAF,ЖDevice successfully initialized!\nPlease set floor limits for each supported card plan.
MsgMonerisDeviceInitialized,ЖDevice successfully initialized!
MsgMonerisDeviceIsNotInitialized,ЖDevice is not initialized. Initialize?
MsgMonerisActionFailedRetry,ЖAction failed. Retry?
MsgMonerisInternalErrorWithCode,ЖInternal Error (%@)
MsgMonerisEMVCardErrorWithCode,ЖEMV Card Error (%@)
MsgMonerisInitErrorWithCode,ЖInitialization Failed (%@)
MsgMonerisDataErrorWithCode,ЖData Error (%@)
MsgMonerisPinPadErrorWithCode,ЖPinPad Error (%@)
MsgMonerisMiscErrorWithCode,ЖMiscellaneous Error (%@)
MsgMonerisCancelFailed,ЖCancel action failed. Transaction in progress...
MsgMonerisActionFailed,ЖAction failed
MsgPaymentDebitRefund,ЖDebit Refund
MsgPaymentEBTSale,ЖEBT Sale
MsgPaymentGiftCardUsed,ЖPaid by gift card.\nBalance used - %@\nTotal balance - %@
MsgPaymentDeletePaymentFromTable,ЖDelete payment from table?
BtnGoToBatchScreen,ЖGo to Batch Screen
MsgPaymentHasNotCapturedTransactions,ЖThis terminal has not batched credit card payments in 24 hours.\nPlease go to the Batch Process screen under Manager Settings and capture your credit card payments.
MsgPaymentAutoCaptureJobFailed,ЖYour auto capture job has not been completed.\nPLEASE BATCH OUT
MsgPaymentHasNotProcessedOfflineTransactions,ЖYou have %d offline payment(s) not processed for over 24 hours.\n\nPlease force processing\n(Offline Payments screen)
MsgPaymentHasNotProcessedDeclinedPayments,ЖYou have %d declined payment(s) not processed for over 24 hours.\n\nPlease retry or delete records\n(Declined Payments screen)
MsgPaymentHasNotProcessedRetryAll,ЖRetry All
MsgPaymentEBTFoodstampAllowedAmount,ЖEBT Foodstamp allowed amount is %.2f
MsgPaymentEBTRequestedAmount,ЖRequested amount: %@
MsgPaymentEBTFoodstampIsNotAllowed,ЖEBT Foodstamp transaction is not allowed for current order.
MsgPaymentEBTPartialPaymentIsNotSupported,ЖPartial payment is not supported with EBT.
MsgPaymentEBTValidatingOrder,ЖValidating Order
MsgPaymentRefundFailed,ЖRefund Failed
MsgPaymentErrorCardNumberInvalidDigitCount,ЖCard number must be 12 to 16 digits.
MsgPaymentErrorCardNumberInvalid,ЖCard number is invalid.
MsgPaymentErrorCardExpired,ЖYour card has expired.
MsgPaymentErrorMissingFields,ЖPlease complete the missing field(s):
MsgPaymentThisTypeOfRefundNotSupportedContactZapperSupport,ЖThis type of refund is not currently supported. Please contact Zapper support.
MsgPaymentEnterGratuity,ЖEnter Gratuity
MsgPaymentAddGratuityToPayment,ЖThis check has a gratuity.  Does this payment include any or all of that gratuity?
MsgPaymentTotalGratuity,ЖTotal gratuity
MsgPaymentRemainingGratuity,ЖRemaining gratuity
MsgPaymentGratuityAmount,ЖGratuity amount
MsgPaymentCheckHasOutstandingGratuity,ЖThis check has outstanding gratuity.  Close anyway?
MsgPaymentSomeChecksHaveOutstandingGratuity,ЖSome of checks have outstanding gratuity.  Close anyway?
MsgFirstDataCreditCardPinPadTitle,ЖFirst Data PinPad
MsgFirstDataCreditCardPinPadBusy,ЖPinPad Busy. Try again later
MsgFirstDataCreditCardPinPadNotConnected,ЖPinPad not connected
MsgFirstDataCreditCardPinPadNotError,ЖError occured. Please retry
MsgFirstDataCreditCardIndicationInsertCard,ЖInsert Chip card
MsgFirstDataCreditCardIndicationInsertCardAgain,ЖChip card error. Insert card again
MsgFirstDataCreditCardIndicationSwipeCard,ЖSwipe card
MsgFirstDataCreditCardIndicationPinRequest,ЖPIN Request
MsgFirstDataCreditCardIndicationSelectApplication,ЖApplication select
MsgFirstDataCreditCardIndicationBalanceOnPinpad,ЖBalance on PinPad
MsgFirstDataCreditCardIndicationConnectingToServer,ЖConnecting to server
MsgFirstDataCreditCardIndicationRemoveCard,ЖRemove card
MsgFirstDataCreditCardBreakCardError,ЖCard error
MsgFirstDataCreditCardBreakCardNotAllowed,ЖCard not allowed
MsgFirstDataCreditCardBreakNoSupportedApplication,ЖNo supported application
MsgFirstDataCreditCardBreakTransactionBlocked,ЖTransaction blocked
MsgFirstDataCreditCardBreakBadReceiptNumber,ЖBad receipt number
MsgFirstDataCreditCardBreakUnknownError,ЖUnknown error
MsgFirstDataCreditCardBreakTimeout,ЖTimeout
MsgFirstDataCreditCardBreakFallback,ЖFallback
MsgFirstDataCreditCardBreakSettlementRequired,ЖSettlement is required
MsgFirstDataCreditCardBreakTransactionAlreadyExists,ЖTransaction with such number already exists
MsgFirstDataCreditCardBreakCardEncryptionError,ЖCard encryption error
MsgFirstDataCreditCardBreakCardCommonError,ЖCommon Error
MsgFirstDataCreditCardReceiptTitle,ЖCREDIT CARD RECEIPT
MsgFirstDataCreditCardReceiptTerminalId,ЖTerminal ID
MsgFirstDataCreditCardReceiptMerchantId,ЖMerchant ID
MsgFirstDataCreditCardReceiptBatchId,ЖBATCH
MsgFirstDataCreditCardReceiptInvoiceId,ЖINVOICE
MsgFirstDataCreditCardReceiptDate,ЖDATE
MsgFirstDataCreditCardReceiptTime,ЖTIME
MsgFirstDataCreditCardReceiptAmount,ЖAMOUNT
MsgFirstDataCreditCardReceiptPurchaseTitle,ЖSALE
MsgFirstDataCreditCardReceiptVoidTitle,ЖVOID
MsgFirstDataCreditCardReceiptRefundTitle,ЖREFUND
MsgFirstDataCreditCardReceiptCustomerSaveReceipt,ЖPlease save this receipt for your records
MsgFirstDataCreditCardReceiptPinConfirmed,ЖPin correct
MsgFirstDataCreditCardReceiptAuthorization,ЖAUTHORIZATION
MsgFirstDataCreditCardReceiptTransactionDeclined,ЖTransaction Declined
MsgFirstDataCreditCardSettlementRequired,ЖSettlement required. Go to Manager and select Batch Process to perform Settlement
MsgFirstDataCreditCardSettlementCompleted,ЖSettlement was completed successfully
MsgFirstDataCreditCardSettlementFailed,ЖSettlement completed with errors
MsgFirstDataCreditCardSettlementFailedRetry,ЖSettlement failed. Please retry to complete settlement
MsgFirstDataCreditCardSettlementPendingVoidOperations,ЖCould not perform settlement - there are pending void operations
MsgFirstDataCreditCardBatchOpearationTimeout,ЖOperation was not completed. Operation has timed out
MsgFirstDataCreditCardReportCompleted,ЖReport was generated successfully
MsgFirstDataCreditCardRefundsDisabled,ЖFirstData partial refunds are disabled
MsgFirstDataCreditCardBatchFormReport,ЖPress Report to form payments report
MsgFirstDataCreditCardBatchSettlePayments,ЖPress Settle Payments to form a report and settle all payments
MsgFirstDataCreditCardBatchIndicationDownloadingHostList,ЖDownloading host list
MsgFirstDataCreditCardBatchIndicationInitializingPinPad,ЖInitializing PinPad
MsgFirstDataCreditCardBatchIndicationSettlingPaymentsForHost,ЖSettling payments for host 
MsgFirstDataCreditCardBatchIndicationDownloadingReportForHost,ЖDownloading report for host 
MsgFirstDataCreditCardInitializationSuccess,ЖPin Pad initialization completed
MsgFirstDataCreditCardInitializationFailedWithError,ЖPin Pad initialization failed with error:
BtnFirstDataCreditCardSettlePayments,ЖSettle Payments
BtnFirstDataCreditCardSettlePaymenttNotSuccessfull,ЖPayments were not settled. Error
BtnFirstDataCreditCardReportPayments,ЖReport
MsgFirstDataCreditCardPartialPaymentsAreNotSupported,ЖPartial payments are not supported for this tender type
MsgPaymentEFTPOSPartialRefundIsNotAllowed,ЖPartial refund is not allowed. Please capture transaction at first.
MsgPaymentPartialRefundIsNotAllowed,ЖPartial refund is not allowed
MsgUncapturedPaymentsDescription,ЖThere are %lu uncaptured payments totally %@ on %@ at %@
MsgUncapturedPaymentsNotificationReport,ЖUncaptured payments report
PaymentCash,ЖCash
PaymentCredit,ЖCredit
PaymentEFTPOS,ЖEFTPOS
PaymentCreditManual,ЖManual Credit
PaymentUseCreditManual,ЖUse Manual Credit
PaymentCreditPlus,ЖCredit +
PaymentGiftCard,ЖGift Card
PaymentCheck,ЖCheck
PaymentLevelUp,ЖLevelUp
PaymentCustomerCredit,ЖCust. Credit
PaymentIndex,ЖIndex
PaymentDebit,ЖDebit
PaymentBadge,ЖBadge
PaymentMW,ЖMW
PaymentPaypal,ЖPayPal
PaymentEbtFoodstamp,ЖEBT Foodstamp
PaymentEbtCash,ЖEBT Cash
PaymentEbtVoucher,ЖEBT Voucher
PaymentPreAuthFinalize,ЖFinalize Payment
PaymentPreAuthCancel,ЖCancel PreAuth
PaymentZapper,ЖZapper
PaymentWoraPay,ЖWoraPay
PaymentStanfordCard,ЖStanford Card
PaymentStoreCredit,ЖStore Credit
CardTypeVisa,ЖVISA
CardTypeAmericanExpress,ЖAMEX
CardTypeDiscover,ЖDISCOVER
CardTypeMastercard,ЖMASTERCARD
CardTypeMaestro,ЖMAESTRO
CardTypeOther,ЖOTHER
CardTypeTrade,ЖTRADE
CardTypeHouseAccount,ЖHOUSE ACCOUNT
CardTypeGiftCard,ЖGIFT CARD
CardTypeDebit,ЖDEBIT
CardTypeEFTPOS,ЖEFTPOS
CardTypeDiners,ЖDINERS
CardTypeJCB,ЖJCB
CardTypeVisaShort,ЖVisa
CardTypeAmericanExpressShort,ЖAmex
CardTypeDiscoverShort,ЖDisc
CardTypeMastercardShort,ЖMC
CardTypeMaestroShort,ЖMaestro
CardTypeEFTPOSShort,ЖEFTPOS
CardTypeDinersShort,ЖDiners
CardTypeJCBShort,ЖJCB
MsgPaymentEnterCheckOrCustomOptionNumber,ЖEnter %@ Number
MsgPaymentScanningMICR,ЖWaiting for you to scan the check.
MsgPaymentScanMICRUserPrompt,ЖPlease insert your check and press OK.
MsgPaymentScanMICRError,ЖFailed to read check data.
MsgPaymentMICRParsingError,ЖFailed to parse check data.
MsgPaymentCheckNotVerified,ЖCheck cannot be verified.
MsgPaymentCheckVerified,ЖVERIFIED
MsgPaymentCheckProcessorUnAvailable,ЖNo available Check Processors to verify check. Please check your settings...
MsgPaymentCheckAccountVerified,ЖAccount Verified - The checking account was found to be an open and valid account.
MsgPaymentCheckAMEXVerified,ЖAMEX Cheque – The account was found to be an open and valid American Express account.
MsgPaymentCheckNPPVerified,"ЖNon-Participant Provider – This item was reported with acceptable, positive data found in recent or current transactions."
MsgPaymentCheckNPANotVerified,ЖNon-Reporting Account - The bank is not able to report on this account at this time. This could be the result of a bank acquisition. Please contact the bank for additional information.
MsgPaymentCheckSAVVerified,ЖSavings Account Verified - The savings account was found to be an open and valid account.
MsgPaymentCheckNODataNoVerified,ЖNo positive or negative information has been reported on the account. This could be a small or regional bank that does not report.
MsgPaymentCheckNODataUSAGovernmentNoVerified,ЖNo positive or negative information has been reported on the account. This routing number is only valid for US Government financial institutions. Please verify this check with its issuing authority.
MsgPaymentCheckVerificationNotPassed,ЖVerification Failed
MsgPaymentCheckValidationPrinting,ЖPrinting ... Please wait
MsgPaymentVerificationMessage,ЖVerification ... Please wait
MsgPaymentCheckEndorseDepositOnly,ЖFor Deposit Only
MsgPaymentCheckEndorseBankAccount,ЖBank Account
MsgPaymentCheckEndorseCheckNumber,ЖCheck Number
MsgPaymentCheckEndorseAmountPaid,ЖAmount Paid
MsgTillsEnterQuantityOfNotes,ЖDo you want enter quantity of the notes?
MsgTillsEnterQuantity,ЖEnter quantity
MsgQuantityOfNotes,ЖQuantity of Note
MsgTillAlertSubject,ЖTill Alert %@
MsgTillAlertMessage,"ЖThe Till on %@, cash drawer #%d has reached %@."
MsgTillAlertMessageToCashier,ЖThe cash in the till has exceeded the %@ limit.\n Please perform a safe drop now.
MsgTillsTillNameSingular,ЖTill
MsgTillsReassignTill,ЖDo you wish to reassign this till?
MsgTillsNoActiveTills,ЖNo active tills.
MsgSystemHasActiveTills,ЖSystem has active till owned by another employee.
MsgTillMaxAmountReached,ЖYou have reached the cash limit %@ for this till. All transactions are now suspended.  Please perform a safe drop for this till to continue taking transactions or close/hold this till and open a new till.
MsgTillMaxAmountReachedEmail,"ЖThe till total on %@, cash drawer #%d is currently at %@ and has reached or exceeded the till limit of %@."
MsgReceiptTypeGift,ЖGIFT RECEIPT
MsgReceiptGift2,ЖGIFT
BtnOrderHeaderSettings,ЖSettings
BtnOrderHeaderCustomers,ЖCustomers
BtnOrderHeaderOrders,ЖOrders
BtnSearch,ЖSearch
BtnWelcome,ЖWelcome
MsgOrderCommission,ЖCommission
MsgOrderEditCombo,ЖEdit Combo
MsgOrderAddCombo,ЖAdd Combo
MsgOrderEditQuantity,ЖQuantity
MsgOrderEditSpecialRequest,ЖSpecial Request
MsgOrderEditSelectComboItem,ЖSelect Combo Item
MsgOrderEditNoInformationAvailable,Ж[No Information Available]
BtnOrderEditSetQuantity,ЖSet Quantity
BtnOrderEdit,ЖEdit Modifiers
BtnOrderEditDiningOption,ЖDining Option
BtnOrderEditDiscount,ЖDiscount Item
BtnOrderEditAddTax,ЖAdd Tax
BtnOrderEditRemoveTax,ЖRemove Tax
BtnOrderEditChangeCourse,ЖCourse %d
BtnOrderEditChangeSeat,ЖChange Seat
BtnOrderEditShare,ЖShare
BtnOrderEditSplit,ЖSplit
BtnOrderEditFirstHalf,ЖFirst Half
BtnOrderEditSecondHalf,ЖSecond Half
BtnOrderEditPrintLabel,ЖPrint Label
BtnOrderEditServiceFee,ЖService Fee
BtnOrderOverridePrice,ЖOverride Price
BtnOrderTrackCateringDelivery,ЖDelivery Date
BtnOrderCopyItem,ЖCopy
BtnOrderInventoryLookup,ЖInv. Lookup
BtnOrderModOptionRegular,ЖRegular
BtnOrderModOptionNo,ЖNo
BtnOrderModOptionSide,ЖSide
BtnOrderModOptionOnly,ЖOnly
BtnOrderModOptionLite,ЖLite
MsgOrderPayBalanceDue,ЖBalance Due
MsgOrderPayAmountTendered,ЖAmount Tendered
MsgOrderPayChangeTitle,ЖChange
MsgOrderPayChangeDueTitle,ЖChange Due
MsgOrderPayHide,ЖHide
MsgOrderPayTip,ЖTip: %@
MsgOrderPayAutoGratuity,ЖAuto Gratuity: %@
MsgOrderPayChange,ЖChange %@
MsgOrderPayCashRounded,ЖCash Rounded: %@
BtnOrderPayAddPoints,ЖAdd %d Points
BtnOrderPayAddRewards,ЖAdd %d Rewards
BtnOrderCaptionAddRewards,ЖAdd Rewards
BtnOrderCaptionAddPoints,ЖAdd Points
BtnOrderPayRedeemPoints,ЖRedeem Points
BtnOrderPayRedeemGifts,ЖRedeem Gifts
BtnOrderPayRedeemRewards,ЖRedeem Rewards
BtnOrderPayCancelRedemption,ЖCancel Redemption
BtnOrderPayRedeemReward,ЖRedeem Reward
BtnOrderPayRewards,ЖRewards
BtnOrderPayHotspot,ЖHotspot
BtnOrderPayTipAmount,ЖTip Amount
BtnOrderPayEmail,ЖEmail
BtnOrderPayReprint,ЖReprint
BtnOrderPayRefundPayments,ЖRefund Payments
BtnOrderPayRewardPoints,ЖReward Points
BtnOrderPaySplitBill,ЖSplit Bill
BtnOrderPayGiftReceipt,ЖGift Receipt
BtnOrderPayRetryLoadGiftCard,ЖRetry Load Gift Card
BtnOrderPayFiscalInvoice,ЖFiscal Invoice
BtnOrderPayTaxID,ЖTax ID
BtnOrderPayDone,ЖDone
BtnOrderPayRetryLoadCredit,ЖRetry Load Credit
MsgModifiersTitle,ЖSelect Modifiers for %@
MsgModifiersSelectTitle,Ж%@ Modifiers
MsgModifiersSelectedTitle,Ж%d selected
MsgModifierSelectAtLeastNumberModifier,ЖSelect at least %d modifier(s) please
MsgModifierSelectModifierTitle,ЖPlease select:\n%@
MsgModifierSelectModifierNames,Жat least %d modifier(s) in %@\n
MsgModifierSelectAmount,ЖPlease choose a maximum of %d modifiers.
MsgModifierSelectMinAmount,ЖPlease select a minimum of %d modifiers.
MsgModifierSelectSubstitution,ЖPlease choose a substitution for %@.
