LocaleIdentifier,PL
MsgCateringTitleLoading,Dostawa cateringu - Wczytywanie...
MsgCateringTitle,Dostawa cateringu
MsgCateringTitleCustomerAndCallName,Nazwa klienta/nazwa zamówienia
MsgCateringTitleProduct,Towar
MsgCateringComplete,Zakończ
MsgCateringQuantity,Ilość
MsgCateringTitleCateringDate,Data dostawy
MsgCateringFilter,Pokaż rejestry dla
MsgCateringCompleteTitle,Zakończ transakcję
MsgCateringCompleteSelected,Zrealizuj wybrane
MsgCateringCompleteAll,Zrealizuj wszystkie
BtnCateringShowComplete,Pokaż zrealizowane
BtnCateringShowActive,Pokaż aktywne
BtnCateringComplete,Zakończ
BtnCateringCompleting,Zakańczanie
CmtCateringCompleted,Zakończono
BtnCateringApplyToOrder,Zastosuj do transakcji
BtnCateringApplyToItems,Zastosuj do pozycji
MsgCateringSerialNumberMissing,"Towar(y) w tej dostawie nie mają numeru seryjnego(ych). Proszę dodać numery seryjne, aby kontynuować."
MsgCateringSelectItems,Wybierz pozycję(e)
MsgFilterToday,Dziś
MsgFilterTomorrow,Jutro
MsgFilterFuture,Przyszłe
MsgFilterYesterday,Wczoraj
MsgFilterEverything,Wszystko
MsgFilterWeek,Tydzień
MsgFilterMonth,Miesiąc
MsgFilterAnyDate,Dowolna data
MsgFilterActive,Pokaż aktywne
MsgFilterComplete,Pokaż zakończone
MsgOrdersExpand,Rozwiń wszystko
MsgOrdersCollapse,Grupuj wg transakcji
MsgOrdersGroupByItem,Grupuj wg pozycji
MsgOrderPriceOverrideDaily,Ta operacja spowoduje zmianę ceny pozycji wyłącznie dla danego stanowiska POS. Zmiana musi zostać wprowadzona ręcznie.
MsgOrderPriceOverrideServer,Ta operacja spowoduje zmianę ceny pozycji na serwerze. Wprowadzenie nowej ceny wymaga odświeżenia innych stanowisk.
MsgOrderPriceOverrideServerSuccess,"Zmieniono cenę. Nowa cena: %@. Odśwież inne stanowiska POS, aby wprowadzić zmianę."
MsgOrderPriceOverrideServerFail,Zmiana ceny nie powiodła się.
MsgOrderOverridePrice,Zmiana ceny
BtnOrderOverridePricePerUnit,Zmiana ceny jednostkowej
BtnOrderOverridePriceTotal,Zmiana ceny całkowitej
MsgOrderPriceOverrideHelp,Pojedynczo – zmień cenę pozycji tylko w jednym przypadku.\n\nCały dzień – do północy stosuj zmienioną cenę pozycji dla tego stanowiska POS.\n\nKonsola zarządzania – zmień cenę pozycji na konsoli zarządzania. Wprowadzenie nowej ceny wymaga odświeżenia innych stanowisk POS.
BtnOrderSingleOverride,Zmień pojedynczo
BtnOrderDailyOverride,Zastąp na cały dzień
BtnOrderServerOverride,Zaktualizuj cenę
MsgOrderPriceOverrideSaving,Zapisywanie
LblPriceOverrideWeightedItem,Cena bieżąca: %@ (%@ za jednostkę)
LblPriceOverrideOrdinaryItem,Cena bieżąca
MsgPriceOverrideExceedLimitsError,Nie można zmienić ceny.\nCena musi być między %@ i %@.
MsgPriceOverrideExceedLimitsGreater,Nie można zmienić ceny.\nCena musi być większa niż %@.
MsgPaymentMakePaymentFirst,Najpierw dokonaj płatności.
MsgPaymentTippingNotSupported,W przypadku płatności kartą kredytową dodanie napiwku jest niemożliwe.
MsgPaymentTippingNotSupportedGiftCard,W przypadku płatności kartą podarunkową dodanie napiwku jest niemożliwe.
MsgPaymentTippingNotSupportedStoreCredit,Napiwki nie są obsługiwane dla płatności kredytu sklepowego.
MsgPaymentTippingNotSupportedComoBudget,Napiwki nie są obsługiwane dla płatności Como.
MsgPaymentTippingNotSupportedIndex,W przypadku płatności za pomocą systemu Index dodanie napiwku jest niemożliwe.
MsgPaymentTippingNotSupportedPayPal,W przypadku płatności za pomocą systemu PayPal dodanie napiwku jest niemożliwe.
MsgPaymentTippingNotSupportedForThisPaymentType,W przypadku tego typu płatności dodanie napiwku jest niemożliwe.
MsgPaymentEnterTipAmount,Wprowadź kwotę napiwku
MsgPaymentSelectTipAmount,Wybierz kwotę napiwku
MsgPaymentOtherTipAmount,Inna kwota napiwku
MsgPaymentTipSuccess,Napiwek dodany pomyślnie
MsgPaymentCardDataEmpty,Brak danych karty!
MsgPaymentProcessorDataEmpty,Brak danych dostawcy usług płatniczych!
MsgPaymentIncompleteCardData,Dane karty są niekompletne!
MsgPaymentInvalidCreditCardSettings,Wprowadź na serwerze prawidłowe ustawienia płatności kartą kredytową!
MsgPaymentCCProcessorsMoreThanOne,Wprowadź na konsoli zarządzania prawidłowe ustawienia płatności kartą kredytową!\nLiczba aktywnych dostawców usług płatniczych: %d
MsgPaymentChangeOverAmountNotAllowed,Zmiana %@ nie jest dozwolona.
MsgPaymentPayWithGiftCard,Zapłać kartą podarunkową
MsgPaymentPayWithCreditCard,Zapłać kartą paliwową
MsgPaymentSwipeCreditCard,Przeciągnij kartę kredytową
MsgPaymentPayWithStanfordCard,Zapłać za pomocą karty Stanford
MsgPaymentCardSwipeWaiting,Oczekiwanie na przeciągnięcie karty.
MsgPaymentCardSwipeBad,Nieprawidłowe przeciągnięcie karty!
MsgPaymentCardSwipeBadTryAgain,"Nieprawidłowe przeciągnięcie karty, spróbuj ponownie."
MsgPaymentCardSwipeBadTouchToTryAgain,Przeciągnięto nieprawidłowo. Dotknij Anuluj i spróbuj ponownie.
MsgPaymentCardSwipeErrorTryAgainOrAnother,Błąd karty czytania karty. \nProszę spróbować ponownie lub przesunąć kolejną kartę.
MsgPaymentCardSwipeRead,Odczytywanie danych przeciągniętej karty
MsgPaymentCardReaderWaiting,Oczekiwanie na przeciągnięcie karty
MsgPaymentCardReaderOrScannerWaiting,Oczekiwanie na przeciągnięcie lub zeskanowanie karty
MsgPaymentWaitingForPinPad,Oczekiwanie na PinPad
MsgPaymentCardReaderFail,Nie można połączyć się z terminalem płatniczym.
MsgPaymentCardReaderFailAddRewards,Jest możliwe dodanie %@ ręcznie.
MsgPaymentPleaseSwipeYourCard,Proszę przesuń kartę pasekiem magnetyczny w dół
MsgPaymentYourCardFailWaitCashier,Nie można przetworzyć danych karty.\nPoczekaj na kasjera.
MsgPaymentCardReaderFailWaitCashier,Nie można połączyć się z terminalem płatniczym karty.\nPoczekaj na kasjera.
MsgPaymentYourCardFailDU,Poczekaj na kasjera.
MsgPaymentCardSwipeBadPleaseTryAgain,Przeciągnięto nieprawidłowo.\nSpróbuj ponownie.
MsgPaymentCardNumber,Numer karty
MsgPaymentYearPlaceholder,"Rok, np. "
MsgPaymentMonth,"Miesiąc, np. 08"
MsgPaymentCVV,Kod CVV
MsgPaymentFirstName,Imię
MsgPaymentLastName,Nazwisko
MsgPaymentSelectMethod,Wybierz metodę płatności
MsgPaymentEnterCardNumber,Wprowadź numer karty
MsgPaymentAuthorizationTitle,Autoryzacja
MsgPaymentAuthorizationMessage,Autoryzowanie... Proszę czekać.
MsgPaymentFetchingGiftCardBalanceMessage,Pobieranie salda karty podarunkowej...Proszę czekać.
MsgPaymentFetchingRewardBalanceMessage,Pobieranie salda bonusów... Proszę czekać.
MsgPaymentAuthorizationVoidMessage,Unieważnienie transakcji ... Proszę czekać.
MsgPaymentAuthorizationTipMessage,Autoryzowanie napiwku ... Proszę czekać.
MsgPaymentCoinsNotDispensed,Nie wydano monet
MsgPaymentCoinDispenserConnectionFailed,Nie można połączyć z automatem wydającym resztę „%@”. Spróbować ponownie?
MsgPaymentCreditCardAuthorization,Autoryzacja karty kredytowej
MsgPaymentApproved,ZATWIERDZONO
MsgPaymentApproved2,Zatwierdzono
MsgPaymentApprovedOffline,ZATWIERDZONO OFFLINE\n\nPłatności offline: %d\nŁącznie: %@
MsgPaymentDeclined,ODRZUCONO
MsgPaymentFailed,Przetwarzanie nie powiodło się. Spróbuj ponownie później.
MsgPaymentOffline,OFFLINE
MsgPaymentOfflineOrder,Transakcja offline
MsgPaymentOfflineOrderAttachCustomer,Proszę dołączyć klienta do transakcji
MsgPaymentOfflineOrderInputAddress,Proszę wpisać adres klienta
MsgPaymentUnexpectedReplyFromProcessor,Nieoczekiwana odpowiedź procesora
MsgPaymentPaymentPartial,Niewystarczające środki na karcie. Transakcja zostanie opłacona częściowo.
MsgPaymentPaymentPartialTipsNotAllowed,Niewystarczające środki na karcie. Nie można dodać napiwku.
MsgPaymentPaymentPartialCredit,"Niewystarczające środki na karcie.\nOpłać pozostałe należności, korzystając z innego środka płatniczego."
MsgPaymentPaymentOK,Płatność powiodła się!
MsgPaymentTipsSuccesfullyAdded,Napiwki dodane pomyślnie!
MsgPaymentPaymentFail,Płatność nieudana
MsgPaymentTransactionFail,Transakcja nieudana
MsgPaymentProceedToTheCashier,"Przejdź do kasy, aby zapłacić."
MsgPaymentAmountIsSmallForRounding,"Płatność gotówką jest niemożliwa, jeśli po zaokrągleniu kwota do zapłaty miałaby wynieść 0,00.  Użyj innej metody płatności."
MsgPaymentAmountUnableRounding,"Płatność gotówką jest niemożliwa, jeśli po zaokrągleniu kwota do zapłaty miałaby wynieść 0,00.  Zapłać gotówką dokładną kwotę lub wybierz inny typ płatności."
MsgPaymentNoSignatureError,Niestety brak dostępnego podpisu dla tej płatności %@ dla tej transakcji.
MsgMongooseHttpServerError,Błąd serwera HTTP
MsgMonerisActionFailed,Operacja nie powiodła się
MsgPaymentDebitRefund,Zwrot debetu
MsgPaymentGiftCardUsed,Zapłacone kartą upominkową.\nBilans użyty - %@\nCałkowity bilans - %@
MsgPaymentDeletePaymentFromTable,Usuń płatność z transakcji stolika
BtnGoToBatchScreen,Przejdź do ekranu partii
MsgPaymentHasNotCapturedTransactions,Twoje transakcje na tym terminalu nie zostały zakończone i wysłane w ciągu 24 godzin\nProszę przejść do ekranu 'Przesłanie płatności kartą' w ustawieniach menedżera i zakończyć i wysłać wszystkie transakcje
MsgPaymentAutoCaptureJobFailed,Twoje automatyczne przeszłanie płatności nie zostało zakończone.\nPROSZĘ ZAKOŃCZYĆ I WYSŁAĆ WSZYSTKIE TRANSAKCJE
MsgPaymentHasNotProcessedOfflineTransactions,Masz %d płatności w trybie offline nie przetworzone przez ponad 24 godzin\n\nProszę wymusić przetwarzanie\n(Ekran płatności Offline)
MsgPaymentHasNotProcessedDeclinedPayments,Masz %d odrzuconych płatności  nie przetworzonych przez ponad 24 godzin.\n\nSpróbuj ponownie lub usuń zapisy\n(Ekran odrzucenia płatności)
MsgPaymentHasNotProcessedRetryAll,Przetwórz wszystko ponownie
MsgPaymentRefundFailed,Zwrot nieudany
MsgPaymentErrorCardNumberInvalidDigitCount,Numer karty musi składać się z 12 do 16 znaków.
MsgPaymentErrorCardNumberInvalid,Nieprawidłowy numer karty.
MsgPaymentErrorCardExpired,Karta straciła ważność.
MsgPaymentErrorMissingFields,Uzupełnij brakujące pola:
MsgPaymentThisTypeOfRefundNotSupportedContactZapperSupport,Ten rodzaj zwrotu nie jest obecnie obsługiwany. Proszę skontaktować się z obsługą Zapper
MsgPaymentEnterGratuity,Wprowadź kwotę napiwku
MsgPaymentAddGratuityToPayment,Ten czek ma napiwek. Czy napiwek ma zostać pokryty (w całości lub częściowo) podczas tej płatności?
MsgPaymentTotalGratuity,Łączna kwota napiwku
MsgPaymentRemainingGratuity,Pozostała kwota napiwku
MsgPaymentGratuityAmount,Kwota napiwku
MsgPaymentCheckHasOutstandingGratuity,Ten rachunek ma napiwek. Zamknąć mimo wszystko?
MsgPaymentSomeChecksHaveOutstandingGratuity,Nie opłacono napiwków dla niektórych rachunków.  Zamknąć mimo wszystko?
MsgFirstDataCreditCardBatchFormReport,Naciśnij Raport w celu utworzenia raportu płatności
MsgFirstDataCreditCardBatchSettlePayments,Naciśnij Rozliczenie Płatności w celu utworzenia raportu płatności i rozliczenia płatności
BtnFirstDataCreditCardSettlePayments,Ureguluj płatności
BtnFirstDataCreditCardReportPayments,Raport
MsgPaymentEFTPOSPartialRefundIsNotAllowed,Częściowy zwrot nie jest dozwolony. Proszę najpierw autoryzuj transakcję.
MsgPaymentPartialRefundIsNotAllowed,Zwrot płatności PayPal nieudany
MsgUncapturedPaymentsDescription,Istnieją %lu niewychwycone płatności zupełnie %@ na %@ dla %@
MsgUncapturedPaymentsNotificationReport,Naciśnij Raport w celu utworzenia raportu płatności
PaymentCash,Gotówka
PaymentCredit,Kredyt
PaymentCreditManual,Manualny kredyt
PaymentUseCreditManual,Użyj kredytu manualnego
PaymentCreditPlus,Karta płatnicza
PaymentGiftCard,Karta podarunkowa
PaymentCheck,czek
PaymentCustomerCredit,Kredyt klienta
PaymentIndex,Index
PaymentDebit,Debet
PaymentBadge,Token płatniczy
PaymentPreAuthFinalize,Sfinalizuj płatność
PaymentPreAuthCancel,Anuluj wstępną autoryzację
PaymentStanfordCard,Karta Stanford
PaymentStoreCredit,Kredyt sklepowy
PaymentVouchers,Kupony
CardTypeOther,INNE
CardTypeTrade,BRANŻA
CardTypeHouseAccount,KONTO INDYWIDUALNE
CardTypeGiftCard,KARTA PODARUNKOWA
CardTypeDebit,DEBET
MsgPaymentEnterCheckOrCustomOptionNumber,Wprowadź %@ numer
MsgPaymentCheckEndorseAmountPaid,Opłacona kwota
MsgPaymentChargeBackToCard,"WPROWADŹ kwotę, jaka została zwrócona na kartę"
MsgPaymentChargeBackCash,"WPROWADŹ kwotę, jaka została zwrócona na kartę"
MsgTillsEnterQuantityOfNotes,Czy chcesz wprowadzić ilość banknotów?
MsgTillsEnterQuantity,Wprowadź ilość
MsgQuantityOfNotes,Ilość banknotów
MsgTillAlertSubject,Ostrzeżenia dot. kasy %@
MsgTillAlertMessage,"Kasa %@, szuflada nr %d – osiągnięto poziom %@."
MsgTillAlertMessageToCashier,Środki pieniężne w kasie przekroczyły limit %@.\n Proszę teraz wykonać depozyt sejfowy.
MsgTillsTillNameSingular,Kasa
MsgTillsReassignTill,Czy chcesz przypisać kasę?
MsgTillsNoActiveTills,Brak aktywnych kas.
MsgSystemHasActiveTills,System posiada aktywną kasę należącą do innego pracownika.
MsgTillMaxAmountReached,"Osiągnięto limit pieniężny %@ dla tej kasy. Wszystkie transakcje są obecnie zawieszone.  Proszę przeprowadzić depozyt sejfu, aby kontynuować przyjmowanie transakcji lub ją zamknąć/wstrzymać i otworzyć nową kasę."
MsgTillMaxAmountReachedEmail,"Suma w kasie dnia %@, szufla kasowa #%d jest aktualnie równa %@ i osiągnęła lub przekroczyła próg %@."
MsgReceiptTypeGift,PARAGON CERT. PODARUNKOWEGO
MsgReceiptGift2,CERT. PODARUNKOWY
BtnOrderHeaderSettings,Ustawienia
BtnOrderHeaderCustomers,Klienci
BtnOrderHeaderOrders,Transakcje
BtnSearch,Szukaj
BtnWelcome,Witamy
MsgOrderCommission,Prowizja
MsgOrderEditCombo,Edytuj zestaw
MsgOrderAddCombo,Dodaj zestaw
MsgOrderEditQuantity,Ilość
MsgOrderEditSpecialRequest,Zlecenia specjalne
MsgOrderEditSelectComboItem,Wybierz pozycję zestawu
MsgOrderEditNoInformationAvailable,[Brak informacji]
BtnOrderEditSetQuantity,Ustaw ilość
BtnOrderEdit,Edytuj modyfikatory
BtnOrderEditDiningOption,Posiłek
BtnOrderEditDiscount,Pozycja objęta rabatem
BtnOrderEditAddTax,Dodaj podatek
BtnOrderEditRemoveTax,Usuń podatek
BtnOrderEditChangeCourse,Danie %d
BtnOrderEditChangeSeat,Zmień miejsce
BtnOrderEditShare,Udostępnij
BtnOrderEditSplit,Rozdziel
BtnOrderEditFirstHalf,Pierwsza połowa
BtnOrderEditSecondHalf,Druga połowa
BtnOrderEditPrintLabel,Drukuj etykietę
BtnOrderEditServiceFee,Opłata serwisowa
BtnOrderOverridePrice,Zmiana ceny
BtnOrderTrackCateringDelivery,Data dostawy
BtnOrderCopyItem,Kopia
BtnOrderInventoryLookup,Wyszukiwanie zapasów
BtnOrderModOptionRegular,Regularne
BtnOrderModOptionNo,Nie
BtnOrderModOptionSide,Osobno
BtnOrderModOptionOnly,Tylko
BtnOrderModOptionLite,Lekki
MsgOrderPayBalanceDue,Należność
MsgOrderPayAmountTendered,Kwota
MsgOrderPayChangeTitle,Reszta
MsgOrderPayChangeDueTitle,Należna reszta
MsgOrderPayHide,Ukryj
MsgOrderPayTip,Napiwek: %@
MsgOrderPayAutoGratuity,Autom. napiwek: %@
MsgOrderPayChange,Reszta %@
MsgOrderPayCashRounded,Zaokrąglona kwota: %@
BtnOrderPayAddPoints,Dodaj punkty: %d
BtnOrderPayAddRewards,Dodaj  bonusy: %d
BtnOrderCaptionAddRewards,Dodaj  bonusy
BtnOrderCaptionAddPoints,Dodaj punkty
BtnOrderPayRedeemPoints,Wykorzystaj punkty
BtnOrderPayRedeemGifts,Wykup podarunki
BtnOrderPayRedeemRewards,Wykorzystaj bonusy
BtnOrderPayCancelRedemption,Anuluj wykupienie
BtnOrderPayRedeemReward,Wykorzystaj bonus
BtnOrderPayRewards,Bonusy
BtnOrderPayHotspot,Hotspot
BtnOrderPayTipAmount,Kwota napiwku
BtnOrderPayEmail,Email
BtnOrderPayReprint,Drukuj ponownie
BtnOrderPayRefundPayments,Zwróć płatności
BtnOrderPayRewardPoints,Przyznaj punkty
BtnOrderPaySplitBill,Rozdziel rachunek
BtnOrderPayGiftReceipt,Rachunek za cert. upominkowy
BtnOrderPayRetryLoadGiftCard,Ponowić próbę ładowania karty podarunkowej
BtnOrderPayFiscalInvoice,Faktura fiskalna
BtnOrderPayTaxID,ID podatku
BtnOrderChargeBack,Zbiornik docelowy
BtnOrderPayDone,Gotowe
BtnOrderPayRetryLoadCredit,Ponów próbę ładowania kredytu
MsgModifiersTitle,Wybierz modyfikatory dla: %@
MsgModifiersSelectTitle,Modyfikatory %@
MsgModifiersSelectedTitle,%d zaznaczone
MsgModifierSelectAtLeastNumberModifier,Minimalna liczba modyfikatorów: %d
MsgModifierSelectModifierTitle,Wybierz:\n%@
MsgModifierSelectModifierNames,co najmniej %d modyfikatorów (%@)\n
MsgModifierSelectAmount,Maksymalna liczba modyfikatorów: %d.
MsgModifierSelectMinAmount,Proszę wybrać co najmniej %d modyfikatorów.
MsgModifierSelectSubstitution,Wybierz zamiennik dla: %@.
BtnModifiersFirstHalf,Pierwsza połowa
BtnModifiersSecondHalf,Druga połowa
MsgModifierNA,Nie dotyczy
MsgQuickModifiers,Szybkie modyfikatory
MsgAddOnsPrice,Dodatki
MsgSpecialRequestSelect,Wybierz żądanie specjalne
MsgSpecialRequestEnter,Wprowadź żądanie specjalne
MsgSpecialRequestTooLong,Specjalne żądanie nie może być dłuższe niż 280 znaków
MsgEnterVoidReason,Wprowadź przyczynę unieważnienia
MsgEnterReturnReason,Wprowadź przyczynę zwrotu
MsgVoidReason,Przyczyna unieważnienia
MsgReturnReason,Przyczyna zwrotu
MsgOther,Inne
MsgReason,Przyczyna:
MsgVoidEnterReason,Wprowadź przyczynę
MsgVoidSelectProductsToVoid,Wybierz towar do unieważnienia
MsgVoidSelectProductsToComp,Wybierz towary do gratisu
MsgVoidSelectProductsTo,Wybierz towary
MsgVoidCheckNumber,Nr czeku
MsgVoidGiftCardNumberForAmount,Czy pobrać z karty nr %@ kwotę %@?
MsgVoidGiftCardAndDecrease,Wybierz karty podarunkowe do pobrania
BtnDecrease,Zmniejsz
OrderNotEditable,"Transakcja jest otwarta na innym stanowisku.  Zamknij je, aby wprowadzać modyfikacje z poziomu tego stanowiska."
OrderHasChanges,Wprowadzono zmiany w transakcji.  Zapisz przed zamknięciem.
PaymentsAreDisabled,Płatności są niedostępne.
Orders,Transakcje
Order,Transakcja
Invoice,Faktura
InvoiceCancel,Anuluj fakturę
OrderCancel,Anuluj transakcję
MsgSplitItemTitle,Wybierz czeki
MsgSplitItemAddBill,Dodaj rachunek
MsgSplitItemNotAllowedPaid,Pozycja jest przypisana do opłaconego rachunku. Nie można rozdzielić pozycji.
MsgChangeSeatNotAllowedPaid,Pozycja jest przypisana do opłaconego rachunku. Nie można zmienić miejsca.
ActionExchangeSelectedItem,Wymień wybrane pozycje
ActionExchangeSeveralItems,Wymień kilka pozycji
ActionVoidSelectedItem,Unieważnij wybraną pozycje
ActionVoidSeveralItems,Unieważnij kilka pozycji
ActionReturnSelectedItem,Zwróć wybraną pozycję
ActionReturnSeveralItems,Zwróć kilka pozycji
ActionVoidReturnSeveralItems,Unieważnij/zwróć kilka pozycji
ActionMoveSelectedItem,Przenieś wybraną pozycję
ActionMoveSeveralItems,Przenieś kilka pozycji
ActionChangeSeat,Zmień miejsce
ActionAddQuantity,Dodaj ilość
ActionDiscountItem,Rabat pozycji
ActionSplitItem,Rozdziel pozycję
ActionEditModifiers,Edytuj modyfikatory
ActionChangeDining,Zmień posiłek
ActionChangeCourse,Zmień danie
ActionEditSpecialRequest,Zlecenia specjalne
ActionFireNextCourse,Aktywuj danie %d
ActionCopyItem,Kopiuj wybraną pozycję
ActionCopyItems,Kopiuj kilka pozycji
ActionLayawayItem,Zarezerwuj pozycję
ActionLayawayItems,Zarezerwuj pozycje
ActionReprintItem,Drukuj pozycję ponownie
ActionReprintItems,Drukuj pozycje ponownie
ActionRemakeItem,Usuń pozycje
ActionRemakeItems,Usuń pozycje
ActionManageCommission,Przydziel prowizję
ActionReprintToKitchen,Wyślij do kuchni
ActionServiceFee,Opłata serwisowa
ActionCompSelectedItem,Wybrana pozycja: %@ 
ActionCompSeveralItems,Kilka pozycji: %@
ActionReprintOrderItems,Drukuj pozycje ponownie
ActionSendSelectedItem,Wyślij wybraną pozycję
ActionSendSeveralItems,Wyślij kilka pozycji
ActionSendAllItems,Wyślij wszystkie pozycje
ActionSendCourse,Wyślij danie
ActionDiscountSelectedItem,Rabat wybranej pozycji
ActionDiscountSeveralItems,Rabat kilku pozycji
ActionSelectItemsTo,Wybierz pozycję(e) do %@
ActionOverridePrice,Zmiana ceny
ActionCopy,Kopiuj pozycje
ActionVoid,Unieważnij pozycję(e)
ActionLayaway,Rezerwacja towaru
ActionMove,Przenieś pozycje
ActionExchange,Wymień pozycje
ActionReturn,Zwróć pozycje
ActionVoidReturn,Unieważnij/zwróć pozycję(e)
ActionReturnToPump,Zwrot paliwa do pompy
ActionComp,Pozycje dodatkowe
ActionComps,Bezpłatna pozycja(e)
ActionsForItem,Operacje dla [%@]:
AdditionalActions,Dodatkowe operacje
ActionManageShipping,Zarządzaj wysyłką
MsgComp,Pozycje dodatkowe
MsgActionScreenItemSentAt,Pozycja wysłana na
GiftCardCreate,Utwórz certyfikat
GiftCardManage,Zarządzaj kartą podarunkową
GiftCardVoid,Anuluj kartę podarunkową
StoreCreditVoid,Unieważnij kredyt sklepowy
RewardCardCreate,Utwórz kartę bonusową
RewardCardManage,Zarządzaj kartą bonusową
SplitEven,Rozdziel po równo
SplitOdd,Rozdziel ręcznie
SplitSelect,Rozdziel wg pozycji
SplitSeat,Rozdziel wg numeru miejsca
PosStation,Stanowisko
PosStations,Stanowiska
PosStationMain,Główne
SetAsMain,Ustaw jako główne
MsgWaitingForZapperPayment,Oczekiwanie na płatność...
MsgRegistrationInProcess,Rejestrowanie...
MsgRegistrationFailed,Rejestracja nieudana
MsgRegistrationFailedWithReason,"Rejestracja nieudana\nPrzyczyna - \""%@\"""
MsgRegistrationResync,Zsynchronizować aplikację ponownie?
MsgRegistrationTokenRetrieveFail,Autoryzacja nieudana. Spróbować ponownie?
MsgRegistrationTokenRetrieveFailWithReason,"Autoryzacja nieudane\nPrzyczyna - \""%@\""\nSpróbować ponownie?"
MsgRegistrationConfirmSettings,Adres URL: %@\n\nLokal: %@\n\nCzy te dane są prawidłowe?
MsgRegistrationTokenAuthenticationFailed,Autoryzacja nieudana
MsgRefreshInProcess,Pobieranie konfiguracji...
MsgRefreshDownloadingItemsWithOffsetAndPercents,%@: %d pozycje (%d%%)
MsgProductGroups,Grupy towarów
MsgCustomerGroups,Grupy klientów
MsgShipRates,Stawki frachtowe
MsgModifierClasses,Klasy modyfikatorów
MsgModifierDiscounts,Rabaty modyfikatorów
MsgProductCategories,Kategorie towarów
MsgUpsellCombos,Upsell zestawy
MsgAttributes,Atrybuty
MsgAttributeValues,Wartość atrybutu
MsgIngredients,Składniki
MsgCallNames,Nazwy zamówień
MsgTaxes,Podatki
MsgTaxTables,Tabele podatków
MsgTableTags,Znaczniki stolika
MsgProductClasses,Klasy towarów
MsgCustomMenus,Menu niestandardowe
MsgProductEntry,Wejście PPL
MsgDisabledInTrainingMode,Ta funkcja jest niedostępna w trybie szkolenia.
MsgDisabledInTrainingModeAppleStore,Funkcja jest wyłączona.
MsgTrainingModePrintKitchenTickets,Drukuj kuchenne bilety w trybie szkolenia
MsgIdentityProtectionTitle,Zabezpieczenie przed kradzieżą tożsamości
MsgIdentityProtectionVerify,Zweryfikuj
MsgDateErrors,Nieprawidłowe daty
MsgDateRangeErrors,Okres raportu jest dłuższy niż tydzień.
MsgOrdersReportWarningNoData,"Podsumowanie sprzedaży, może być niekompletne, ponieważ niektóre transakcje mogą być otwarte lub nie są zsynchronizowane z serwerem. Uruchomić mimo to?"
MsgOrdersReportWarningUnsyncedOrders,"Raport podsumowania sprzedaży może być niekompletny, ponieważ niektóre transakcje nie zostały zsynchronizowane z serwerem. Uruchomić mimo to?"
MsgOrdersReportWarningOpenOrders,Posiadasz otwarte transakcje:
MsgOrdersReportManagerWarningOpenUnsyncedOrders,"Raport podsumowania sprzedaży może być niekompletny, ponieważ niektóre transakcje są otwarte i nie zostały zsynchronizowane z serwerem. Uruchomić mimo to?"
MsgOrdersReportManagerWarningOpenOrders,"Raport podsumowania sprzedaży może być niekompletny, ponieważ niektóre transakcje są otwarte. Uruchomić mimo to?"
MsgOrdersReportManagerWarningUnsyncedOrders,"Raport podsumowania sprzedaży może być niekompletny, ponieważ niektóre transakcje nie zostały zsynchronizowane z serwerem. Uruchomić mimo to?"
MsgOrdersReportManagerWarningNoData,"Raport podsumowania sprzedaży może być niekompletny, ponieważ pewne transakcje mogą być otwarte lub nie są zsynchronizowane z serwerem. Uruchomić mimo to?"
MsgClockInToAccessError,Pracownik nie rozpoczął zmiany lub proces rozpoczęcia zmiany nie może być potwierdzony.
MsgClockInToAccessClockIn,Rozpocznij zmianę
MsgClockInToAccessManagerOverride,Wykonaj jako menedżer
MsgClockInToAccessOverride,Zastąp
MsgClockInToAccessCancel,Anuluj
MsgClockInToAccessLoginVerification,Weryfikacja logowania...
MsgClockInDisableClockInCheck,Wyłącz znacznik rozpoczęcia zmiany
MsgClockInForHours,Liczba godzin
MsgBarTabCardReaderLostConnection,Nie udało się połączyć z czytnikiem kart magnetycznych.\nSpróbuj ponownie?
MsgDataStorageDbBackup,"Kopia zapasowa bazy danych, wersja: %@"
MsgDataStorageDbPosStations,Baza danych stanowiska POS: %@
MsgDataStoreUnableToFindPos2v,Nie znaleziono pos2v.sqlite.
MsgDataStorageConfigureEmail,"Aby korzystać z funkcji, skonfiguruj adres e-mail."
MsgDataStorageFailedToCreateWritableDb,Nie udało się utworzyć pliku bazy danych z możliwością zapisu z komunikatu '%@'.
MsgDataStorageDataFetchFailed,Pobieranie danych nieudane
MsgDataStorageDatabaseTooBigToUpload,"Rozmiar pliku przekracza limit załączników e-mail.  Dlatego też, baza danych jest bezpośrednio przesłana do serwera."
MsgDataStorageReportsSales,SPRZEDAŻ
MsgDataStorageReportsTotalOrders,Łączna liczba transakcji
MsgDataStorageReportsAverageSale,Średnie obroty
MsgDataStorageReportsTaxableSales,Sprzedaż opodatkowana
MsgDataStorageReportsNonTaxableSales,Sprzedaż nie opodatkowana
MsgDataStorageReportsCRVCharges,Opłaty recyklingowe
MsgDataStorageReportsTotalProductSales,ŁĄCZNA WARTOŚĆ SPRZEDAŻY TOWARÓW
MsgDataStorageReportsTotalSalesLower,Łączna wartość sprzedaży
MsgDataStorageReportsItemDiscounts,Rabaty pozycji
MsgDataStorageReportsOrderDiscounts,Rabaty transakcji
MsgDataStorageReportsCoupons,Kupony
