LocaleIdentifier,ET
MsgOrdersReportManagerWarningOpenOrders,Teil on avatud tellimusi
MsgOrdersReportManagerWarningUnsyncedOrders,Mõni tellimus pole serveriga sünkroonitud
MsgOrdersReportManagerWarningNoData,Mitu tellimust võib olla avatud või pole serveriga sünkroonitud
MsgClockInToAccessError,Töötaja pole saabunud või ei saa saabumist kinnitada.
MsgClockInToAccessClockIn,Saabumine
MsgClockInToAccessManagerOverride,Haldaja alistamine
MsgClockInToAccessOverride,Alista
MsgClockInToAccessCancel,Tühista
MsgClockInToAccessLoginVerification,Kontrollin sisselogimist...
MsgClockInDisableClockInCheck,Keela saabumise kontroll
MsgClockInForHours,Tundide arv
MsgBarTabCardReaderLostConnection,Ei saanud ühendust maksekaardi lugejaga.\nKas püüda taasühendada?
MsgDataStorageDbBackup,Andmebaasi varunduse versioon: %@
MsgDataStorageDbPosStations,Andmebaas on kassajaamast %@
MsgDataStoreUnableToFindPos2v,Üksust pos2v.sqlite ei leita
MsgDataStorageConfigureEmail,Konfigureerige selle funktsiooni kasutamiseks e-post.
MsgDataStorageFailedToCreateWritableDb,Kirjutatava andmebaasi loomine nurjus teatega „%@”.
MsgDataStorageDataFetchFailed,Andmete toomine nurjus
MsgDataStorageDatabaseTooBigToUpload,Faii suurus ületab meili manustele seatud piirmäära. Seetõttu laaditi andmebaas üles otse serverisse.
MsgDataStorageReportsSales,MÜÜK
MsgDataStorageReportsTotalOrders,Tellimusi kokku
MsgDataStorageReportsAverageSale,Keskmine müük
MsgDataStorageReportsTaxableSales,Maksustatav müük
MsgDataStorageReportsNonTaxableSales,Mittemaksustatav müük
MsgDataStorageReportsCRVCharges,CRV tasud
MsgDataStorageReportsTotalProductSales,TOOTEMÜÜK KOKKU
MsgDataStorageReportsTotalSalesLower,Kogumüük
MsgDataStorageReportsItemDiscounts,Üksuste allahindlused
MsgDataStorageReportsOrderDiscounts,Tellimuste allahindlused
MsgDataStorageReportsCoupons,Kupongid
MsgDataStorageReportsTotalDiscounts,Kokku allahindlusi
MsgDataStorageReportsNetSales,Netomüük
MsgDataStorageReportsSalesTax,Müügimaks
MsgDataStorageReportsSurcharges,Lisatasud
MsgDataStorageReportsRoundingDeltas,Ümardamised
MsgDataStorageReportsServiceCharges,Teenustasud
MsgDataStorageReportsTaxRebate,Maksusoodustus
MsgDataStorageReportsTotalTaxes,MAKSUD KOKKU
MsgDataStorageReportsDepositTotal,Deposiidid
MsgDataStorageReportsApplDepTotal,Rak.dep.
MsgDataStorageReportsAppliedDepositsTotal,Kohaldatud hoiused
MsgDataStorageReportsTotalTax,Kokku maks
MsgDataStorageReportsNetToAccountFor,ARVESTATAV NETO
MsgDataStorageReportsNetToAccountForLower,Arvestatav neto
MsgDataStorageReportsVoids,ANNULLATSIOONID
MsgDataStorageReportsVoidedItems,Annulleeritud üksused
MsgDataStorageReportsVoidedTotal,Annulleeritud kokku
MsgDataStorageReportsReturns,TAGASTUSED
MsgDataStorageReportsReturnedItems,Tagastatud üksused
MsgDataStorageReportsReturnedTotal,Tagastatud kokku
MsgDataStorageReportsRefunds,TAGASIMAKSED
MsgDataStorageReportsRefundsNumber,Tagasimaksete arv
MsgDataStorageReportsRefundsTotal,Tagasimakseid kokku
MsgDataStorageReportsComps,KOONDID
MsgDataStorageReportsCompsItems,Koondi artiklid
MsgDataStorageReportsCompsTotal,Koondi kogusumma
MsgDataStorageReportsExchanges,VALUUTATEHINGUD
MsgDataStorageReportsExchangedTotal,Valuutavahetuse kogusumma
MsgDataStorageReportsCashAdjustments,SULARAHA KOHANDAMINE
MsgDataStorageReportsPayouts,Väljamaksed
MsgDataStorageReportsPayins,Sissemaksed
MsgDataStorageReportsPayoutsTotal,Väljamakse kogusumma
MsgDataStorageReportsPayments,MAKSED
MsgDataStorageReportsPaymentsLower,Maksed
MsgDataStorageReportsCashPaymentsReceived,Vastuvõetud sularahamaksed
MsgDataStorageReportsLiabilities,Kohustused kokku
MsgDataStorageReportsCash,Sularaha
MsgDataStorageReportsTips,JOOTRAHAD
MsgDataStorageReportsTipsLowercase,Jootrahad
MsgDataStorageReportsCashTips,Sularahas jootrahad
MsgDataStorageReportsCreditTips,Krediidiga jootrahad
MsgDataStorageReportsLevelUpTips,Tasemetõusu jootraja
MsgDataStorageReportsIndexTips,Indexi jootrahad
MsgDataStorageReportsGiftTips,Kingituse jootrahad
MsgDataStorageReportsDebitTips,Deebeti jootrahad
MsgDataStorageReportsHouseAccountTips,Majakonto jootrahad
MsgDataStorageReportsTradeTips,Trade‘i jootrahad
MsgDataStorageReportsWoraPayTips,WoraPay jootraha
MsgDataStorageReportsZapperTips,Muud jootrahad
MsgDataStorageReportsStoreCreditTips,Krediidiga jootrahad
MsgDataStorageReportsCustomPaymentTips,Kohandatud makse jootraha
MsgDataStorageReportsOtherTips,Muud jootrahad
MsgDataStorageReportsTotalTips,JOOTRAHAD KOKKU
MsgDataStorageReportsTotal,KOKKU
MsgDataStorageReportsEmployee,TÖÖTAJA
MsgDataStorageReportsEmployeeHas1OpenOrderOnServer,TÖÖTAJAL ON SERVERIS 1 AVATUD TELLIMUS
MsgDataStorageReportsEmployeeHasManyOpenOrderOnServer,TÖÖTAJAL ON SERVERIS %@ AVATUD TELLIMUST
MsgDataStorageReports1OpenOrderOnServer,SERVERIS ON 1 AVATUD TELLIMUS
MsgDataStorageReportsManyOpenOrderOnServer,SERVERIS ON %@ AVATUD TELLIMUST
MsgDataStorageReportsType,Tüüp
MsgDataStorageReportsPayment,Makse
MsgDataStorageReportsTip,Jootraha
MsgDataStorageReportsTypePaymentForEpson,Tüüp               #               Makse\n
MsgDataStorageReportsTotal0ForEpson,KOKKU               0               0.00\n
MsgDataStorageReportsTypePaymentTipTotalForEpson,Tüüp       #   Makse       Jootraha     Kokku\n
MsgDataStorageReportsTotal0000ForEpson,KOKKU      0      0.00      0.00      0.00\n
MsgDataStorageReportsTypePaymentForRaster,Tüüp               #               Makse\n
MsgDataStorageReportsTotal0ForRaster,KOKKU               0               0.00\n
MsgDataStorageReportsTypePaymentTipTotalForRaster,Tüüp       #   Makse       Jootraha     Kokku\n
MsgDataStorageReportsTotal0000ForRaster,KOKKU      0      0.00      0.00      0.00\n
MsgDataStorageReportsCashDueEmployee,TÖÖTAJALE TASUMATA SULARAHA
MsgDataStorageReportsCashDueHouse,MAJALE TASUMATA SULARAHA
MsgDataStorageReportsOrder_,Tellimus
MsgDataStorageReportsAmount,Summa
MsgDataStorageReportsTransactions,TEHINGUD
MsgDataStorageReportsDeclaredTips,Deklareeritud jootrahad
MsgDataStorageReportsOpenOrdersMany,Avatud tellimused
MsgDataStorageReportsPrintDate,Printimise kuupäev
MsgDataStorageReportsProductData,TOOTEANDMED
MsgDataStorageReportsProductByClassData,TOOTEANDMED
MsgDataStorageReportsProductByCategoryData,TOOTEANDMED
MsgDataStorageReportsProductBySubcategoryData,TOOTEANDMED
MsgDataStorageReportsClass,Klass
MsgDataStorageReportsSalesLowercase,Müük
MsgDataStorageReportsVisa,Visa
MsgDataStorageReportsMasterCard,MasterCard
MsgDataStorageReportsDiscover,Discover
MsgDataStorageReportsAmericanExpress,American Express
MsgDataStorageReportsGiftCards,Kinkekaardid
MsgDataStorageReportsOther,Muu
MsgDataStorageReportsDebit,Deebet
MsgDataStorageReportsTotalPayments,Makseid kokku
MsgDataStorageReportsTotalTipsLowercase,Jootrahad kokku
MsgDataStorageReportsCashDuesToHouse,Majale tasumata sularaha
MsgDataStorageReportsAllEmployees,Kõik töötajad
MsgDataStorageReportsEmployeeLowercase,Töötaja
MsgDataStorageReportsGuests,KÜLASTAJAD
MsgDataStorageReportsGuestsNumber,Külastajaid kokku
MsgDataStorageReportsGuestsAverageSale,Keskmine müük külastaja kohta
MsgDataStorageReportsOtherPayments,Muud maksed
MsgDataStorageReportsHourlySalesHeader,TUNNIMÜÜK
MsgDataStorageReportsHourlySalesTime,KELLAAEG
MsgDataStorageReportsHourlySalesSales,MÜÜK
MsgDataStorageReportsHourlySalesTrans,TH NR
MsgDataStorageReportsHourlySalesAvgTrans,KESKM. TH
MsgDataStorageReportsHourlySalesSalesPercent,%SALES
MsgDataStorageReportsHourlySalesTotals,Kokku:
MsgDataStorageReportsLaborHeader,TÖÖTAJAD
MsgDataStorageReportsLaborTime,KELLAAEG
MsgDataStorageReportsLaborSales,MÜÜK
MsgDataStorageReportsLaborManHrs,Inimtunnid
MsgDataStorageReportsLaborSPMH,SPMH
MsgDataStorageReportsLaborWages,PALK
MsgDataStorageReportsLaborPercentLabor,%LABR
MsgDataStorageReportsLaborTotals,Kokku:
MsgDataStorageReportsVoucherDetailsName,Nimi
MsgDataStorageReportsVoucherDetailsTotal,KOKKU
MsgDataStorageReportsTender,Makseviis
MsgDataStorageReportsAdj,Kohand.
MsgDataStorageReportsAmex,Amex
MsgDataStorageReportsMC,MC
MsgDataStorageReportsTotals,Kokku
MsgDataStorageReportsLevelup,Tase üles
MsgDataStorageReportsCashAdjDueToEmp,Kohand. töötajale tasumata sularaha
MsgDataStorageReportsCashAdjDueToHouse,Kohand. Majale tasumata sularaha
MsgDataStorageReportsCashSalesReceived,Vastuvõetud sularahamüük
MsgDataStorageReportGC,gallon
MsgDataStorageReportsServiceFees,TEENUSTASUD
MsgDataStorageReportsTaxServiceFees,Maksustatavad teenustasud
MsgDataStorageReportsUntaxServiceFees,Mittemaksustatavad teenustasud
MsgDataStorageReportsTotalServiceFees,Kokku teenustasud
MsgDataStorageReportsGrossSales,BRUTOMÜÜK
MsgDataStorageConnectionErroFailedToOpenDatabase,Andmebaasi avamine nurjus teatega „%s”.
MsgDataStorageConnectionErroFailedToCloseDatabase,Tõrge: andmebaasi sulgemine nurjus teatega „%s”.
MsgDataStorageUnknownProvider,Teadmata
MsgDataStorageProductUpdate,Aeg uuendada artikleid
MsgDatabaseSendFailure,Andmebaasi ei saa serverisse saata.
MsgDatabaseUpdateFailed,Kassajaam ei saa kohalikku andmebaasi värskendada. Alandage versioonile %@
MsgStrangeBuildNumber,Hoiatus: teie järgunumber ei ole tootmistase.
MsgDatabaseSending,Andmebaasi saatmine serverisse
MsgDatabaseSendingBackup,Andmebaasivarunduse saatmine
MsgDatabaseUpgradingDatabase,Andmebaasi täiendamine
MsgDatabaseCopying,Andmebaasikoopia loomine
MsgDatabaseSendSuccess,Andmebaas on edukalt üles laaditud. Teavitus saadeti e-postile support@revelsystems.com.
MsgDatabaseBusy,Andmebaas on hõivatud. Proovige hiljem uuesti.
MsgEmployeeSalesReport,Töötajate müügiaruanne
MsgEmployeeSalesReportDateStart,Alguskuupäev
MsgEmployeeSalesReportDateEnd,Lõppkuupäev
MsgEmployeeSalesReportEmployee,Töötaja
MsgEmployeeSalesReportOpenOrders,Avatud tellimused
MsgEmployeeSalesReportProductData,Tooteandmed
MsgEmployeeSalesReportProductDataByClass,Tooteandmed
MsgEmployeeSalesReportProductDataByCategory,Tooterühmad
MsgEmployeeSalesReportProductDataBySubcategory,Valige alamkategooria
MsgEmployeeSalesReportCashTransactions,Sularahatehingud
MsgEmployeeSalesReportCreditTransactions,Krediiditehingud
MsgEmployeeSalesReportOtherTransactions,Muud tehingud
MsgEmployeeSalesReportLocalData,Kohalikud andm.
MsgEmployeeSalesReportHourlySales,Tunnimüük
MsgEmployeeSalesReportLabor,Töötajad
MsgEmployeeSalesReportTooLongOperation,Tagaliidese aruande toomine võtab liiga kaua aega. Kas kuvada kohalikud andmed?
MsgEmployeeSalesReportFailedOperation,Tagaliidese aruande toomine nurjus. Kas kuvada kohalikud andmed?
BtnEmployeeSalesReportGetReport,Aruanne
BtnEmployeeSalesReportShowLocal,Kuva kohalik
MsgSplitBillNewBillAddConfirm,Uue tšeki loomine muudab eelmiste tšekkide väärtusi.
MsgSplitBillCheckTitle,Tšekk nr %@ – %d
MsgSplitBillCheckNew,Tšekk nr %@ – %d [UUS]
MsgSplitBillAllItemsAreAddedAlready,Kõik üksused on juba lisatud
MsgSplitBillSelectProducts,Valige tooted
MsgSplitBillAdjustBillsTitle,Kohandage arveid
MsgSplitBillAdjustAmountDue,Vajas kohandamist
MsgSplitBillAdjustTotal,Kokku
MsgSplitBillAdjustAdjust,Kohandus-\nsumma
MsgSplitBillAdjustBill,Tšekk
MsgSplitBillApplyOrderDiscount,Sellel tellimusel on %@ allahindlus.  Millisele tšekile soovite selle allahindluse rakendada?
MsgSplitBillOrderNumberReceipt,Tellimuse number – kviitung
MsgSplitBillName,Nimi
MsgSplitBillQty,Kogus
MsgSplitBillEach,Tk
MsgSplitBillTotal,Kokku
MsgSplitBillDiscounts,Allahindlused:
MsgSplitBillTotalDiscounts,Allahindlus:
MsgSplitBillSubTotal,Vahesumma:
MsgSplitBillSurcharge,Lisatasu:
MsgSplitBillTax,Maks:
MsgSplitBillTOTAL,KOKKU:
MsgSplitBillBalanceDue,Tasumata:
MsgSplitBillAddItems,Lisa üksusi
MsgSplitBillPrintCheck,Prindi tšekk
MsgSplitBillPayCheck,Maksa tšekk
MsgSplitBillTipGrat,Jootraha
MsgSplitBillDiscount,Allahindlus
MsgProductSelectComboOptions,Valige kombo suvandid
MsgProductNameSelectoptions,%@: Tehke valikud
MsgProductChooseSlot,%@ (Valige välja %@)
MsgWouldYouLikeToMakeItACombo,Kas sooviksite teha selle komboks?
MsgNonComboPrice,Mitte-kombo hind: %@
MsgComboIncludes,Kombo sisaldab %@
BtnAddMods,Lisage modifikaatorid
BtnMods,Mod.-d
BtnSkipComboOptions,Jätke kombo suvandid vahele
MsgUpsellWithSlotAndPrice,koos üksusega %@
MsgUpsellProductNameChooseOptions,%@: Valige üksuse %@ valikud
MsgUpsellDfltNameViewAll,Kuva kõik
MsgUpsellDfltNameNoMeal,Eineid pole
MsgUpsellDfltNameSmall,Väike
MsgUpsellDfltNameMedium,Keskmine
MsgUpsellDfltNameLarge,Suur
MsgUpsellDfltNameXtraLarge,Eriti suur
MsgUpsellDfltNameSuper,Ülisuur
MsgUpsellCreatingUpsellProduct,Ülesmüügitoote loomine
MsgUpsellTapHoldDragTipText,"Koguse väljavalimiseks koputage, hoidke, lohistage ja vabastage"
MsgSplitBillSeatExistingPaymentsWillBeRefunded,Olemasolevad maksed tagastatakse. Kas olete kindel?
MsgSplitBillPrintAllChecks,Prindi kõik tšekid
MsgSplitBillClearSplitBills,Kustuta tükeldatud arved
MsgSplitBillOrderScreen,Tellimuse ekraan
MsgSplitBillRefundPayments,Tagasta maksed
MsgSplitBillNewCheck,Lisa uus tšekk
MsgSplitBillPAID,MAKSTUD
MsgSplitBillCanNotAddItemToPaidBill,Üksusi ei saa tasutud arvele lisada. Kasutage teist arvet.
MsgSplitBillSplitBill,Tükelda arve
MsgSplitBillEnterNumberOfPersons,Sisestage inimeste arv
MsgPaymentProcessorsProcessingPleaseWait,"Töötlen, oodake..."
BtnGiftCardLinked,Seotud kaart
BtnGiftCardLink,Seo kinkekaart
BtnGiftCardProcessorsReSwipeCard,Korrake kaarditõmmet
BtnGiftCardProcessorsSwipeCard,Tõmmake kaart läbi kaardilugeja
MsgGiftCardSelectLinked,Valige seotud kinkekaart
MsgGiftCardProcessorsSynergyError,Sünergia viga
MsgGiftCardProcessorsCardNumberEmpty,Kaardi number puudub. Proovige uuesti.
MsgGiftCardProcessorsZerroAmount,"Dollarihulk peab olema üle 0,00 $."
MsgGiftCardProcessorsEnterAmount,Sisestage summa
MsgGiftCardProcessorsCardSuccAct,Kaart on edukalt aktiveeritud.\nSaldo: %.2f
MsgGiftCardProcessorsCardUpdatedSucc,Kaart on edukalt uuendatud.
MsgGiftCardProcessorsInsufficientFunds,Kaardil pole piisavalt raha.\nSaldo: %.2f
MsgGiftCardProcessorsFailedToUpdate,Kaardi uuendamine nurjus.
MsgGiftCardProcessorsFailedToActivate,Kaardi aktiveerimine nurjus.
MsgGiftCardProcessorsFailedToFetch,Kaarditeabe toomine nurjus.
MsgGiftCardProcessorsValutecError,Valuteci tõrge
MsgGiftCardProcessorsFailedToCreate,Kaardi loomine nurjus.
MsgGiftCardProcessorsCardCreatedSucc,Kaart %@ on edukalt loodud.\nSaldo: %.2f
MsgGiftCardProcessorsCardIsActive,Kaart on juba aktiivne.
MsgGiftCardProcessorsCardIsNotActive,Kaart pole aktiveeritud.
MsgGiftCardProcessorsRefundOfGiftPayment,Väiksemate kui %@ kinkemaksete tagastamine pole lubatud.
MsgGiftCardProcessorsGivexTransFailed,Givexi tehing nurjus!\n%@
MsgGiftCardProcessorsCardCreatedSucc2,Kaart %@ on edukalt loodud.
MsgGiftCardProcessorsCardSuccAct2,Kaart on edukalt aktiveeritud.
MsgGiftCardProcessorsCardValueAdded,Kaardi väärtus on lisatud.
MsgGiftCardProcessorsFailedToUpdateCard,Kaardi nr %@ uuendamine nurjus.\n%@
MsgGiftCardProcessorsCustomerIsLinkedSucc,Klient on edukalt seotud.
MsgGiftCardProcessorsFailedToLinkCust,Kliendi sidumine nurjus.
MsgGiftCardProcessorsFailedToLinkCheckLog,Kliendi sidumine nurjus.
MsgGiftCardProcessorsFailedToSyncCustomer,Kaardiandmete sünkroniseerimine ebaõnnestus. Korduskatse teostatakse taustatoiminguna.
MsgGiftCardProcessorsSwipeGiftCard,Kinkekaardi tõmme
MsgGiftCardProcessorsWaitingForCardSwipe,Kaarditõmbe ootel
MsgGiftCardProcessorsCardNrMustBeGreateThanZero,Kaardi number peab olema pikem kui 0
MsgGiftCardProcessorsLocation,Asukoht
MsgGiftCardProcessorsBadSwipe,Kaarditõmme nurjus. Proovige uuesti.
MsgGiftCardProcessorsWaitingForSwipe,Oodatakse kaarditõmmet.
MsgGiftCardProcessorsAddGiftCardSupport,Kas lisada kinkekaardi tugi?
MsgGiftCardProductName,Kingitus %.2f
MsgGiftCardProcessorsCardNotFound,Kaardi numbrit ei leitud. Proovige uuesti
MsgGiftCardsManage,Halda kinkekaarte
MsgGiftCardsCustomerHasNoCards,Kliendil %@ pole veel ühtegi seotud kinkekaarti.
MsgGiftCardPromptToLinkCardToCustomer,Kas soovite lisada kinkekaardi nr %@ kliendile %@?
MsgPaymentGiftCardAuthorization,Kinkekaardi autoriseerimine
MsgGiftCardProcessorsTokenInvalid,Kaupmehe märgis ei ole saadaval selles asukohas või kasutaja märgis on kehtetu
MsgGiftCardProcessorsQrCodeInvalid,QR kood on kehtetu
MsgGiftCardFailedUpdate,Kaardi uuendamine nurjus
MsgCardReadersError,Tõrge %i: %@
MsgCardReadersPortableError,Portatiivne tõrge
MsgCardReadersPleaseConfigProperSwipe,Konfigureerige selle jaama jaoks õige tõmme.
MsgCardReadersCardSwipeNoData,Kehtetu kaarditõmme.
MsgCardReadersFailedToReadCardNumber,Kaardi numbri lugemine nurjus
BtnRewardCardsLinkCustomer,Seo klient
BtnRewardCardsLinkOtherCustomer,Seo teine klient
BtnRewardCardsLinkCurrentCustomer,Seo praegune klient
BtnRewardCardsCustomerInfo,Kliendi teave
BtnRewardCardsLink,Seo preemiad
BtnRewardCardsAddPoints,Lisa üksuse punktid
MsgRewardCardsCardNrLengthNoOption,Kaardi number peab olema pikkusega %d.
MsgRewardCardsCardNrLength,Kaardi number peab olema pikkusega %d või %d.
MsgRewardCardsSwipeRewardCard,Preemiakaardi tõmme
MsgRewardCardsSwipeOrScanRewardCard,Preemiakaardi skannimine või tõmme
MsgRewardCardsAddRewardsSwipeOrScan,Lisan preemiad? Ootan kaardi läbitõmbamist lugejast.
MsgRewardCardsAddPointsSwipeOrScan,Lisan punktid? Ootan kaardi läbitõmbamist lugejast.
MsgRewardCardsNoPoints,Sellel tellimusel pole punkte.
MsgRewardCardsFailedAddPoints,Üksuse punktide lisamine nurjus.
MsgRewardCardsFailedAdjustPointsIncorrectValue,Punktide kohandamine nurjus.\nSisestatud väärtus on vale.
MsgRewardCardsFailedAdjustPointsBigValue,Punktide kohandamine nurjus.\nSisestatud väärtus on suurem kui %d.
MsgRewardCardsFailedAdjustPointsSmallValue,Punktide kohandamine nurjus.\nSisestatud väärtus on väiksem kui %d.
MsgRewardCardsActionFailed,Toiming nurjus. Proovige uuesti.
MsgRewardCardsActionSucc,Aktiveerimine õnnestus.
MsgRewardCardsRewardSuccessfullyVoided,Preemia tehing on edukalt annulleeritud.\n\nVajaduse korral saate preemia ennistada.
MsgRewardCardsAddPointsSuccessfullyVoided,Üksuse punktide lisamise tehing on edukalt annulleeritud.\n\nVajaduse korral saate preemia ennistada.
MsgRewardCardsRedeemRewardSuccessfullyVoided,Preemia lunastamise tehing on edukalt annulleeritud.\n\nVajaduse korral saate preemia ennistada.
MsgRewardCardsRedemptionCancellationFailed,Võlakohustuse lunastamise tühistamine ebaõnnestus
MsgRewardCardsPointsAddedSucc,Punktid on edukalt kaardile lisatud.
MsgRewardCardsFailedToRedeemPoints,Preemiapunktide lunastamine ebaõnnestus
MsgRewardCardsInsuffFunds,Ebapiisavalt vahendeid preemiakaardil.\nSaldo: %.2f
MsgRewardCardsRewardCardInfo,Preemiakaardi teave
MsgRewardCardsPointsAdded,Lisatud punkte: %@
MsgRewardCardsRewardsRedeemed,Lunastatud preemiaid: %@
MsgRewardCardsPoints,Punktid
MsgRewardCardsCash,Sularaha
MsgRewardCardsNoProductsRedeem,Lunastamiseks pole sobivaid punktidega tooteid.
MsgRewardCardsForRedemptionMessage,Lunastamiseks
MsgRewardCardsGetAmountRedeem,Lunastamiseks peate koguma %d punkti. Praegune saldo on %d.
MsgRewardCardsGetPurchasesAmountRedeem,Lunastamiseks peate teenima punkte %@ ostukoguse eest.\nJooksev saldo on %@.
MsgRewardCardsGetVisitsAmountRedeem,Lunastamiseks peate teenima punkte %i arvu külastuste eest.\nJooksev saldo on %i.
MsgRewardCardsPointsBalance,Üksuse punktisaldo
MsgRewardCardsRewardsBalance,Preemiasaldo
MsgRewardCongratulations,Õnnitleme
MsgRewardCardsRewardsRedeemedWithBalance,Preemiapunktid on lunastatud! %@
MsgRewardCardsCongratulationsRewardPoints,"Palju õnne, teil on %d preemiapunkti."
MsgRewardCardsCongratulationsRewardVisits,"Õnnitleme, teie külastuspreemia on %d"
MsgRewardCardsCongratulationsRewardPurchases,"Õnnitleme, teie ostupreemia on %@"
MsgRewardCardsCongratulationsPoints,"Õnnitleme, teil on %@ preemiapunkti"
MsgRewardCardsCongratulationsCustomerRewardPoints,"Palju õnne, %@, teil on %d preemiapunkti."
MsgRewardCardsCongratulationsCustomerRewardVisits,"Õnnitleme, %@, teil on %d külastuspreemia(t)."
MsgRewardCardsCongratulationsCustomerRewardPurchases,"Õnnitleme, %@, teie ostupreemia on %@ ."
MsgRewardCardsCongratulationsCustomerPoints,"Õnnitleme, %@, teil on %@ preemiapunkti."
MsgRewardCardsRewardPointsUpdated,Punktid on uuendatud. Teil on %d preemiapunkti.
MsgRewardCardsRewardVisitsUpdated,Punktid on uuendatud. Teil on %d preemiapunkti.
MsgRewardCardsRewardPurchasesUpdated,"Õnnitleme, %@, teie ostupreemia on %@ ."
MsgRewardCardsAddedRewardPoints,Lisatud preemiapunktid: %d
MsgRewardCardsCurrentRewardPoints,Praegused preemiapunktid: %d
MsgRewardCardsCardNrIsNotInDb,Kaardi numbrit ei leitud. Proovige uuesti.
MsgRewardCardsCardExists,Kaart on juba olemas.
MsgRewardCardsAddPoints,Lisa %@ punkt(i)
MsgRewardCardsRedeemReward,Lunasta preemia
MsgRewardCardsVoidingRewardTransaction,Preemia tehingute annulleerimine...
MsgRewardCardsOrderHasAttachedLoyaltyData,Tellimusele on lisatud püsikliendi andmed. Kas soovite püsikliendi tehingu annulleerida?
MsgRewardCardsOrderHasAttachedLoyaltyDataNotSupported,Tellimusele on lisatud püsikliendi andmed. Püsikliendi tehingu annulleerimine ei ole sellele tellimusele toetatud.
MsgDiscountPunchhReward,Punchh Preemia
MsgDiscountReward,Preemia
MsgDiscountRewardLowerCase,preemia
MsgRegisteringLoyalty,Püsikliendi registreerimine
MsgLoyaltyYouHaveGiftProductsRedeemPoints,Teil on kingitustooteid. Lunastage punktid
MsgCustomerEditAddressButton,Muuda aadressi
MsgCustomerCompanyNameLabel,Ettevõtte nimi:
MsgCustomerAddressNameLabel,Aadress:
MsgCustomerCompleteRequiredFields,Täitke puuduvad nõutud väljad:
MsgCustomerHasEnoughPoints,Kliendil %@ on lunastamiseks piisavalt punkte.  Kas lunastada kohe?
MsgCustomerHasEnoughRewards,Kliendil %@ on piisavalt preemiaid.  Kas lunastada kohe?
MsgRewardCardsPromptToLinkCustomerTitle,Seo klient
MsgRewardCardsPromptToLinkCustomer,Kaart %@ kuulub kliendile %@. Kas soovite liita üksuse %@ tellimusele?
MsgRewardCardsPromptToLinkCustomerForExistingCard,Mida soovite tellimusega teha?
MsgRewardCardPoints,%d punkti
MsgRewardCardTotalPoints,%@ punkti
MsgRewardCardAddPoints,Lisa üksuse punktid
MsgRewardCardPromptToAddPoints,Kas soovite lisada üksuse punktid kliendi %@ preemiakaardile?
MsgRewardCardNumberPromptToAddPoints,Kas soovite lisada üksuse punktid preemiakaardile nr %@?
MsgRewardCardsManage,Halda preemiaid
MsgRewardsCard,Preemiakaart
MsgRewardsCardNew,Uus preemiakaart
MsgRewardsCardNotUsedCreateNew,Seda preemiakaarti ei ole varem kasutatud. Kas sooviksite luua uue preemiakaardi?
MsgRewardsCardNotUsedCreateNewForCustomer,"Seda preemiakaarti ei ole varem kasutatud. Kas sooviksite luua uue, %@-ga lingitud preemiakaardi?"
MsgRewardChooseRewardAccount,Vali preemiakonto
MsgRewardCardsCustomerHasNoCards,Kliendil %@ pole veel ühtegi seotud preemiat.
MsgRewardCardIncorrectNumber,Kaardi numbrit ei leitud. Proovige uuesti.
MsgRewardCardNumberNotFound,Üksust %@ ei leita.  Proovige uuesti.
MsgRewardCardGeneratingNumber,Kaardi numbri lugemine nurjus
MsgRewardCardDiscountVisitsTitle,Külastuspreemia hinnaalandus
MsgRewardCardDiscountPurchasesTitle,Ostupreemia hinnaalandus
MsgRewardCardDiscountTitleSales,Müügipreemia
MsgRewardCardDiscountTitleVisits,Külastuspreemia
MsgRewardCardDiscountTitleSalesVisits,Müügi- ja külastuspreemia
MsgRewardCardsNameOnCard,Nimi kaardil: %@
BtnRewardForSales,Müügipreemia
BtnRewardForVisits,Külastuspreemia
BtnRewardCreateLinked,Jah ja lingi kliendiga
MsgPurchaseRewardsEarned,Teenitud ostupreemia: %@
MsgVisitsRewardsEarned,Teenitud külastuspreemia: %@
MsgCurrentPurchaseRewards,Kehtiv ostupreemia: %@
MsgCurrentVisitsRewards,Kehtiv külastuspreemia: %@
MsgRewardPointsEarned,Teenitud preemiapunkte: %@
MsgCurrentRewardPoints,Kehtivad preemiapunktid: %@
MsgNextRewardPoints,Järgmised preemiad: %@
MsgVisits,külastused
MsgPurchases,ostud
MsgPurchase,ost
MsgVisit,külastus
MsgRewardCardsItemPoints,Kaubaartikli preemiapunktid: %i
MsgRewardCardsSalesPoints,Ostupreemia kokku: %.2f
MsgRewardCardsVisitsPoints,Külastuspreemia kokku: %i
MsgRewardCardsRewardPoints,Preemiapunktid kokku: %.2f
MsgRewardsPointsToNextReward,Järgmise preemiatasemeni jõudmiseks vajate üksnes %.2f punkti enam kui %@ punkti
MsgRewardsWaitingForRedemption,Teil on %@ punkti ootamas lunastamist
MsgRewardsDontForgetToRedeem,Ärge unustage lunastada preemiaid hinnaalanduste eest
MsgRewardsAvailable,Kasutatavad preemiad
MsgPurchaseRewards,Ostupreemiad
MsgPointRewards,Punkti preemiad
MsgItemRewards,Kaubaartikli preemiad
MsgVisitRewards,Külastuspreemiad
MsgPurchasePoints,Ostupunktid
MsgRewardPoints,Preemiapunktid
MsgItemPoints,Kaubaartikli punktid
MsgVisitPoints,Külastuspunktid
MsgNoRewardsAvailable,Ühtki kasutatavat preemiat pole
