LocaleIdentifier,LT
MsgDataStorageDataFetchFailed,Nepavyko gauti duomenų
MsgDataStorageDatabaseTooBigToUpload,"Failas per didelis, kad būtų galima prisegti prie el. laiško, todėl duomenų bazė buvo patalpinta tiesiogiai į serverį."
MsgDataStorageReportsSales,PARDAVIMŲ SUMA
MsgDataStorageReportsTotalOrders,Bendras užsakymų skaičius
MsgDataStorageReportsAverageSale,Vid. pardavimo suma
MsgDataStorageReportsTaxableSales,Apmokestinama pardavimo suma
MsgDataStorageReportsNonTaxableSales,Neapmokestinama pardavimo suma
MsgDataStorageReportsCRVCharges,Taros užstato mokesčiai
MsgDataStorageReportsTotalProductSales,BENDRA PRODUKTŲ PARDAVIMO SUMA
MsgDataStorageReportsTotalSalesLower,Bendra pardavimo suma
MsgDataStorageReportsItemDiscounts,Nuolaidos produktams
MsgDataStorageReportsOrderDiscounts,Nuolaidos užsakymams
MsgDataStorageReportsCoupons,Kuponai
MsgDataStorageReportsTotalDiscounts,Bendra nuolaidų suma
MsgDataStorageReportsNetSales,Neto pardavimų suma
MsgDataStorageReportsSalesTax,Pardavimo mokesčiai
MsgDataStorageReportsSurcharges,Priemokos
MsgDataStorageReportsRoundingDeltas,Suapvalinimo paklaidos
MsgDataStorageReportsServiceCharges,Paslaugos mokesčiai
MsgDataStorageReportsTaxRebate,Mokestinė nuolaida
MsgDataStorageReportsTotalTaxes,BENDRA MOKESČIŲ SUMA
MsgDataStorageReportsDepositTotal,Užstatai
MsgDataStorageReportsApplDepTotal,Pritaikytas užstatas
MsgDataStorageReportsAppliedDepositsTotal,Pritaikyti užstatai
MsgDataStorageReportsTotalTax,Bendra mokesčių suma
MsgDataStorageReportsNetToAccountFor,NETO SUMA
MsgDataStorageReportsNetToAccountForLower,Neto suma
MsgDataStorageReportsVoids,ANULIAVIMAI
MsgDataStorageReportsVoidedItems,Anuliuoti produktai
MsgDataStorageReportsVoidedTotal,Bendra anuliuota suma
MsgDataStorageReportsReturns,PRODUKTŲ GRĄŽINIMAS
MsgDataStorageReportsReturnedItems,Grąžinti produktai
MsgDataStorageReportsReturnedTotal,Bendra grąžintų produktų suma
MsgDataStorageReportsRefunds,PINIGŲ GRĄŽINIMAI
MsgDataStorageReportsRefundsNumber,Pinigų grąžinimo numeris
MsgDataStorageReportsRefundsTotal,Bendra grąžinta suma
MsgDataStorageReportsComps,VELTUI
MsgDataStorageReportsCompsItems,Produktai veltui
MsgDataStorageReportsCompsTotal,Bendra produktų veltui suma
MsgDataStorageReportsExchanges,SUKEITIMAI
MsgDataStorageReportsExchangedTotal,Viso sukeitimų
MsgDataStorageReportsCashAdjustments,OPERACIJŲ GRYNAISIAIS PINIGAIS KOREKCIJOS
MsgDataStorageReportsPayouts,Išimta
MsgDataStorageReportsPayins,Įdėta
MsgDataStorageReportsPayoutsTotal,VISO išimta
MsgDataStorageReportsPayments,MOKĖJIMAI
MsgDataStorageReportsPaymentsLower,Mokėjimai
MsgDataStorageReportsCashPaymentsReceived,Grynaisiais pinigais gauti mokėjimai
MsgDataStorageReportsLiabilities,Bendra įsiskolinimo suma
MsgDataStorageReportsCash,Grynieji pinigai
MsgDataStorageReportsTips,ARBATPINIGIAI
MsgDataStorageReportsTipsLowercase,Arbatpinigiai
MsgDataStorageReportsCashTips,Arbatpinigiai grynaisiais
MsgDataStorageReportsCreditTips,Arbatpinigiai kreditu
MsgDataStorageReportsLevelUpTips,LevelUp arbatpinigiai
MsgDataStorageReportsIndexTips,Index arbatpinigiai
MsgDataStorageReportsGiftTips,Arbatpinigiai dovanų kuponu
MsgDataStorageReportsDebitTips,Arbatpinigiai debet. kortele
MsgDataStorageReportsHouseAccountTips,'Namų sąskaitos' arbatpinigiai
MsgDataStorageReportsTradeTips,Trade rbatpinigiai
MsgDataStorageReportsWoraPayTips,WoraPay arbatpinigiai
MsgDataStorageReportsZapperTips,Kiti arbatpinigiai
MsgDataStorageReportsStoreCreditTips,Parduotuvės kreditas
MsgDataStorageReportsCustomPaymentTips,Įprastinių atsiskaitymų arbatpinigiai
MsgDataStorageReportsOtherTips,Kiti arbatpinigiai
MsgDataStorageReportsTotalTips,BENDRA ARBATPINIGIŲ SUMA
MsgDataStorageReportsTotal,IŠ VISO
MsgDataStorageReportsEmployee,DARBUOTOJAS
MsgDataStorageReportsEmployeeHas1OpenOrderOnServer,SERVERYJE ATIDARYTAS 1 DARBUOTOJO UŽSAKYMAS
MsgDataStorageReportsEmployeeHasManyOpenOrderOnServer,SERVERYJE ATIDARYTI(-A) %@ DARBUOTOJO UŽSAKYMAI(-Ų)
MsgDataStorageReports1OpenOrderOnServer,SERVERYJE ATIDARYTAS 1 UŽSAKYMAS
MsgDataStorageReportsManyOpenOrderOnServer,SERVERYJE ATIDARYTI(-A) %@ UŽSAKYMAI(-Ų)
MsgDataStorageReportsType,Atsiskaitymo būdas
MsgDataStorageReportsPayment,Mokėjimas
MsgDataStorageReportsTip,Arbatpinigiai
MsgDataStorageReportsTypePaymentForEpson,Tipas              #             Mokėjimas\n
MsgDataStorageReportsTotal0ForEpson,VISO                 0                0.00\n
MsgDataStorageReportsTypePaymentTipTotalForEpson,Tipas      #   Mokėjimas     Arbat.   Viso\n
MsgDataStorageReportsTotal0000ForEpson,VISO       0      0.00      0.00      0.00\n
MsgDataStorageReportsTypePaymentForRaster,Tipas              #             Mokėjimas\n
MsgDataStorageReportsTotal0ForRaster,VISO                 0                0.00\n
MsgDataStorageReportsTypePaymentTipTotalForRaster,Tipas      #   Mokėjimas     Arbat.   Viso\n
MsgDataStorageReportsTotal0000ForRaster,VISO       0      0.00      0.00      0.00\n
MsgDataStorageReportsCashDueEmployee,DARBUOTOJUI GRYNAISIAIS
MsgDataStorageReportsCashDueHouse,ĮSTAIGAI GRYNAISIAIS
MsgDataStorageReportsOrder_,Užsakymas
MsgDataStorageReportsAmount,Suma
MsgDataStorageReportsTransactions,OPERACIJOS
MsgDataStorageReportsDeclaredTips,Deklaruoti arbatpinigiai
MsgDataStorageReportsOpenOrdersMany,Atidaryti užsakymai
MsgDataStorageReportsPrintDate,Spausdinimo data
MsgDataStorageReportsProductData,INFO. APIE PRODUKTUS
MsgDataStorageReportsProductByClassData,INFO. APIE PRODUKTUS
MsgDataStorageReportsProductByCategoryData,INFO. APIE PRODUKTUS
MsgDataStorageReportsProductBySubcategoryData,INFO. APIE PRODUKTUS
MsgDataStorageReportsClass,Klasė
MsgDataStorageReportsSalesLowercase,Pardavimo suma
MsgDataStorageReportsVisa,„Visa“
MsgDataStorageReportsMasterCard,„MasterCard“
MsgDataStorageReportsDiscover,„Discover“
MsgDataStorageReportsAmericanExpress,„American Express“
MsgDataStorageReportsGiftCards,Dovanų kortelės
MsgDataStorageReportsOther,Kita
MsgDataStorageReportsDebit,Debetinė kortelė
MsgDataStorageReportsTotalPayments,Bendras mokėjimų skaičius
MsgDataStorageReportsTotalTipsLowercase,Bendra arbatpinigių suma
MsgDataStorageReportsCashDuesToHouse,Cash Due To House
MsgDataStorageReportsAllEmployees,Visi darbuotojai
MsgDataStorageReportsEmployeeLowercase,Darbuotojas
MsgDataStorageReportsGuests,LANKYTOJAI
MsgDataStorageReportsGuestsNumber,Viso svečių
MsgDataStorageReportsGuestsAverageSale,Vid. pardavimo suma lankytojui
MsgDataStorageReportsOtherPayments,Kiti mokėjimai
MsgDataStorageReportsHourlySalesHeader,PARDAVIMO SUMA PER VAL.
MsgDataStorageReportsHourlySalesTime,LAIKAS
MsgDataStorageReportsHourlySalesSales,PARDAVIMŲ SUMA
MsgDataStorageReportsHourlySalesTrans,OPRC. NR.
MsgDataStorageReportsHourlySalesAvgTrans,VID. OPRC.
MsgDataStorageReportsHourlySalesSalesPercent,%SALES
MsgDataStorageReportsHourlySalesTotals,Iš viso:
MsgDataStorageReportsLaborHeader,DARBAS
MsgDataStorageReportsLaborTime,LAIKAS
MsgDataStorageReportsLaborSales,PARDAVIMŲ SUMA
MsgDataStorageReportsLaborManHrs,Darbo val. sk.
MsgDataStorageReportsLaborSPMH,Pardavimai per val.
MsgDataStorageReportsLaborWages,ALGOS
MsgDataStorageReportsLaborPercentLabor,%LABR
MsgDataStorageReportsLaborTotals,Iš viso:
MsgDataStorageReportsVoucherDetailsName,Pavadinimas
MsgDataStorageReportsVoucherDetailsTotal,IŠ VISO
MsgDataStorageReportsTender,Apmokėta skolos dalis
MsgDataStorageReportsAdj,Koreg.
MsgDataStorageReportsAmex,„Amex“
MsgDataStorageReportsMC,MC
MsgDataStorageReportsTotals,Bendra suma
MsgDataStorageReportsLevelup,Levelup
MsgDataStorageReportsCashAdjDueToEmp,Kor. Darbuotojui grynaisiais
MsgDataStorageReportsCashAdjDueToHouse,Patais. Įstaigai mokėtina suma grynaisiais pinigais
MsgDataStorageReportsCashSalesReceived,Gauta pardavimo suma grynaisiais
MsgDataStorageReportGC,G
MsgDataStorageReportsServiceFees,APTARNAVIMO MOKESČIAI
MsgDataStorageReportsTaxServiceFees,Apmokestinami aptarnavimo mokesčiai
MsgDataStorageReportsUntaxServiceFees,Neapmokestinami aptarnavimo mokesčiai
MsgDataStorageReportsTotalServiceFees,Bendra aptarnavimo mokesčių suma
MsgDataStorageReportsGrossSales,BRUTO PARDAVIMO SUMA
MsgDataStorageConnectionErroFailedToOpenDatabase,Nepavyko atverti duomenų bazės naudojant pranešimą „%s“.
MsgDataStorageConnectionErroFailedToCloseDatabase,Klaida. Nepavyko užverti duomenų bazės naudojant pranešimą „%s“.
MsgDataStorageUnknownProvider,Nežinoma
MsgDatabaseSendFailure,Nepavyksta nusiųsti duomenų bazės į serverį.
MsgDatabaseUpdateFailed,POS sistema negali atnaujinti vietos duomenų bazės. Pasirinkite senesnę %@ versiją
MsgStrangeBuildNumber,Įspėjimas: versijos numerio nėra gamybiniame sąraše.
MsgDatabaseSending,Duomenų bazė siunčiama į serverį.
MsgDatabaseSendingBackup,Siunčiama duomenų bazės atsarginė kopija
MsgDatabaseUpgradingDatabase,Duomenų bazės atnaujinimas
MsgDatabaseCopying,Kuriama duomenų bazės kopija.
MsgDatabaseSendSuccess,Duomenų bazė sėkmingai įkelta. Pranešimas išsiųstas adresu support@revelsystems.com.
MsgDatabaseBusy,Duomenų bazė užsiėmusi. Bandykiye vėliau.
MsgEmployeeSalesReport,Darbuotojo pardavimų ataskaita
MsgEmployeeSalesReportDateStart,Pradžios data
MsgEmployeeSalesReportDateEnd,Pabaigos data
MsgEmployeeSalesReportEmployee,Darbuotojas
MsgEmployeeSalesReportOpenOrders,Atidaryti užsakymai
MsgEmployeeSalesReportProductData,Informacija apie produktus
MsgEmployeeSalesReportProductDataByClass,Informacija apie produktus
MsgEmployeeSalesReportProductDataByCategory,Produktų kategorijos
MsgEmployeeSalesReportProductDataBySubcategory,Pasirinkti pakategorę
MsgEmployeeSalesReportCashTransactions,Operacijos grynaisiais pinigais
MsgEmployeeSalesReportCreditTransactions,Operacijos kreditinėmis kortelėmis
MsgEmployeeSalesReportOtherTransactions,Kitos operacijos
MsgEmployeeSalesReportLocalData,Vietos duomenys
MsgEmployeeSalesReportHourlySales,Pardavimo suma per val.
MsgEmployeeSalesReportLabor,Darbas
MsgEmployeeSalesReportTooLongOperation,Ataskaitos gavimas iš duomenų bazių serverio ilgokai užtruko. Rodyti vietos duomenis?
MsgEmployeeSalesReportFailedOperation,Ataskaitos įkėlimas iš duomenų bazių serverio nepavyko. Rodyti vietinę informaciją?
BtnEmployeeSalesReportGetReport,Gauti ataskaitą
BtnEmployeeSalesReportShowLocal,Rodyti vietinę atask.
MsgSplitBillNewBillAddConfirm,Sukūrus naują čekį bus pakeistos ankstesnių čekių vertės.
MsgSplitBillCheckTitle,Kvitas nr. %@ – %d
MsgSplitBillCheckNew,Kvitas nr. %@ – %d [NAUJAS]
MsgSplitBillAllItemsAreAddedAlready,Jau pridėti visi produktai.
MsgSplitBillSelectProducts,Pasirinkti produktus
MsgSplitBillAdjustBillsTitle,Taisyti sąskaitas
MsgSplitBillAdjustAmountDue,Reikalingas pataisymas
MsgSplitBillAdjustTotal,Iš viso
MsgSplitBillAdjustAdjust,Pataisymas\nSuma
MsgSplitBillAdjustBill,Kvitas
MsgSplitBillApplyOrderDiscount,Šiam užsakymui taikytina %@ nuolaida.  Kuriam čekiui norite pritaikyti šią nuolaidą?
MsgSplitBillOrderNumberReceipt,Užsakymo numeris. Kvitas
MsgSplitBillName,Pavadinimas
MsgSplitBillQty,Vnt. skaičius
MsgSplitBillEach,Vnt. kaina
MsgSplitBillTotal,Iš viso
MsgSplitBillDiscounts,Nuolaidos:
MsgSplitBillTotalDiscounts,Iš viso nuolaidų:
MsgSplitBillSubTotal,Tarpinė suma:
MsgSplitBillSurcharge,Priemoka:
MsgSplitBillTax,Mokesčiai:
MsgSplitBillTOTAL,IŠ VISO:
MsgSplitBillBalanceDue,Liko mokėti:
MsgSplitBillAddItems,Pridėti produktų
MsgSplitBillPrintCheck,Išankstinė sąskaita
MsgSplitBillPayCheck,Apmokėti
MsgSplitBillTipGrat,(Įsk.) arbatp.
MsgSplitBillDiscount,Nuolaida
MsgProductSelectComboOptions,Pasirinkti rinkinio parinktis
MsgProductNameSelectoptions,%@: Pasirinkti parinktis
MsgProductChooseSlot,%@ (Rinktis %@)
MsgWouldYouLikeToMakeItACombo,Ar norite tai padaryti rinkiniu?
MsgNonComboPrice,Ne rinkinio kaina: %@
MsgComboIncludes,Į rinkinį įeina %@
BtnAddMods,Pridėti modifikatorius
BtnMods,Modifikacijos
BtnSkipComboOptions,Praleisti rinkinio parinktis
MsgUpsellWithSlotAndPrice,su %@
MsgUpsellProductNameChooseOptions,%@: Pasirinkti %@ parinktis
MsgUpsellDfltNameViewAll,Peržiūrėti viską
MsgUpsellDfltNameNoMeal,Jokio patiekalo
MsgUpsellDfltNameSmall,Maža
MsgUpsellDfltNameMedium,Vidutinė
MsgUpsellDfltNameLarge,Didelė
MsgUpsellDfltNameXtraLarge,Ypač didelė
MsgUpsellDfltNameSuper,„Super“
MsgUpsellCreatingUpsellProduct,Papildomo pardavimo produkto sukūrimas
MsgUpsellTapHoldDragTipText,"Palieskite, palaikykite, nuslinkite ir paleiskite kiekio pasirinkimui"
MsgSplitBillSeatExistingPaymentsWillBeRefunded,Už atliktus mokėjimus bus grąžinti pinigai. Tikrai norite tęsti?
MsgSplitBillPrintAllChecks,Spausdinti visus čekius
MsgSplitBillClearSplitBills,Išvalyti padalytas sąskaitas
MsgSplitBillOrderScreen,Užsakymų ekranas
MsgSplitBillRefundPayments,Grąžintini mokėjimai
MsgSplitBillNewCheck,Pridėti naują kvitą
MsgSplitBillPAID,APMOKĖTA
MsgSplitBillCanNotAddItemToPaidBill,Į apmokėtą sąskaitą produktų pridėti negalima. Naudokite kitą sąskaitą.
MsgSplitBillSplitBill,Padalyti sąskaitą
MsgSplitBillEnterNumberOfPersons,Įvesti žmonių skaičių
MsgPaymentProcessorsProcessingPleaseWait,Apdorojama. Prašome palaukti...
BtnGiftCardLinked,Susieta dovanų kortelė
BtnGiftCardLink,Susieti dovanų kortelę
BtnGiftCardProcessorsReSwipeCard,Perbraukite dar kartą
BtnGiftCardProcessorsSwipeCard,Perbraukite
MsgGiftCardSelectLinked,Pasirinkite susietą dovanų kortelę
MsgGiftCardProcessorsSynergyError,Sinergijos triktis
MsgGiftCardProcessorsCardNumberEmpty,Dovanų kortelės numerio laukelis tuščias! Bandykite dar kartą!
MsgGiftCardProcessorsZerroAmount,Suma turi būti didesnė nei 0.00!
MsgGiftCardProcessorsEnterAmount,Įvesti sumą
MsgGiftCardProcessorsCardSuccAct,Dovanų kortelė sėkmingai suaktyvinta.\nLikutis: %.2f.
MsgGiftCardProcessorsCardUpdatedSucc,Dovanų kortelė sėkmingai atnaujinta.
MsgGiftCardProcessorsInsufficientFunds,Dovanų kortelėje nepakanka lėšų.\nLikutis: %.2f.
MsgGiftCardProcessorsFailedToUpdate,Nepavyko atnaujinti dovanų kortelės.
MsgGiftCardProcessorsFailedToActivate,Nepavyko suaktyvinti dovanų kortelės.
MsgGiftCardProcessorsFailedToFetch,Nepavyko gauti dovanų kortelės duomenų.
MsgGiftCardProcessorsValutecError,„Valutec“ triktis
MsgGiftCardProcessorsFailedToCreate,Nepavyko sukurti dovanų kortelės.
MsgGiftCardProcessorsCardCreatedSucc,%@ dovanų kortelė sėkmingai sukurta.\nLikutis: %.2f.
MsgGiftCardProcessorsCardIsActive,Dovanų kortelė jau suaktyvinta.
MsgGiftCardProcessorsCardIsNotActive,Dovanų kortelė nesuaktyvinta.
MsgGiftCardProcessorsRefundOfGiftPayment,Draudžiama grąžinti %@ nesiekiančius mokėjimus dovanų kortele.
MsgGiftCardProcessorsGivexTransFailed,Nepavyko atlikti operacijos per „Givex“!\n%@
MsgGiftCardProcessorsCardCreatedSucc2,%@ dovanų kortelė sėkmingai sukurta.
MsgGiftCardProcessorsCardSuccAct2,Dovanų kortelė sėkmingai suaktyvinta.
MsgGiftCardProcessorsCardValueAdded,Pridėta suma į dovanų kortelę.
MsgGiftCardProcessorsFailedToUpdateCard,Nepavyko atnaujinti #%@ dovanų kortelės.\n%@
MsgGiftCardProcessorsCustomerIsLinkedSucc,Sėkmingai susieta su pirkėju.
MsgGiftCardProcessorsFailedToLinkCust,Nepavyko susieti su pirkėju.
MsgGiftCardProcessorsFailedToLinkCheckLog,Nepavyko susieti su pirkėju.
MsgGiftCardProcessorsFailedToSyncCustomer,Nepavyko susinchronizuoti kortelės informacijos. Veiksmas bus pakartotas fone.
MsgGiftCardProcessorsSwipeGiftCard,Perbraukite dovanų kortelę
MsgGiftCardProcessorsWaitingForCardSwipe,Laukiama
MsgGiftCardProcessorsCardNrMustBeGreateThanZero,Dovanų kortelės numeris turi būti ilgesnis už 0.
MsgGiftCardProcessorsLocation,Vietovė
MsgGiftCardProcessorsBadSwipe,Netinkamai perbraukėte. Bandykite dar kartą.
MsgGiftCardProcessorsWaitingForSwipe,Laukiama kortelės
MsgGiftCardProcessorsAddGiftCardSupport,Pridėti dovanų kortelės palaikymo funkciją?
MsgGiftCardProductName,%.2f dovanų kortelė
MsgGiftCardProcessorsCardNotFound,Nepavyko rasti dovanų kortelės tokiu numeriu. Bandykite dar kartą.
MsgGiftCardsManage,Tvarkyti dovanų korteles
MsgGiftCardsCustomerHasNoCards,Su %@ dar nesusieta nė viena dovanų kortelė.
MsgGiftCardPromptToLinkCardToCustomer,Ar norite susieti dovanų kortelę nr. #%@ su pirkėju %@?
MsgPaymentGiftCardAuthorization,Dovanų kortelės autorizavimas
MsgCardReadersError,Triktis %i: %@
MsgCardReadersPortableError,Nešiojamojo skaitytuvo triktis
MsgCardReadersPleaseConfigProperSwipe,Sukonfigūruokite šiam kasos terminalui tinkamą mokėjimo kortelių skaitytuvą.
MsgCardReadersCardSwipeNoData,Netinkamas mokėjimo kortelių skaitytuvas.
MsgCardReadersFailedToReadCardNumber,Nepavyko nuskaityti mokėjimo kortelės numerio.
BtnRewardCardsLinkCustomer,Susieti pirkėją
BtnRewardCardsLinkOtherCustomer,Susieti kitą pirkėją
BtnRewardCardsLinkCurrentCustomer,Susieti esamą pirkėją
BtnRewardCardsCustomerInfo,Pirkėjo duomenys
BtnRewardCardsLink,Susieti lojalumo taškus
BtnRewardCardsAddPoints,Pridėti taškų už produktus
MsgRewardCardsCardNrLengthNoOption,Dovanų kortelės numeris turi būti %d skaitmenų ilgio
MsgRewardCardsCardNrLength,Dovanų kortelės numeris turi būti %d arba %d ilgio.
MsgRewardCardsSwipeRewardCard,Perbraukti lojalumo kortelę
MsgRewardCardsSwipeOrScanRewardCard,Nuskaityti arba perbraukti lojalumo kortelę
MsgRewardCardsAddRewardsSwipeOrScan,"Pridėti lojalumo taškų? Laukiama, kol perbrauksite dovanų kortelę."
MsgRewardCardsAddPointsSwipeOrScan,"Pridėti taškų? Laukiama, kol perbrauksite kortelę."
MsgRewardCardsNoPoints,Už šį užsakymą taškai nesuteikiami.
MsgRewardCardsFailedAddPoints,Nepavyko pridėti taškų už produktus.
MsgRewardCardsFailedAdjustPointsIncorrectValue,Nepavyko pataisyti taškų.\nĮvesta klaidinga vertė.
MsgRewardCardsFailedAdjustPointsBigValue,Nepavyko pataisyti taškų.\nĮvesta didesnė nei %d vertė.
MsgRewardCardsFailedAdjustPointsSmallValue,Nepavyko pataisyti taškų.\nĮvesta mažesnė nei %d vertė.
MsgRewardCardsActionFailed,Nepavyko atlikti veiksmo. Bandykite dar kartą.
MsgRewardCardsActionSucc,Veiksmas sėkmingai atliktas.
MsgRewardCardsRewardSuccessfullyVoided,Lojalumo taškų pridėjimo operacija sėkmingai anuliuota.\n\nPrireikus lojalumo taškus atstatykite.
MsgRewardCardsAddPointsSuccessfullyVoided,Taškų už produktus pridėjimo operacija sėkmingai anuliuota.\n\nPrireikus lojalumo taškus atstatykite.
MsgRewardCardsRedeemRewardSuccessfullyVoided,Lojalumo taškų atsiėmimo operacija sėkmingai anuliuota.\n\nPrireikus lojalumo taškus atstatykite.
MsgRewardCardsRedemptionCancellationFailed,Taškų panaudojimo atšaukimas nepavyko
MsgRewardCardsPointsAddedSucc,Taškai sėkmingai įtraukti į lojalumo kortelę.
MsgRewardCardsFailedToRedeemPoints,Nepavyko atsiimti taškų
MsgRewardCardsInsuffFunds,Nepakankamas lėšų likutis lojalumo kortelėje.\nLikutis: %.2f
MsgRewardCardsRewardCardInfo,Lojalumo kortelės duomenys
MsgRewardCardsPointsAdded,Pridėta taškų: %@
MsgRewardCardsRewardsRedeemed,Atsiimta lojalumo taškų: %@
MsgRewardCardsPoints,Taškai
MsgRewardCardsCash,Grynieji pinigai
MsgRewardCardsNoProductsRedeem,Nėra produktų už lojalumo taškus
MsgRewardCardsForRedemptionMessage,už lojalumo taškus
MsgRewardCardsGetAmountRedeem,"Reikia %d taškų, kad išpirkti už taškus. Dabartinis likutis yra %d."
MsgRewardCardsGetPurchasesAmountRedeem,"Reikia atlikti %@ pirkimų, kad išpirkti už taškus.\nDabartinis likutis yra %@."
MsgRewardCardsGetVisitsAmountRedeem,"Reikia atlikti %i apsilankymų, kad išpirkti už taškus.\nDabartinis likutis yra %i."
MsgRewardCardsPointsBalance,Taškų už produktus likutis
MsgRewardCardsRewardsBalance,Lojalumo taškų likutis
MsgRewardCongratulations,Sveikiname!
MsgRewardCardsRewardsRedeemedWithBalance,Lojalumo taškai atsiimti! %@
MsgRewardCardsCongratulationsRewardPoints,Sveikiname! Turite %d lojalumo tašk.
MsgRewardCardsCongratulationsRewardVisits,Sveikiname! Turite %d apsilankymo tašk.
MsgRewardCardsCongratulationsRewardPurchases,Sveikiname! Turite %@ pirkimo tašk.
MsgRewardCardsCongratulationsPoints,"Sveikiname, Jūs turite %@ lojalumo tašk."
MsgRewardCardsCongratulationsCustomerRewardPoints,"Sveikiname, %@! Jūs turite %d lojalumo tašk."
MsgRewardCardsCongratulationsCustomerRewardVisits,"Sveikiname, %@, Jūs turite %d apsilankymo tašk."
MsgRewardCardsCongratulationsCustomerRewardPurchases,"Sveikiname, %@, Jūs turite %@ pirkimo tašk."
MsgRewardCardsCongratulationsCustomerPoints,"Sveikiname, %@, Jūs turite %@ lojalumo tašk."
MsgRewardCardsRewardPointsUpdated,Taškų skaičius atnaujintas. Turite %d lojalumo tašk.
MsgRewardCardsRewardVisitsUpdated,Taškų skaičius atnaujintas. Turite %d lojalumo tašk.
MsgRewardCardsRewardPurchasesUpdated,"Sveikiname, %@, Jūs turite %@ pirkimo tašk."
MsgRewardCardsAddedRewardPoints,Pridėta lojalumo taškų: %d
MsgRewardCardsCurrentRewardPoints,Yra lojalumo taškų: %d
MsgRewardCardsCardNrIsNotInDb,Nepavyko rasti dovanų kortelės tokiu numeriu. Bandykite dar kartą.
MsgRewardCardsCardExists,Tokia lojalumo kortelė jau yra.
MsgRewardCardsAddPoints,Pridėti %@ tašk.
MsgRewardCardsRedeemReward,Panaudoti lojalumo taškus
MsgRewardCardsVoidingRewardTransaction,Anuliuojama lojalumo taškų pridėjimo operacija...
MsgRewardCardsOrderHasAttachedLoyaltyData,Lojalumo duomenys susieti su užsakymu. Ar norite anuliuoti lojalumo taškų pridėjimo operaciją?
MsgRewardCardsOrderHasAttachedLoyaltyDataNotSupported,Prie užsakymo pridėti lojalumo duomenys. Lojalumo operacijos anuliavimas šiam užsakymui negalimas.
MsgDiscountReward,Lojalumo taškai
MsgDiscountRewardLowerCase,lojalumo taškai
MsgRegisteringLoyalty,Lojalumo dovanų registravimas
MsgLoyaltyYouHaveGiftProductsRedeemPoints,Jums priklauso produktai už taškus. Panaudokite taškus
MsgCustomerEditAddressButton,Redaguoti adresą
MsgCustomerCompanyNameLabel,Įmonės pavadinimas:
MsgCustomerAddressNameLabel,Adresas:
MsgCustomerCompleteRequiredFields,Užpildykite trūkstamą(-us) laukelį(-ius).
MsgCustomerHasEnoughPoints,%@ turi pakankamai taškų. Panaudoti dabar?
MsgCustomerHasEnoughRewards,%@ pakankamas lojalumo taškų kiekis. Panaudoti dabar?
MsgRewardCardsPromptToLinkCustomerTitle,Susieti pirkėją
MsgRewardCardsPromptToLinkCustomer,%@ lojalumo kortelė priklauso %@. Ar norite susieti %@ su užsakymu?
MsgRewardCardsPromptToLinkCustomerForExistingCard,Ką norite daryti su šiuo užsakymu?
MsgRewardCardPoints,%d tašk.
MsgRewardCardTotalPoints,%@ tašk.
MsgRewardCardAddPoints,Pridėti taškų už produktus
MsgRewardCardPromptToAddPoints,Ar norite pridėti taškų už produktus į %@ lojalumo kortelę?
MsgRewardCardNumberPromptToAddPoints,Ar norite pridėti taškų už produktus į lojalumo kortelę nr. #%@?
MsgRewardCardsManage,Tvarkyti lojalumo korteles
MsgRewardsCard,Lojalumo kortelė
MsgRewardsCardNew,Nauja lojalumo kortelė
MsgRewardsCardNotUsedCreateNew,Ši lojalumo kortelė anksčiau nebuvo naudota. Ar norite sukurti naują lojalumo kortelę?
MsgRewardsCardNotUsedCreateNewForCustomer,Lojalumo kortelė nebuvo naudota. Ar norite sukurti naują kortelę ir susieti ją su %@?
MsgRewardChooseRewardAccount,Pasirinkite lojalumo sąskaitą
MsgRewardCardsCustomerHasNoCards,Su %@ dar nesusieta nė viena lojalumo kortelė.
MsgRewardCardIncorrectNumber,Nepavyko rasti dovanų kortelės tokiu numeriu. Bandykite dar kartą.
MsgRewardCardNumberNotFound,Nepavyko rasti %@.  Bandykite dar kartą.
MsgRewardCardGeneratingNumber,Nepavyko nuskaityti mokėjimo kortelės numerio.
MsgRewardCardDiscountVisitsTitle,Apsilankymo loj. tašk. nuolaida
MsgRewardCardDiscountPurchasesTitle,Pirkimų loj. tašk. nuolaida
MsgRewardCardDiscountTitleSales,Lojal. taškai už pirkimus
MsgRewardCardDiscountTitleVisits,Lojal. taškai už apsilankymus
MsgRewardCardDiscountTitleSalesVisits,Lojal. taškai už pirkimus ir apsilankymus
MsgRewardCardsNameOnCard,Vardas ir pavardė ant lojalumo kortelės: %@
BtnRewardForSales,Lojal. taškai už pirkimus
BtnRewardForVisits,Lojal. taškai už apsilankymus
BtnRewardCreateLinked,"Taip, ir susieti su pirkėju"
MsgPurchaseRewardsEarned,Uždirbti lojalumo taškai už pirkimus: %@
MsgVisitsRewardsEarned,Uždirbti lojalumo taškai už apsilankymus: %@
MsgCurrentPurchaseRewards,Dabartiniai lojalumo taškai už pirkimus: %@
MsgCurrentVisitsRewards,Dabartiniai lojalumo taškai už apsilankymus: %@
MsgRewardPointsEarned,Uždirbta lojalumo taškų: %@
MsgCurrentRewardPoints,Dabartiniai lojalumo taškai: %@
MsgVisits,apsilankymai
MsgPurchases,pirkimai
MsgPurchase,pirkimas
MsgVisit,apsilankymas
MsgRewardCardsItemPoints,Produkto lojalumo taškai: %i
