LocaleIdentifier,SP
MsgShipRates,Tasas de envío
MsgModifierClasses,Clases de aditivo
MsgModifierDiscounts,Descuentos de aditivo
MsgProductCategories,Categorías de producto
MsgUpsellCombos,Upsell Combos
MsgAttributes,Atributos
MsgAttributeValues,Valores de atributo
MsgIngredients,Ingredientes
MsgCallNames,Nombres de referencia
MsgTaxes,Taxes
MsgTaxTables,Gráficas de tax
MsgTableTags,Etiquetas de mesa
MsgProductClasses,Clases de producto
MsgCustomMenus,Menús personalizados
MsgDisabledInTrainingMode,Esta funcion se desactiva en modo de practica
MsgDisabledInTrainingModeAppleStore,Esta funcion esta deshabilitada
MsgIdentityProtectionTitle,Proteccion contra el robo de identidad
MsgIdentityProtectionVerify,Favor verificar
MsgDateErrors,Fechas equivocadas
MsgDateRangeErrors,El periodo de este reporte sobrepasa la semana
MsgOrdersReportWarningNoData,"Algunos de sus pedidos pueden estar abiertos o no sincronizados con el servidor, por lo que el informe Resumen de ventas puede estar incompleto. ¿Ejecutar de todos modos?"
MsgOrdersReportWarningUnsyncedOrders,"Algunos de sus pedidos no han sido sincronizados con el servidor, por lo que el informe Resumen de ventas puede estar incompleto. ¿Ejecutar de todos modos?"
MsgOrdersReportWarningOpenOrders,Tiene pedidos abiertos:
MsgOrdersReportManagerWarningOpenUnsyncedOrders,"Existen pedidos abiertos y algunos de ellos no han sido sincronizados con el servidor, por lo que el informe Resumen de ventas puede estar incompleto. ¿Ejecutar de todos modos?"
MsgOrdersReportManagerWarningOpenOrders,"Hay pedidos abiertos, por lo que el informe Resumen de ventas puede estar incompleto. ¿Ejecutar de todos modos?"
MsgOrdersReportManagerWarningUnsyncedOrders,"Algunos de los pedidos no han sido sincronizados con el servidor, por lo que el informe Resumen de ventas puede estar incompleto. ¿Ejecutar de todos modos?"
MsgOrdersReportManagerWarningNoData,"Varios pedidos pueden estar abiertos o no sincronizados con el servidor, por lo que el informe Resumen de ventas puede estar incompleto. ¿Ejecutar de todos modos?"
MsgClockInToAccessError,Empleado no marco entrada o no se puede confirmar la entrada del empleado
MsgClockInToAccessClockIn,Marque Entrada
MsgClockInToAccessManagerOverride,Gerente anular
MsgClockInToAccessOverride,Cambiar
MsgClockInToAccessCancel,Cancelar
MsgClockInToAccessLoginVerification,Verificacion de Login...
MsgClockInDisableClockInCheck,Desactivar verificación de entradas
MsgClockInForHours,Por cuántas horas
MsgBarTabCardReaderLostConnection,No puede conectarse a Lector tarjetas.\n¿Intentar de conectar de nuevo?
MsgDataStorageDbBackup,Copia de seguridad de base de datos
MsgDataStorageDbPosStations,Base de datos es de la estacion POS:%@
MsgDataStoreUnableToFindPos2v,No se pudo encontrar pos2v.sqlite.
MsgDataStorageConfigureEmail,Configure su correo electronico par usar esta funcion
MsgDataStorageFailedToCreateWritableDb,No se pudo crear el archivo de base de datos grabable con el mensaje '% @'.
MsgDataStorageDataFetchFailed,Error en la recuperacion de datos
MsgDataStorageDatabaseTooBigToUpload,"Tamaño de archivo excede límite de adjuntos en correo electrónicos. Por eso, base de datos ha sido subida directamente del servidor."
MsgDataStorageReportsSales,VENTAS
MsgDataStorageReportsTotalOrders,Total ordenes
MsgDataStorageReportsAverageSale,Promedio de venta
MsgDataStorageReportsTaxableSales,Ventas gravadas
MsgDataStorageReportsNonTaxableSales,Ventas no gravadas
MsgDataStorageReportsCRVCharges,Cargos CRV
MsgDataStorageReportsTotalProductSales,VENTAS TOTALES DE PRODUCTOS
MsgDataStorageReportsTotalSalesLower,Total Ventas
MsgDataStorageReportsItemDiscounts,Descuentos en articulos
MsgDataStorageReportsOrderDiscounts,Otros descuentos
MsgDataStorageReportsCoupons,Cupones
MsgDataStorageReportsTotalDiscounts,Total Descuentos
MsgDataStorageReportsNetSales,Ventas netas
MsgDataStorageReportsSalesTax,Impuestos de Venta
MsgDataStorageReportsSurcharges,Recargos
MsgDataStorageReportsRoundingDeltas,Deltas de redondeo
MsgDataStorageReportsServiceCharges,Cargos x servicio
MsgDataStorageReportsTaxRebate,Devolución fiscal
MsgDataStorageReportsTotalTaxes,TOTAL IMPUESTOS
MsgDataStorageReportsDepositTotal,Depósitos
MsgDataStorageReportsApplDepTotal,Dep.aplic.
MsgDataStorageReportsAppliedDepositsTotal,Depósitos aplicados
MsgDataStorageReportsTotalTax,Total Imp
MsgDataStorageReportsNetToAccountFor,NETO A RECIBIR
MsgDataStorageReportsNetToAccountForLower,Neto a Recibir
MsgDataStorageReportsVoids,Anulaciones
MsgDataStorageReportsVoidedItems,articulos anulados
MsgDataStorageReportsVoidedTotal,Total de anulados
MsgDataStorageReportsReturns,DEVOLUCIONES
MsgDataStorageReportsReturnedItems,Artículos devueltos
MsgDataStorageReportsReturnedTotal,Devoluciones totales
MsgDataStorageReportsRefunds,REEMBOLSOS
MsgDataStorageReportsRefundsNumber,Numero de reembolsos
MsgDataStorageReportsRefundsTotal,Total de reembolsos
MsgDataStorageReportsComps,CORTESÍAS
MsgDataStorageReportsCompsItems,Artículos gratuitos
MsgDataStorageReportsCompsTotal,Total de gratuitos
MsgDataStorageReportsExchanges,INTERCAMBIOS
MsgDataStorageReportsExchangedTotal,Total de intercambios
MsgDataStorageReportsCashAdjustments,AJUSTES DE EFECTIVO
MsgDataStorageReportsPayouts,Egresos
MsgDataStorageReportsPayins,Ingreso
MsgDataStorageReportsPayoutsTotal,Total egresos
MsgDataStorageReportsPayments,PAGOS
MsgDataStorageReportsPaymentsLower,Pagos
MsgDataStorageReportsCashPaymentsReceived,Pagos Efec. Recibidos
MsgDataStorageReportsLiabilities,Pasivos totales
MsgDataStorageReportsCash,Efectivo
MsgDataStorageReportsTips,PROPINAS
MsgDataStorageReportsTipsLowercase,Propinas
MsgDataStorageReportsCashTips,Prop. Efec.
MsgDataStorageReportsCreditTips,Prop. Cred.
MsgDataStorageReportsLevelUpTips,LevelUp Tips
MsgDataStorageReportsIndexTips,Propinas Index
MsgDataStorageReportsGiftTips,Propinas de regalo
MsgDataStorageReportsDebitTips,Propinas de débito
MsgDataStorageReportsHouseAccountTips,Propinas de cuenta de la casa
MsgDataStorageReportsTradeTips,Propinas comerciales
MsgDataStorageReportsWoraPayTips,Propinas WoraPay
MsgDataStorageReportsZapperTips,Otras Prop.
MsgDataStorageReportsStoreCreditTips,Total Credito en Tienda:
MsgDataStorageReportsCustomPaymentTips,Propinas de pago personalizado
MsgDataStorageReportsOtherTips,Otras Prop.
MsgDataStorageReportsTotalTips,TOTAL PROP.
MsgDataStorageReportsTotal,TOTAL
MsgDataStorageReportsEmployee,EMPLEADOS
MsgDataStorageReportsEmployeeHas1OpenOrderOnServer,EMPLEADO TIENE 1 ORDEN ABIERTO EN EL SERVIDOR
MsgDataStorageReportsEmployeeHasManyOpenOrderOnServer,EMPLEADO TIENE %d@ ORDENES ABIERTOS EN EL SERVIDOR
MsgDataStorageReports1OpenOrderOnServer, 1 ORDEN ABIERTO EN EL SERVIDOR
MsgDataStorageReportsManyOpenOrderOnServer,%@ ORDENS ABIERTOS EN EL SERVIDOR
MsgDataStorageReportsType,Tipo
MsgDataStorageReportsPayment,Pago
MsgDataStorageReportsTip,Propina
MsgDataStorageReportsTypePaymentForEpson,Tipo               #               Pago\n
MsgDataStorageReportsTotal0ForEpson,TOTAL                0                0.00\n
MsgDataStorageReportsTypePaymentTipTotalForEpson,Tipo       #   Pago       Propina     Total\n
MsgDataStorageReportsTotal0000ForEpson,TOTAL      0      0.00      0.00      0.00\n
MsgDataStorageReportsTypePaymentForRaster,Tipo               #               Pago\n
MsgDataStorageReportsTotal0ForRaster,TOTAL                0                0.00\n
MsgDataStorageReportsTypePaymentTipTotalForRaster,Tipo       #   Pago       Propina     Total\n
MsgDataStorageReportsTotal0000ForRaster,TOTAL      0      0.00      0.00      0.00\n
MsgDataStorageReportsCashDueEmployee,EFECTIVO PAGADERO A EMPLEADO
MsgDataStorageReportsCashDueHouse,EFECTIVO PAGADERO A LA CASA
MsgDataStorageReportsOrder_,Factura
MsgDataStorageReportsAmount,Cantidad
MsgDataStorageReportsTransactions,               TRANSACTIONS \\n
MsgDataStorageReportsDeclaredTips,Propinas declaradas
MsgDataStorageReportsOpenOrdersMany,Ordenes Abiertas: %@
MsgDataStorageReportsPrintDate,Fecha de Impresion
MsgDataStorageReportsProductData,DATA DEL PRODUCTO
MsgDataStorageReportsProductByClassData,DATA DEL PRODUCTO
MsgDataStorageReportsProductByCategoryData,DATA DEL PRODUCTO
MsgDataStorageReportsProductBySubcategoryData,DATA DEL PRODUCTO
MsgDataStorageReportsClass,Clase
MsgDataStorageReportsSalesLowercase,Ventas
MsgDataStorageReportsVisa,Visa
MsgDataStorageReportsMasterCard,MasterCard
MsgDataStorageReportsDiscover,Discover
MsgDataStorageReportsAmericanExpress,American Express
MsgDataStorageReportsGiftCards,Cert.Regalo
MsgDataStorageReportsOther,Otros
MsgDataStorageReportsDebit,Debito
MsgDataStorageReportsTotalPayments,Pagos totales
MsgDataStorageReportsTotalTipsLowercase,Total Propinas
MsgDataStorageReportsCashDuesToHouse,Efectivo pagadero a la casa
MsgDataStorageReportsAllEmployees,Todos los empleados
MsgDataStorageReportsEmployeeLowercase,Empleado
MsgDataStorageReportsGuests,CLIENTES
MsgDataStorageReportsGuestsNumber,Total Clientes
MsgDataStorageReportsGuestsAverageSale,Prom. Venta x Cliente
MsgDataStorageReportsOtherPayments,Otros pagos
MsgDataStorageReportsHourlySalesHeader,VENTAS POR HORA
MsgDataStorageReportsHourlySalesTime,HORA
MsgDataStorageReportsHourlySalesSales,VENTAS
MsgDataStorageReportsHourlySalesTrans,#TR
MsgDataStorageReportsHourlySalesAvgTrans,TR PROM.
MsgDataStorageReportsHourlySalesSalesPercent,%VENTAS
MsgDataStorageReportsHourlySalesTotals,Totales:
MsgDataStorageReportsLaborHeader,MANO DE OBRA
MsgDataStorageReportsLaborTime,HORA
MsgDataStorageReportsLaborSales,VENTAS
MsgDataStorageReportsLaborManHrs,Horas-hombre
MsgDataStorageReportsLaborSPMH,SPMH
MsgDataStorageReportsLaborWages,SALARIOS
MsgDataStorageReportsLaborPercentLabor,%MANO DE OBRA
MsgDataStorageReportsLaborTotals,Totales:
MsgDataStorageReportsVoucherDetailsName,Nombre
MsgDataStorageReportsVoucherDetailsTotal,TOTAL
MsgDataStorageReportsTender,Tender (Moneda)
MsgDataStorageReportsAdj,Adj
MsgDataStorageReportsAmex,Amex
MsgDataStorageReportsMC,MC
MsgDataStorageReportsTotals,Totales
MsgDataStorageReportsLevelup,Levelup
MsgDataStorageReportsCashAdjDueToEmp,Adj. Efectivo pagadero a empleado
MsgDataStorageReportsCashAdjDueToHouse,Ajus. Efectivo pagadero a la casa
MsgDataStorageReportsCashSalesReceived,Ventas efectivo recibidas
MsgDataStorageReportGC,GC
MsgDataStorageReportsServiceFees,CARGOS POR SERVICIO
MsgDataStorageReportsTaxServiceFees,Cargos por servicio gravables
MsgDataStorageReportsUntaxServiceFees,Cargos por servicio no gravables
MsgDataStorageReportsTotalServiceFees,Total de cargos por servicio
MsgDataStorageReportsGrossSales,VENTAS BRUTAS
MsgDataStorageConnectionErroFailedToOpenDatabase,No se pudo abrir la base de datos con el mensaje '%s'.
MsgDataStorageConnectionErroFailedToCloseDatabase,Error: no se pudo cerrar la base de datos con el mensaje '%s'.
MsgDataStorageUnknownProvider,Ignorado
MsgDatabaseSendFailure,No puede enviar base de datos al Servidor
MsgDatabaseUpdateFailed,Incapaz de actualizar la base de datos. Por favor
MsgStrangeBuildNumber,Advertencia su numero de compilacion no es nivel de produccion.
MsgDatabaseSending,Enviando la Base de datos a servidor
MsgDatabaseSendingBackup,Enviando respaldo de la base de datos
MsgDatabaseUpgradingDatabase,Actualizando base de datos
MsgDatabaseCopying,Creando copia de la base de datos
MsgDatabaseSendSuccess,Base de datos cargado correctamente. Notificacion fue enviada a support@revelsystems.com
MsgDatabaseBusy,Base de datos esta ocupado. Int_ntelo de nuevo mas tarde
MsgEmployeeSalesReport,Empleados Informe de ventas
MsgEmployeeSalesReportDateStart,Fecha Inicio
MsgEmployeeSalesReportDateEnd,Fecha final
MsgEmployeeSalesReportEmployee,Empleado
MsgEmployeeSalesReportOpenOrders,Ordenes Abiertas: %@
MsgEmployeeSalesReportProductData,Data del Producto
MsgEmployeeSalesReportProductDataByClass,Data del Producto
MsgEmployeeSalesReportProductDataByCategory,Categorías de producto
MsgEmployeeSalesReportProductDataBySubcategory,Seleccione una subcategoría
MsgEmployeeSalesReportCashTransactions,Transacciones en efectivo
MsgEmployeeSalesReportCreditTransactions,Transacciones de Credito
MsgEmployeeSalesReportOtherTransactions,Otras transacciones
MsgEmployeeSalesReportLocalData,Datos locales
MsgEmployeeSalesReportHourlySales,Ventas por hora
MsgEmployeeSalesReportLabor,Mano de obra
MsgEmployeeSalesReportTooLongOperation,Informe de la su consola web Obteniendo lleva demasiado tiempo. Mostrar Local?
MsgEmployeeSalesReportFailedOperation,Informe de la su consola web fallo. Mostrar Local?
BtnEmployeeSalesReportGetReport,Obtener Reporte
BtnEmployeeSalesReportShowLocal,Mostrar local
MsgSplitBillNewBillAddConfirm,Crear una cheque nuevo cambiará los valores de los cheques anteriores.
MsgSplitBillCheckTitle,Cheque #%@ - %d
MsgSplitBillCheckNew,Cheque #%@ - %d [NUEVO]
MsgSplitBillAllItemsAreAddedAlready,Ya estan anadidos Todos los articulos
MsgSplitBillSelectProducts,Seleccione producto
MsgSplitBillAdjustBillsTitle,Ajustar cuentas
MsgSplitBillAdjustAmountDue,Ajuste necesario
MsgSplitBillAdjustTotal,Total
MsgSplitBillAdjustAdjust,Monto del\najuste
MsgSplitBillAdjustBill,Cheque
MsgSplitBillApplyOrderDiscount,Este pedido tiene un %@ descuento.  ¿A qué cheque desea aplicar ese descuento?
MsgSplitBillOrderNumberReceipt,Numero de Orden - Recibo
MsgSplitBillName,Nombre
MsgSplitBillQty,Cant.
MsgSplitBillEach,Cada Uno
MsgSplitBillTotal,Total
MsgSplitBillDiscounts,Descuentos:
MsgSplitBillTotalDiscounts,Descuento:
MsgSplitBillSubTotal,Subtotal:
MsgSplitBillSurcharge,Cargo Extra
MsgSplitBillTax,Impuesto:
MsgSplitBillTOTAL,TOTAL:
MsgSplitBillBalanceDue,Gran Total:
MsgSplitBillAddItems,Agregar articulos
MsgSplitBillPrintCheck,Imprimir Cuenta
MsgSplitBillPayCheck,Pagar Cuenta
MsgSplitBillTipGrat,Propina/Gratif.
MsgSplitBillDiscount,Descuento
MsgProductSelectComboOptions,Seleccionar Opciones de combo
MsgProductNameSelectoptions,%@: Seleccione opciones
MsgProductChooseSlot,%@ (Choose %@)
MsgWouldYouLikeToMakeItACombo,¿Te gustaría hacerlo Combo?
MsgNonComboPrice,Precio no-combo: %@
MsgComboIncludes,Combo Incluye %@
BtnAddMods,Añadir aditivos
BtnMods,Mods
BtnSkipComboOptions,Omitir opciones combo
MsgUpsellWithSlotAndPrice,con %@
MsgUpsellProductNameChooseOptions,%@: Elija las opciones de %@
MsgUpsellDfltNameViewAll,Ver todos
MsgUpsellDfltNameNoMeal,Ninguna comida
MsgUpsellDfltNameSmall,Etiqueta pequena
MsgUpsellDfltNameMedium,Mediano
MsgUpsellDfltNameLarge,Etiqueta Grande
MsgUpsellDfltNameXtraLarge,Extra grande
MsgUpsellDfltNameSuper,Súper
MsgUpsellCreatingUpsellProduct,Creando producto a promocionar
MsgUpsellTapHoldDragTipText,"Tocar, detener, arrastrar y soltar para selección de cantidad"
MsgSplitBillSeatExistingPaymentsWillBeRefunded,Se reembolsaran los pagos existentes. Esta seguro?
MsgSplitBillPrintAllChecks,Imprimir todas la cuentas
MsgSplitBillClearSplitBills,Cancelar division de cuenta
MsgSplitBillOrderScreen,Pantalla de Ordenes
MsgSplitBillRefundPayments,Reembolsar Pagos
MsgSplitBillNewCheck,Añade Nuevo Cheque
MsgSplitBillPAID,PAGADO
MsgSplitBillCanNotAddItemToPaidBill,Los artículos no pueden agregarse a una cuenta pagada. Use otra cuenta.
MsgSplitBillSplitBill,Dividir Cuenta
MsgSplitBillEnterNumberOfPersons,Ingrese Cant. Personas
MsgPaymentProcessorsProcessingPleaseWait,"Procesando, por favor espera..."
BtnGiftCardLinked,Tarjeta vinculada
BtnGiftCardLink,Vincular tarjeta de regalo
BtnGiftCardProcessorsReSwipeCard,Vuelva a deslizar
BtnGiftCardProcessorsSwipeCard,Deslizar
MsgGiftCardSelectLinked,Seleccione una tarjeta de regalo vinculada
MsgGiftCardProcessorsSynergyError,Synergy Error
MsgGiftCardProcessorsCardNumberEmpty,¡Número de tarjeta vacío! ¡Vuelva a intentarlo!
MsgGiftCardProcessorsZerroAmount,Zero dollar amount activation not allowed!
MsgGiftCardProcessorsEnterAmount,Ingrese Monto
MsgGiftCardProcessorsCardSuccAct,Tarjeta activada correctamente. \nSaldo:%.2f
MsgGiftCardProcessorsCardUpdatedSucc,Tarjeta actualizada correctamente.
MsgGiftCardProcessorsInsufficientFunds,Fondos insuficientes en tarjeta \nSaldo:%.2f
MsgGiftCardProcessorsFailedToUpdate,Failed to update a card.
MsgGiftCardProcessorsFailedToActivate,Failed to activate a card.
MsgGiftCardProcessorsFailedToFetch,Error al obtener información de la tarjeta.
MsgGiftCardProcessorsValutecError,Error de Valutec
MsgGiftCardProcessorsFailedToCreate,Failed to create a card.
MsgGiftCardProcessorsCardCreatedSucc,Tarjeta %@ creada correctamente. \nSaldo: %.2f
MsgGiftCardProcessorsCardIsActive,La tarjeta ya está activa.
MsgGiftCardProcessorsCardIsNotActive,La tarjeta no ha sido activada.
MsgGiftCardProcessorsRefundOfGiftPayment,Refunding of gift payments lower than %@ is not allowed.
MsgGiftCardProcessorsGivexTransFailed,¡Falló la transacción de Givex!\n%@
MsgGiftCardProcessorsCardCreatedSucc2,Tarjeta %@ creada correctamente.
MsgGiftCardProcessorsCardSuccAct2,Tarjeta activada correctamente.
MsgGiftCardProcessorsCardValueAdded,Valor agregado de la tarjeta.
MsgGiftCardProcessorsFailedToUpdateCard,Error al actualizar la tarjeta #%@.\n%@
MsgGiftCardProcessorsCustomerIsLinkedSucc,Customer is linked successfully.
MsgGiftCardProcessorsFailedToLinkCust,Error al vincular el cliente.
MsgGiftCardProcessorsFailedToLinkCheckLog,Error al vincular el cliente.
MsgGiftCardProcessorsFailedToSyncCustomer,Fallado en sincronizar info de tarjeta. Acción se repetirá en el fondo.
MsgGiftCardProcessorsSwipeGiftCard,Deslice la tarjeta de regalo
MsgGiftCardProcessorsWaitingForCardSwipe,Esperando que deslice la tarjeta
MsgGiftCardProcessorsCardNrMustBeGreateThanZero,La longitud del número de la tarjeta debe ser mayor a 0
MsgGiftCardProcessorsLocation,Location
MsgGiftCardProcessorsBadSwipe,No pudo leerse la tarjeta. Vuelva a intentarlo.
MsgGiftCardProcessorsWaitingForSwipe,Esperando que deslice la tarjeta
MsgGiftCardProcessorsAddGiftCardSupport,¿Agregar soporte para tarjetas de regalo?
MsgGiftCardProductName,Regalo %.2f
MsgGiftCardProcessorsCardNotFound,No se encontró el número de tarjeta. Vuelva a intentarlo
MsgGiftCardsManage,Administrar tarjetas de regalo
MsgGiftCardsCustomerHasNoCards,% @ aún no tiene ninguna tarjeta de regalo vinculada.
MsgGiftCardPromptToLinkCardToCustomer,¿Desea adjuntar la tarjeta de regalo #%@ al cliente %@?
MsgPaymentGiftCardAuthorization,Autorización de tarjeta de regalo
MsgCardReadersError,Error %i: %@
MsgCardReadersPortableError,Error de portátil
MsgCardReadersPleaseConfigProperSwipe,Configure una lectura de tarjeta adecuada para esta estación.
MsgCardReadersCardSwipeNoData,Card swipe provided no data!
MsgCardReadersFailedToReadCardNumber,Error al leer el número de la tarjeta
BtnRewardCardsLinkCustomer,Vincular cliente
BtnRewardCardsLinkOtherCustomer,Vincular otro cliente
BtnRewardCardsLinkCurrentCustomer,Vincular cliente actual
BtnRewardCardsCustomerInfo,Información del cliente
BtnRewardCardsLink,Vincular recompensas
BtnRewardCardsAddPoints,Agregar puntos
MsgRewardCardsCardNrLengthNoOption,La longitud del número de la tarjeta debe ser %d o %d.
MsgRewardCardsCardNrLength,La longitud del número de la tarjeta debe ser %d o %d.
MsgRewardCardsSwipeRewardCard,Deslizar tarjeta de recompensas
MsgRewardCardsSwipeOrScanRewardCard,Escanee o deslice la tarjeta de recompensas
MsgRewardCardsAddRewardsSwipeOrScan,¿Añadir Recompensas? Esperando que deslices la tarjeta. 
MsgRewardCardsAddPointsSwipeOrScan,¿Añadir puntos? Esperando que deslices la tarjeta.
MsgRewardCardsNoPoints,No points to add for the order
MsgRewardCardsFailedAddPoints,No pudieron agregarse los puntos.
MsgRewardCardsFailedAdjustPointsIncorrectValue,No pudieron ajustarse los puntos.\nEl valor ingresado es incorrecto.
MsgRewardCardsFailedAdjustPointsBigValue,No pudieron ajustarse los puntos.\nEl valor ingresado es mayor a %d.
MsgRewardCardsFailedAdjustPointsSmallValue,No pudieron ajustarse los puntos.\nEl valor ingresado es menor a %d.
MsgRewardCardsActionFailed,Falló la acción. Vuelva a intentarlo.
MsgRewardCardsActionSucc,Acción exitosa.
MsgRewardCardsRewardSuccessfullyVoided,La transacción de recompensas fue anulada correctamente.\n\nRestablezca la recompensa de ser necesario.
MsgRewardCardsAddPointsSuccessfullyVoided,La transacción para agregar puntos fue anulada correctamente.\n\nRestablezca la recompensa de ser necesario.
MsgRewardCardsRedeemRewardSuccessfullyVoided,La transacción de canje de recompensas fue anulada correctamente.\n\nRestablezca la recompensa de ser necesario.
MsgRewardCardsRedemptionCancellationFailed,Redención de cancelación ha fallado
MsgRewardCardsPointsAddedSucc,Se agregaron puntos a la tarjeta correctamente.
MsgRewardCardsFailedToRedeemPoints,Failed to redeem points.\\n(Card cannot be used in rewards program until gift balance = 0.00.\\nPlease redeem gift balance first.)
MsgRewardCardsInsuffFunds,Insufficient funds on Reward Card.\nBalance: %.2f
MsgRewardCardsRewardCardInfo,Información de la tarjeta de recompensas
MsgRewardCardsPointsAdded,Puntos agregados: %@
MsgRewardCardsRewardsRedeemed,Premios redimidos: %@
MsgRewardCardsPoints,Puntos
MsgRewardCardsCash,Efectivo
MsgRewardCardsNoProductsRedeem,No products for redeem.
MsgRewardCardsForRedemptionMessage,para redención 
MsgRewardCardsGetAmountRedeem,You must get to %d amount of points to redeem. Current balance is %d
MsgRewardCardsGetPurchasesAmountRedeem,Tienes que ganar %@ importe de compras para redimirlas.\nBalance actual es %@.
MsgRewardCardsGetVisitsAmountRedeem,Tienes que ganar %i importe de visitas para redimir.\nBalance actual es %i.
MsgRewardCardsPointsBalance,Saldo de puntos
MsgRewardCardsRewardsBalance,Rewards Balance
MsgRewardCongratulations,¡Felicidades!
MsgRewardCardsRewardsRedeemedWithBalance,¡Recompensas redimidas! %@
MsgRewardCardsCongratulationsRewardPoints,"Felicitaciones, usted tiene %d puntos de recompensa."
MsgRewardCardsCongratulationsRewardVisits,"Felicidades, tienes %d Recompensas de visitas"
MsgRewardCardsCongratulationsRewardPurchases,"Felicidades, tienes %@ Recompensas de compra"
MsgRewardCardsCongratulationsPoints,"Felicidades, tienes %@ puntos de recompensa"
MsgRewardCardsCongratulationsCustomerRewardPoints,"Felicitaciones %@, usted tiene %d puntos de recompensa."
MsgRewardCardsCongratulationsCustomerRewardVisits,"Felicidades %@, tienes %d recompensa por visita."
MsgRewardCardsCongratulationsCustomerRewardPurchases,"Felicidades %@, tienes %@ recompensa por compras."
MsgRewardCardsCongratulationsCustomerPoints,"Felicidades %@, tienes %@ puntos por recompensa."
MsgRewardCardsRewardPointsUpdated,Puntos actualizados. Usted tiene %d puntos de recompensa.
MsgRewardCardsRewardVisitsUpdated,Puntos actualizados. Usted tiene %d puntos de recompensa.
MsgRewardCardsRewardPurchasesUpdated,"Felicidades %@, tienes %@ recompensa por compras."
MsgRewardCardsAddedRewardPoints,Puntos de recompensa agregados: %d
MsgRewardCardsCurrentRewardPoints,Puntos de recompensa actuales: %d
MsgRewardCardsCardNrIsNotInDb,This card number does not match with the database. Try again.
MsgRewardCardsCardExists,La tarjeta ya existe.
MsgRewardCardsAddPoints,Agregar %@ punto(s)
MsgRewardCardsRedeemReward,Canjear Premios
MsgRewardCardsVoidingRewardTransaction,Anulando transacción de recompensa...
MsgRewardCardsOrderHasAttachedLoyaltyData,El pedido tiene datos de lealtad adjuntos. ¿Quiere anular la transacción de lealtad?
MsgRewardCardsOrderHasAttachedLoyaltyDataNotSupported,Pedido tiene datos de lealtad adjuntados. Anulación de la transacción lealtad no está apoyada para este pedido.
MsgDiscountReward,Recompensa
MsgDiscountRewardLowerCase,recompensa
MsgRegisteringLoyalty,Registro de lealtad
MsgLoyaltyYouHaveGiftProductsRedeemPoints,Tienes productos regalo. Redimir puntos
MsgCustomerEditAddressButton,Editar dirección
MsgCustomerCompanyNameLabel,Nombre de la compañía:
MsgCustomerAddressNameLabel,Nombre de la dirección:
MsgCustomerCompleteRequiredFields,Llene el campo o campos obligatorios faltantes.
MsgCustomerHasEnoughPoints,%@ tiene suficientes puntos para una recompensa.  ¿Canjear ahora?
MsgCustomerHasEnoughRewards,%@ tiene suficientes recompensas.  ¿Canjear ahora?
MsgRewardCardsPromptToLinkCustomerTitle,Vincular cliente
MsgRewardCardsPromptToLinkCustomer,La tarjeta %@ pertenece a %@. ¿Desea adjuntar %@ al pedido?
MsgRewardCardsPromptToLinkCustomerForExistingCard,¿Qué desea hacer con el pedido?
MsgRewardCardPoints,%d puntos
MsgRewardCardTotalPoints,%@ puntos
MsgRewardCardAddPoints,Agregar puntos
MsgRewardCardPromptToAddPoints,¿Desea añadir puntos a la tarjeta de recompensas de %@?
MsgRewardCardNumberPromptToAddPoints,¿Desea añadir puntos para artículos a la tarjeta de recompensas #%@?
MsgRewardCardsManage,Administrar recompensas
MsgRewardsCard,Tarjeta de recompensas
MsgRewardsCardNew,Nueva tarjeta de recompensa
MsgRewardsCardNotUsedCreateNew,Esta tarjeta de recompensa no se ha usado todavía. ¿Te gustaría crear nueva tarjeta de recompensas?
MsgRewardsCardNotUsedCreateNewForCustomer,Esta tarjeta de recompensas no se ha usado todavía. ¿Te gustaría crear nueva tarjeta de recompensas enlazada con %@?
MsgRewardChooseRewardAccount,Elige cuenta de recompensa
MsgRewardCardsCustomerHasNoCards,% @ aún no tiene ninguna tarjeta de regalo vinculada.
MsgRewardCardIncorrectNumber,This card number does not match with the database. Try again.
MsgRewardCardNumberNotFound,%@ no se encuentra.  Vuelva a intentarlo.
MsgRewardCardGeneratingNumber,Error al leer el número de la tarjeta
MsgRewardCardDiscountVisitsTitle,Descuento por recompensa por visitas
MsgRewardCardDiscountPurchasesTitle,Descuento por recompensa por compras
MsgRewardCardDiscountTitleSales,Recompensas por ventas
MsgRewardCardDiscountTitleVisits,Recompensas por visitas
MsgRewardCardDiscountTitleSalesVisits,Recompensas por ventas y visitas
MsgRewardCardsNameOnCard,Nombre de la tarjeta: %@
BtnRewardForSales,Recompensas por ventas
BtnRewardForVisits,Recompensas por visitas
BtnRewardCreateLinked,Sí y Enlaza a cliente
MsgPurchaseRewardsEarned,Recompensas por compra ganados: %@
MsgVisitsRewardsEarned,Recompensas por visitas ganados: %@
MsgCurrentPurchaseRewards,Puntos de recompensa actuales: %@
MsgCurrentVisitsRewards,Recompensas por visitas actuales: %@
MsgRewardPointsEarned,Puntos de recompensa ganados: %@
MsgCurrentRewardPoints,Puntos de recompensa actuales: %@
MsgVisits,visitas
MsgPurchases,compras
MsgPurchase,compra
MsgVisit,visitar
MsgRewardCardsItemPoints,Puntos de recompensa por artículo: %i
MsgRewardCardsSalesPoints,Total de recompensas por compra: %.2f
MsgRewardCardsVisitsPoints,Total de recompensas por visita: %i
MsgRewardCardsRewardPoints,Total de puntos de recompensa: %.2f
